config,mean_hits,brier,ge11,n
blend_w60_lw0.5,9.05,0.24009957345991864,33,300
marg_w60_hl30.0_pr100.0,9.05,0.24036340072823245,32,300
marg_w60_hl30.0_pr25.0,9.05,0.24165224094835325,32,300
marg_wNone_hlNone_pr100.0,9.03,0.24001089256203495,33,300
marg_wNone_hlNone_pr25.0,9.03,0.2400142966043443,33,300
blend_w30_lw0.5,9.03,0.24003503407772742,33,300
blend_w60_lw0.25,9.03,0.24020959379777176,42,300
repeatmix_rw0.1,9.03,0.24036340072823245,33,300
repeatmix_rw0.5,9.026666666666667,0.24036340072823245,31,300
blend_w60_lw0.75,9.023333333333333,0.240033339714673,35,300
blend_w120_lw0.5,9.023333333333333,0.24016271410181317,30,300
marg_w500_hl250.0_pr100.0,9.023333333333333,0.24034594561482733,35,300
marg_w500_hl250.0_pr25.0,9.023333333333333,0.24050514765726727,35,300
marg_w500_hlNone_pr100.0,9.02,0.2402011288888889,32,300
marg_w500_hlNone_pr25.0,9.02,0.24027285768707485,32,300
repeatmix_rw0.25,9.02,0.24036340072823245,32,300
marg_w30_hlNone_pr100.0,9.013333333333334,0.2405199053254438,26,300
marg_w30_hlNone_pr25.0,9.013333333333334,0.24259385123966942,26,300
marg_w60_hlNone_pr100.0,9.006666666666666,0.24069595833333332,34,300
marg_w60_hlNone_pr25.0,9.006666666666666,0.2422057485582468,34,300
pair_w60_pw0.1,9.003333333333334,0.24036340072823245,33,300
blend_w30_lw0.75,9.0,0.2400045286943112,34,300
blend_w120_lw0.75,9.0,0.24006313300053572,33,300
blend_w30_lw0.25,8.99,0.24010240871228353,34,300
marg_w30_hl15_pr100.0,8.976666666666667,0.24020665259797966,31,300
marg_w30_hl15_pr25.0,8.976666666666667,0.24152992681216182,31,300
marg_w250_hl125.0_pr100.0,8.973333333333333,0.2406390327636716,30,300
marg_w250_hl125.0_pr25.0,8.973333333333333,0.24113508462369324,30,300
pair_w60_pw0.25,8.97,0.24036340072823245,32,300
blend_w120_lw0.25,8.963333333333333,0.24030963586586712,26,300
pair_w250_pw0.25,8.96,0.2406390327636716,29,300
pair_w250_pw0.1,8.95,0.2406390327636716,27,300
marg_w120_hlNone_pr100.0,8.946666666666667,0.240805608815427,34,300
marg_w120_hlNone_pr25.0,8.946666666666667,0.2416509615537059,34,300
marg_w120_hl60.0_pr100.0,8.933333333333334,0.24050389829269772,26,300
marg_w120_hl60.0_pr25.0,8.933333333333334,0.24143130020538478,26,300
pair_w120_pw0.25,8.926666666666666,0.24050389829269772,25,300
pair_w120_pw0.1,8.916666666666666,0.24050389829269772,25,300
marg_w250_hlNone_pr100.0,8.89,0.24083097034013604,22,300
marg_w250_hlNone_pr25.0,8.89,0.24118629906336086,22,300
