fold,config,mean_hits,brier,ge11,n
1,marg_w500_hl250.0_pr100.0,9.16,0.24031718774072275,17,100
1,marg_w500_hl250.0_pr25.0,9.16,0.24057860672554343,17,100
1,marg_w500_hlNone_pr100.0,9.13,0.24037711242814513,12,100
1,marg_wNone_hlNone_pr100.0,9.13,0.24037711242814513,12,100
1,marg_w500_hlNone_pr25.0,9.13,0.2405562689221312,12,100
1,marg_wNone_hlNone_pr25.0,9.13,0.2405562689221312,12,100
1,marg_w250_hlNone_pr100.0,9.11,0.2407244081632653,16,100
1,marg_w250_hlNone_pr25.0,9.11,0.24118452892561978,16,100
1,blend_w120_lw0.5,9.08,0.24024143141251192,12,100
1,blend_w120_lw0.75,9.08,0.24027634893356148,14,100
1,marg_w250_hl125.0_pr100.0,9.08,0.24047568781014053,14,100
1,marg_w250_hl125.0_pr25.0,9.08,0.24101030140539326,14,100
1,blend_w30_lw0.75,9.06,0.24028634869214918,12,100
1,blend_w120_lw0.25,9.05,0.24027235986499648,11,100
1,blend_w60_lw0.75,9.05,0.24030109155001877,14,100
1,pair_w250_pw0.25,9.01,0.24047568781014053,8,100
1,marg_w120_hlNone_pr100.0,8.99,0.24033294214876036,6,100
1,marg_w120_hlNone_pr25.0,8.99,0.24094051843043993,6,100
1,pair_w250_pw0.1,8.98,0.24047568781014053,10,100
1,blend_w30_lw0.5,8.97,0.24027640143301313,11,100
1,blend_w60_lw0.5,8.97,0.24030238881245347,9,100
1,repeatmix_rw0.1,8.95,0.24053693775900586,8,100
1,marg_w120_hl60.0_pr100.0,8.94,0.2403691342910151,9,100
1,marg_w120_hl60.0_pr25.0,8.94,0.24116289309192943,9,100
1,pair_w120_pw0.25,8.92,0.2403691342910151,10,100
1,pair_w120_pw0.1,8.91,0.2403691342910151,12,100
1,repeatmix_rw0.25,8.91,0.24053693775900586,9,100
1,marg_w30_hl15_pr100.0,8.9,0.24049895634532079,7,100
1,marg_w30_hl15_pr25.0,8.9,0.24225779006616358,7,100
1,repeatmix_rw0.5,8.89,0.24053693775900586,9,100
1,blend_w60_lw0.25,8.88,0.2403810042154491,7,100
1,pair_w60_pw0.25,8.85,0.24053693775900586,6,100
1,marg_w60_hlNone_pr100.0,8.84,0.24076728125000005,7,100
1,marg_w60_hlNone_pr25.0,8.84,0.2422536193771626,7,100
1,pair_w60_pw0.1,8.83,0.24053693775900586,4,100
1,blend_w30_lw0.25,8.81,0.240347270650737,5,100
1,marg_w60_hl30.0_pr100.0,8.81,0.24053693775900586,4,100
1,marg_w60_hl30.0_pr25.0,8.81,0.24197486453788516,4,100
1,marg_w30_hlNone_pr100.0,8.8,0.2408872426035503,5,100
1,marg_w30_hlNone_pr25.0,8.8,0.24335021487603303,5,100
2,marg_w500_hl250.0_pr100.0,9.1,0.24041896397379212,23,180
2,marg_w500_hl250.0_pr25.0,9.1,0.24061063557548457,23,180
2,marg_w120_hl60.0_pr100.0,9.094444444444445,0.24041586545415872,23,180
2,marg_w120_hl60.0_pr25.0,9.094444444444445,0.24132616797072332,23,180
2,pair_w120_pw0.1,9.088888888888889,0.24041586545415872,23,180
2,marg_w250_hlNone_pr100.0,9.088888888888889,0.24061866303854873,21,180
2,marg_w250_hlNone_pr25.0,9.088888888888889,0.24093866078971538,21,180
2,marg_w120_hlNone_pr100.0,9.083333333333334,0.24053514233241508,21,180
2,marg_w120_hlNone_pr25.0,9.083333333333334,0.2413175214691505,21,180
2,pair_w120_pw0.25,9.061111111111112,0.24041586545415872,23,180
2,marg_w60_hlNone_pr100.0,9.061111111111112,0.2406204861111111,18,180
2,marg_w60_hlNone_pr25.0,9.061111111111112,0.24205090349865435,18,180
2,marg_w60_hl30.0_pr100.0,9.033333333333333,0.24041742554577128,17,180
2,marg_w60_hl30.0_pr25.0,9.033333333333333,0.24175098226621602,17,180
2,marg_w250_hl125.0_pr100.0,9.022222222222222,0.2404863747629072,22,180
2,marg_w250_hl125.0_pr25.0,9.022222222222222,0.24095084023772856,22,180
2,marg_w500_hlNone_pr100.0,9.011111111111111,0.2405349,22,180
2,marg_w500_hlNone_pr25.0,9.011111111111111,0.2406650243386243,22,180
2,pair_w250_pw0.25,9.005555555555556,0.2404863747629072,22,180
2,pair_w60_pw0.1,9.0,0.24041742554577128,14,180
2,marg_w30_hl15_pr100.0,8.988888888888889,0.24035914597522512,15,180
2,marg_w30_hl15_pr25.0,8.988888888888889,0.24192871676772737,15,180
2,pair_w250_pw0.1,8.983333333333333,0.2404863747629072,19,180
2,pair_w60_pw0.25,8.977777777777778,0.24041742554577128,12,180
2,repeatmix_rw0.5,8.95,0.24041742554577128,13,180
2,marg_w30_hlNone_pr100.0,8.95,0.2408107297830375,18,180
2,marg_w30_hlNone_pr25.0,8.95,0.24326214876033056,18,180
2,repeatmix_rw0.1,8.944444444444445,0.24041742554577128,16,180
2,repeatmix_rw0.25,8.944444444444445,0.24041742554577128,13,180
2,blend_w120_lw0.25,8.927777777777777,0.24040083387278183,14,180
2,blend_w30_lw0.75,8.905555555555555,0.24059689244239885,20,180
2,blend_w60_lw0.25,8.88888888888889,0.24041019031719735,13,180
2,blend_w60_lw0.75,8.877777777777778,0.24059992184791273,16,180
2,marg_wNone_hlNone_pr100.0,8.872222222222222,0.24079688860720197,19,180
2,marg_wNone_hlNone_pr25.0,8.872222222222222,0.24089937041007256,19,180
2,blend_w30_lw0.25,8.866666666666667,0.24037802112641035,16,180
2,blend_w120_lw0.75,8.866666666666667,0.2405913454493034,20,180
2,blend_w30_lw0.5,8.85,0.24045726994880165,20,180
2,blend_w120_lw0.5,8.844444444444445,0.2404593272044967,18,180
2,blend_w60_lw0.5,8.816666666666666,0.24047102241791124,15,180
3,blend_w120_lw0.25,9.092307692307692,0.24021426478995817,35,260
3,marg_w250_hl125.0_pr100.0,9.080769230769231,0.24040931255170675,25,260
3,pair_w250_pw0.1,9.080769230769231,0.24040931255170675,23,260
3,marg_w250_hl125.0_pr25.0,9.080769230769231,0.24082824779215056,25,260
3,blend_w120_lw0.5,9.069230769230769,0.2401608056704836,32,260
3,marg_w60_hl30.0_pr100.0,9.069230769230769,0.24028721108397408,32,260
3,pair_w250_pw0.25,9.069230769230769,0.24040931255170675,22,260
3,marg_w60_hl30.0_pr25.0,9.069230769230769,0.24146924749081042,32,260
3,marg_w60_hlNone_pr100.0,9.053846153846154,0.24056478365384615,30,260
3,marg_w60_hlNone_pr25.0,9.053846153846154,0.24196284269363855,30,260
