number,frequency,relative_frequency,expected_frequency,deviation,z_approx,p_binomial_two_sided,q_bh_25_numbers
1,2073,0.6034934497816594,2061.0,12.0,0.4179383795285729,0.6887767929412605,0.8975757610226066
2,2060,0.5997088791848617,2061.0,-1.0,-0.03482819829404774,0.9722199908735474,1.0
3,2074,0.6037845705967977,2061.0,13.0,0.4527665778226206,0.6633131784999446,0.8975757610226066
4,2072,0.6032023289665212,2061.0,11.0,0.3831101812345251,0.7145979916089933,0.8975757610226066
5,2061,0.6,2061.0,0.0,0.0,1.0,1.0
6,2013,0.5860262008733624,2061.0,-48.0,-1.6717535181142915,0.09460526990755341,0.2956414684611044
7,2026,0.5898107714701601,2061.0,-35.0,-1.2189869402916709,0.22289806456188388,0.5572451614047097
8,1992,0.5799126637554585,2061.0,-69.0,-2.403145682289294,0.017032267744230414,0.10645167340144009
9,2052,0.5973799126637555,2061.0,-9.0,-0.31345378464642965,0.7539636392589895,0.8975757610226066
10,2146,0.624745269286754,2061.0,85.0,2.960396854994058,0.0030682691418302908,0.025568909515252425
11,2116,0.6160116448326055,2061.0,55.0,1.9155509061726257,0.05543866789038076,0.2059311332542327
12,2064,0.6008733624454149,2061.0,3.0,0.10448459488214322,0.9306172818688259,1.0
13,2093,0.609315866084425,2061.0,32.0,1.1145023454095278,0.2725991684770235,0.619543564720508
14,2088,0.6078602620087337,2061.0,27.0,0.940361353939289,0.3560357021544758,0.6846840426047611
15,2038,0.5933042212518195,2061.0,-23.0,-0.801048560763098,0.4231554244477953,0.7052590407463255
16,1969,0.573216885007278,2061.0,-92.0,-3.204194243052392,0.0014355153645244302,0.021474294810115445
17,2023,0.5889374090247452,2061.0,-38.0,-1.323471535173814,0.18572435101852464,0.5159009750514573
18,2051,0.5970887918486172,2061.0,-10.0,-0.3482819829404774,0.7276588099144734,0.8975757610226066
19,2046,0.5956331877729257,2061.0,-15.0,-0.5224229744107161,0.6014176476081943,0.8975757610226066
20,2151,0.6262008733624455,2061.0,90.0,3.1345378464642963,0.0017179435848092355,0.021474294810115445
21,2038,0.5933042212518195,2061.0,-23.0,-0.801048560763098,0.4231554244477953,0.7052590407463255
22,2055,0.5982532751091703,2061.0,-6.0,-0.20896918976428644,0.8344913535294444,0.9482856290107322
23,2006,0.5839883551673944,2061.0,-55.0,-1.9155509061726257,0.05766071731118516,0.2059311332542327
24,2091,0.6087336244541485,2061.0,30.0,1.0448459488214321,0.30421544572036696,0.6337821785840978
25,2127,0.6192139737991267,2061.0,66.0,2.298661087407151,0.02152385461479072,0.10761927307395361
