horizon,alpha_label,alpha_target,alternative_mean_hits,power
25,nominal_0.05,0.05,9.1,0.0959023202458964
25,nominal_0.05,0.05,9.2,0.18487211344472568
25,nominal_0.05,0.05,9.3,0.3123827838083403
25,nominal_0.05,0.05,9.4,0.4675156736858658
25,nominal_0.05,0.05,9.5,0.6277972894152262
25,nominal_0.05,0.05,9.75,0.9108448496713919
25,nominal_0.05,0.05,10.0,0.9911053645942434
25,conservative_4test_0.0125,0.0125,9.1,0.025173062272561584
25,conservative_4test_0.0125,0.0125,9.2,0.0607348891356856
25,conservative_4test_0.0125,0.0125,9.3,0.12698618645714008
25,conservative_4test_0.0125,0.0125,9.4,0.2317293442910366
25,conservative_4test_0.0125,0.0125,9.5,0.3723413207007562
25,conservative_4test_0.0125,0.0125,9.75,0.7561735889849925
25,conservative_4test_0.0125,0.0125,10.0,0.9570634824487978
50,nominal_0.05,0.05,9.1,0.13656556943930087
50,nominal_0.05,0.05,9.2,0.3018947116615511
50,nominal_0.05,0.05,9.3,0.5228679355304098
50,nominal_0.05,0.05,9.4,0.7367467068798372
50,nominal_0.05,0.05,9.5,0.886728812019714
50,nominal_0.05,0.05,9.75,0.9959868208198921
50,nominal_0.05,0.05,10.0,0.999979215490674
50,conservative_4test_0.0125,0.0125,9.1,0.04726758344354955
50,conservative_4test_0.0125,0.0125,9.2,0.1367783532820943
50,conservative_4test_0.0125,0.0125,9.3,0.30204974853491484
50,conservative_4test_0.0125,0.0125,9.4,0.5229389369335726
50,conservative_4test_0.0125,0.0125,9.5,0.7368015506000278
50,conservative_4test_0.0125,0.0125,9.75,0.9810099948114511
50,conservative_4test_0.0125,0.0125,10.0,0.9997861759561605
100,nominal_0.05,0.05,9.1,0.19585955912151048
100,nominal_0.05,0.05,9.2,0.4836284540264427
100,nominal_0.05,0.05,9.3,0.7804114805357097
100,nominal_0.05,0.05,9.4,0.9438350557852564
100,nominal_0.05,0.05,9.5,0.9918477902196194
100,nominal_0.05,0.05,9.75,0.9999955061646734
100,nominal_0.05,0.05,10.0,0.9999999999562339
100,conservative_4test_0.0125,0.0125,9.1,0.07680106867654855
100,conservative_4test_0.0125,0.0125,9.2,0.2704933815488134
100,conservative_4test_0.0125,0.0125,9.3,0.5805985825491026
100,conservative_4test_0.0125,0.0125,9.4,0.8455970479883048
100,conservative_4test_0.0125,0.0125,9.5,0.9665244846142135
100,conservative_4test_0.0125,0.0125,9.75,0.9999456178463756
100,conservative_4test_0.0125,0.0125,10.0,0.9999999983587579
250,nominal_0.05,0.05,9.1,0.3493519228426652
250,nominal_0.05,0.05,9.2,0.8164028780835562
250,nominal_0.05,0.05,9.3,0.9857128073461364
250,nominal_0.05,0.05,9.4,0.9997457944368959
250,nominal_0.05,0.05,9.5,0.9999990477954349
250,nominal_0.05,0.05,9.75,0.9999999999999993
250,nominal_0.05,0.05,10.0,1.0000000000000002
250,conservative_4test_0.0125,0.0125,9.1,0.1699868281031981
250,conservative_4test_0.0125,0.0125,9.2,0.6311003020218071
250,conservative_4test_0.0125,0.0125,9.3,0.9476495038969895
250,conservative_4test_0.0125,0.0125,9.4,0.9981903344414227
250,conservative_4test_0.0125,0.0125,9.5,0.9999864565316264
250,conservative_4test_0.0125,0.0125,9.75,0.9999999999999408
250,conservative_4test_0.0125,0.0125,10.0,1.0000000000000002
