rank,score,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15
1,6.450285616247526,1,2,3,4,5,9,11,12,13,14,15,17,21,24,25
2,6.449421049729014,1,3,4,5,9,11,12,13,14,15,17,21,23,24,25
3,6.445630469860856,1,3,4,5,9,11,12,13,14,15,17,21,22,24,25
4,6.44410746807807,2,3,4,5,9,11,12,13,14,15,17,21,23,24,25
5,6.441672331864473,1,2,3,4,5,11,12,13,14,15,17,21,23,24,25
6,6.440316888209913,2,3,4,5,9,11,12,13,14,15,17,21,22,24,25
7,6.4394523216914,3,4,5,9,11,12,13,14,15,17,21,22,23,24,25
8,6.43808750893196,1,2,3,4,5,9,11,12,13,15,17,21,23,24,25
9,6.437881751996316,1,2,3,4,5,11,12,13,14,15,17,21,22,24,25
10,6.437017185477803,1,3,4,5,11,12,13,14,15,17,21,22,23,24,25
11,6.435768542767309,1,3,4,5,9,11,12,13,14,15,17,19,21,24,25
12,6.435482332383964,1,3,4,5,9,11,12,13,14,15,17,20,21,24,25
13,6.435430503529372,1,3,4,5,9,11,12,13,14,15,16,17,21,24,25
14,6.435390828133163,1,2,3,4,5,9,11,13,14,15,17,21,23,24,25
15,6.434296929063803,1,2,3,4,5,9,11,12,13,15,17,21,22,24,25
16,6.43343236254529,1,3,4,5,9,11,12,13,15,17,21,22,23,24,25
17,6.4322771662872915,1,2,3,4,5,9,11,12,13,14,15,21,23,24,25
18,6.432142899888869,1,2,3,4,5,9,11,12,13,14,17,21,23,24,25
19,6.431703603826859,2,3,4,5,11,12,13,14,15,17,21,22,23,24,25
20,6.431600248265005,1,2,3,4,5,9,11,13,14,15,17,21,22,24,25
21,6.4307356817464925,1,3,4,5,9,11,13,14,15,17,21,22,23,24,25
22,6.430454961116365,2,3,4,5,9,11,12,13,14,15,17,19,21,24,25
23,6.430168750733021,2,3,4,5,9,11,12,13,14,15,17,20,21,24,25
24,6.430116921878429,2,3,4,5,9,11,12,13,14,15,16,17,21,24,25
25,6.429590394597852,3,4,5,9,11,12,13,14,15,17,19,21,23,24,25
26,6.429304184214508,3,4,5,9,11,12,13,14,15,17,20,21,23,24,25
27,6.429285425244771,1,2,3,4,5,9,11,12,13,14,15,17,23,24,25
28,6.429252355359916,3,4,5,9,11,12,13,14,15,16,17,21,23,24,25
29,6.428921165920613,1,3,4,5,9,10,11,12,13,14,15,17,21,24,25
30,6.428486586419134,1,2,3,4,5,9,11,12,13,14,15,21,22,24,25
31,6.4283523200207116,1,2,3,4,5,9,11,12,13,14,17,21,22,24,25
32,6.428118780894346,2,3,4,5,9,11,12,13,15,17,21,22,23,24,25
33,6.428019824902768,1,2,3,4,5,11,12,13,14,15,17,19,21,24,25
34,6.427733614519424,1,2,3,4,5,11,12,13,14,15,17,20,21,24,25
35,6.427681785664832,1,2,3,4,5,11,12,13,14,15,16,17,21,24,25
36,6.427622019900622,1,3,4,5,9,11,12,13,14,15,21,22,23,24,25
37,6.4274877535021995,1,3,4,5,9,11,12,13,14,17,21,22,23,24,25
38,6.427155258384255,1,3,4,5,11,12,13,14,15,17,19,21,23,24,25
39,6.426869048000911,1,3,4,5,11,12,13,14,15,17,20,21,23,24,25
40,6.426817219146319,1,3,4,5,11,12,13,14,15,16,17,21,23,24,25
41,6.425799814729695,3,4,5,9,11,12,13,14,15,17,19,21,22,24,25
42,6.425683644680749,1,2,3,4,5,11,12,13,15,17,21,22,23,24,25
43,6.42551360434635,3,4,5,9,11,12,13,14,15,17,20,21,22,24,25
44,6.425494845376614,1,2,3,4,5,9,11,12,13,14,15,17,22,24,25
45,6.425461775491758,3,4,5,9,11,12,13,14,15,16,17,21,22,24,25
46,6.425422100095549,2,3,4,5,9,11,13,14,15,17,21,22,23,24,25
47,6.424630278858102,1,3,4,5,9,11,12,13,14,15,17,22,23,24,25
48,6.424435001970255,1,2,3,4,5,9,11,12,13,15,17,19,21,24,25
49,6.42414879158691,1,2,3,4,5,9,11,12,13,15,17,20,21,24,25
50,6.424096962732318,1,2,3,4,5,9,11,12,13,15,16,17,21,24,25
