model,inference,coef_deg,se,t,p_value,df_for_p
static,plm_cluster_bank_HC1,0.0283781177156,0.0133560697874,2.12473565706,0.0336897041027,3019
static,cluster_time_small_sample,0.0283781177156,0.00914301532707,3.10380292501,0.00251718521812,95
static,two_way_cluster_small_sample,0.0283781177156,0.0137563919262,2.06290412978,0.0475837534311,31
static,driscoll_kraay_L4_no_correction,0.0283781177156,0.0110776965842,2.56173451763,0.0119881484708,95
static,driscoll_kraay_L8_no_correction,0.0283781177156,0.00987927202563,2.87249077077,0.00502306831862,95
dynamic,plm_cluster_bank_HC1,0.0225663010601,0.0106415452884,2.12058497601,0.034038966588,2986
dynamic,cluster_time_small_sample,0.0225663010601,0.00886009912156,2.54695808145,0.0124906307209,94
dynamic,two_way_cluster_small_sample,0.0225663010601,0.0110428842091,2.04351513906,0.0495791275075,31
dynamic,driscoll_kraay_L4_no_correction,0.0225663010601,0.00990179030846,2.27901221468,0.0249294274002,94
dynamic,driscoll_kraay_L8_no_correction,0.0225663010601,0.00873846748455,2.58240945567,0.011354848358,94
