appendix,published_label,candidate_version,max_abs_diff_estimate,max_abs_diff_se,max_abs_diff_p,exact_with_rounding
D,ROA static 2000-2023,V11,0.05997460779677956,0.027249918029967422,0.27075735527705325,False
D,ROA static 2000-2023,V12,0.012629261687053767,0.01648404053994355,4.8207854375093007e-11,False
D,ROA static 2000-2023,V13,4.668973374588603e-08,4.629173711023782e-10,4.820346899414574e-11,True
E,ROE static 2000-2023,V11,0.07534200828670111,0.19693236589407334,0.05082967461192456,False
E,ROE static 2000-2023,V12,0.07527248853301649,0.18968991029796348,4.608686354767855e-08,False
E,ROE static 2000-2023,V13,4.2046945786244905e-11,4.945313533677442e-10,4.608686221541092e-08,True
F,ROA dynamic 2000-2023,V11,0.02300652936760679,0.02328639743148457,0.15996907442411945,False
F,ROA dynamic 2000-2023,V12,0.0036530874271543034,0.014185569915472977,4.5111175905887535e-10,False
F,ROA dynamic 2000-2023,V13,4.732976510712916e-11,4.775887844921112e-11,4.510903317545001e-10,True
G,ROE dynamic 2000-2023,V11,0.16686320929724402,0.16408463772149218,0.14475809605258005,False
G,ROE dynamic 2000-2023,V12,0.004751336007200528,0.14183914635472247,4.9589575279451736e-08,False
G,ROE dynamic 2000-2023,V13,4.975664357528137e-11,4.722470747786645e-10,4.9589570727537335e-08,True
J,ROA dynamic 2012-2023,V11,0.0560034312424953,0.04901711839427768,0.12693552068167813,False
J,ROA dynamic 2012-2023,V12,0.0222549898229807,0.02809059580761908,4.729504637923654e-08,False
J,ROA dynamic 2012-2023,V13,4.8904856753866424e-11,4.571084483151466e-11,4.729505514999843e-08,True
K,ROE dynamic 2012-2023,V11,0.9629868542638627,0.2787885936960736,0.12526441933085422,False
K,ROE dynamic 2012-2023,V12,0.18148359240004538,0.13118652162449407,4.9698482829096946e-08,False
K,ROE dynamic 2012-2023,V13,4.9464876639149225e-11,4.5087742220339955e-10,4.969847033908792e-08,True
