id_compra,id_contrato,esfera,poder,municipio_ibge,municipio,uf,fornecedor_id,fornecedor_nome,categoria,valorInicial,data_assinatura,data_publicacao,numeroRetificacao
00402552000126-1-000316/2022,00402552000126-2-000322/2022,F,E,2611606,Recife,PE,23747090000184,SCIAVICCO COMERCIO INDUSTRIA LTDA,Compras,2370.41,2022-12-31,2023-01-02T00:00:03,1
00396895000125-1-000495/2022,00396895000125-2-000513/2022,F,E,5208707,Goiânia,GO,17660634000173,R. FREDERICO CAMPOS LOREDO - EIRELI,Serviços,1200.00,2022-12-30,2023-01-02T00:00:04,0
00396895000125-1-000495/2022,00396895000125-2-000514/2022,F,E,5208707,Goiânia,GO,15323932000142,PLENA NEGOCIOS & SERVICOS LTDA,Serviços,1120.00,2022-12-30,2023-01-02T00:00:05,0
03277610000125-1-000125/2022,03277610000125-2-000101/2022,F,E,1302603,Manaus,AM,18266878000139,COMERCIAL NOSSO LAR EIRELI,Serviços,10010.89,2022-12-30,2023-01-02T00:00:05,0
01263896000164-1-000797/2022,01263896000164-2-001013/2022,F,E,3304557,Rio de Janeiro,RJ,33654831003313,CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO-CNPQ,Serviços,19278.40,2022-12-30,2023-01-02T00:00:06,0
00396895000125-1-000495/2022,00396895000125-2-000515/2022,F,E,5208707,Goiânia,GO,27108631000185,ELISANGELA F. DOS SANTOS,Serviços,1600.00,2022-12-30,2023-01-02T00:00:06,0
33781055000135-1-000497/2022,33781055000135-2-000776/2022,F,E,3304557,Rio de Janeiro,RJ,02385669000174,FIOTEC - FUNDACAO PARA O DESENVOLVIMENTO CIENTIFICO E,Serviços,1250000.00,2022-12-30,2023-01-02T00:00:07,0
33787094000140-1-000020/2022,33787094000140-2-000025/2022,F,E,5300108,Brasília,DF,16383656000170,ADRIANA DO AMARAL KRUNITZKI,Serviços,1471.14,2022-12-30,2023-01-02T00:00:07,0
15126437000143-1-000741/2022,15126437000143-2-000159/2022,F,E,1600303,Macapá,AP,40929669000187,"D.P.DRUMOND COMERCIO, IMPORTACAO & EXPORTACAO DE PRODU",Serviços,8373.00,2022-12-30,2023-01-02T00:00:08,0
15126437000143-1-000741/2022,15126437000143-2-000160/2022,F,E,1600303,Macapá,AP,18266878000139,COMERCIAL NOSSO LAR EIRELI,Serviços,20500.00,2022-12-30,2023-01-02T00:00:08,0
03277610000125-1-000125/2022,03277610000125-2-000102/2022,F,E,1302603,Manaus,AM,19895610000129,FV NAYLOR'S CURSOS E COMERCIO DE INSTRUMENTOS E MATERI,Serviços,21419.92,2022-12-30,2023-01-02T00:00:08,0
00396895000125-1-000495/2022,00396895000125-2-000516/2022,F,E,5208707,Goiânia,GO,47157369000176,EDSON DOS ANJOS LIMA 04426097525,Serviços,385.00,2022-12-30,2023-01-02T00:00:09,0
