estrategia,pct_fornecedores_removidos,k,limiar_perda,share_severos_direcionado,share_severos_aleatorio_media,share_severos_aleatorio_p025,share_severos_aleatorio_p975,perda_media_direcionada,perda_media_aleatoria_media,perda_media_aleatoria_p025,perda_media_aleatoria_p975
degree,0.01,86,0.25,0.17051282051282052,0.009829487179487182,0.0038461538461538464,0.020512820512820513,0.12871068716049194,0.009980043890420348,0.005570012424141168,0.017286772467195982
degree,0.01,86,0.5,0.1294871794871795,0.0032487179487179487,0.0,0.008974358974358974,0.12871068716049194,0.009980043890420348,0.005570012424141168,0.017286772467195982
degree,0.01,86,0.75,0.08846153846153847,0.001217948717948718,0.0,0.0038782051282050993,0.12871068716049194,0.009980043890420348,0.005570012424141168,0.017286772467195982
strength,0.01,86,0.25,0.09487179487179487,0.009829487179487182,0.0038461538461538464,0.020512820512820513,0.08448231220245361,0.009980043890420348,0.005570012424141168,0.017286772467195982
strength,0.01,86,0.5,0.06538461538461539,0.0032487179487179487,0.0,0.008974358974358974,0.08448231220245361,0.009980043890420348,0.005570012424141168,0.017286772467195982
strength,0.01,86,0.75,0.047435897435897434,0.001217948717948718,0.0,0.0038782051282050993,0.08448231220245361,0.009980043890420348,0.005570012424141168,0.017286772467195982
degree,0.05,427,0.25,0.29102564102564105,0.05476282051282051,0.03717948717948718,0.07564102564102564,0.2443135529756546,0.05037091103382409,0.039038261864334345,0.06530990302562714
degree,0.05,427,0.5,0.2205128205128205,0.01838333333333333,0.008974358974358974,0.03076923076923077,0.2443135529756546,0.05037091103382409,0.039038261864334345,0.06530990302562714
degree,0.05,427,0.75,0.17692307692307693,0.0065371794871794875,0.001282051282051282,0.014102564102564103,0.2443135529756546,0.05037091103382409,0.039038261864334345,0.06530990302562714
strength,0.05,427,0.25,0.441025641025641,0.05476282051282051,0.03717948717948718,0.07564102564102564,0.30875280499458313,0.05037091103382409,0.039038261864334345,0.06530990302562714
strength,0.05,427,0.5,0.33589743589743587,0.01838333333333333,0.008974358974358974,0.03076923076923077,0.30875280499458313,0.05037091103382409,0.039038261864334345,0.06530990302562714
strength,0.05,427,0.75,0.16794871794871793,0.0065371794871794875,0.001282051282051282,0.014102564102564103,0.30875280499458313,0.05037091103382409,0.039038261864334345,0.06530990302562714
degree,0.1,853,0.25,0.42435897435897435,0.12176153846153846,0.09355769230769231,0.1576923076923077,0.3341134786605835,0.10031060149520636,0.08170785680413246,0.12075138073414564
degree,0.1,853,0.5,0.29615384615384616,0.041753846153846155,0.026923076923076925,0.05897435897435897,0.3341134786605835,0.10031060149520636,0.08170785680413246,0.12075138073414564
degree,0.1,853,0.75,0.21666666666666667,0.014706410256410257,0.00641025641025641,0.02435897435897436,0.3341134786605835,0.10031060149520636,0.08170785680413246,0.12075138073414564
strength,0.1,853,0.25,0.5653846153846154,0.12176153846153846,0.09355769230769231,0.1576923076923077,0.4307609796524048,0.10031060149520636,0.08170785680413246,0.12075138073414564
strength,0.1,853,0.5,0.47307692307692306,0.041753846153846155,0.026923076923076925,0.05897435897435897,0.4307609796524048,0.10031060149520636,0.08170785680413246,0.12075138073414564
strength,0.1,853,0.75,0.31025641025641026,0.014706410256410257,0.00641025641025641,0.02435897435897436,0.4307609796524048,0.10031060149520636,0.08170785680413246,0.12075138073414564
