estrategia,papel,ranking_scope,pct_fornecedores_removidos,k_fornecedores_removidos,limiar_perda,share_severos_direcionado,share_severos_aleatorio_media,share_severos_aleatorio_p025,share_severos_aleatorio_p975,excesso_vs_aleatorio,perda_media_direcionada,perda_media_aleatoria_media,perda_media_aleatoria_p025,perda_media_aleatoria_p975
strength,principal,global,0.01,96,0.25,0.10384615384615385,0.010061538461538462,0.0038461538461538464,0.020512820512820513,0.09378461538461538,0.08313895761966705,0.010063505849335342,0.005591601878404617,0.017220027791336176
strength,principal,global,0.01,96,0.5,0.07051282051282051,0.003333333333333333,0.0,0.008974358974358974,0.06717948717948719,0.08313895761966705,0.010063505849335342,0.005591601878404617,0.017220027791336176
strength,principal,global,0.01,96,0.75,0.046153846153846156,0.001158974358974359,0.0,0.005128205128205128,0.0449948717948718,0.08313895761966705,0.010063505849335342,0.005591601878404617,0.017220027791336176
degree,complementar,global,0.01,96,0.25,0.191025641025641,0.010061538461538462,0.0038461538461538464,0.020512820512820513,0.18096410256410256,0.14246350526809692,0.010063505849335342,0.005591601878404617,0.017220027791336176
degree,complementar,global,0.01,96,0.5,0.14102564102564102,0.003333333333333333,0.0,0.008974358974358974,0.1376923076923077,0.14246350526809692,0.010063505849335342,0.005591601878404617,0.017220027791336176
degree,complementar,global,0.01,96,0.75,0.09230769230769231,0.001158974358974359,0.0,0.005128205128205128,0.09114871794871796,0.14246350526809692,0.010063505849335342,0.005591601878404617,0.017220027791336176
strength,principal,global,0.05,480,0.25,0.42948717948717946,0.054441025641025646,0.03717948717948718,0.07564102564102564,0.3750461538461538,0.30086228251457214,0.05001291622966528,0.038622915372252466,0.06410621237009763
strength,principal,global,0.05,480,0.5,0.3230769230769231,0.01822051282051282,0.008974358974358974,0.029487179487179487,0.3048564102564103,0.30086228251457214,0.05001291622966528,0.038622915372252466,0.06410621237009763
strength,principal,global,0.05,480,0.75,0.16538461538461538,0.006456410256410257,0.001282051282051282,0.014102564102564103,0.15892820512820513,0.30086228251457214,0.05001291622966528,0.038622915372252466,0.06410621237009763
degree,complementar,global,0.05,480,0.25,0.31666666666666665,0.054441025641025646,0.03717948717948718,0.07564102564102564,0.262225641025641,0.26363393664360046,0.05001291622966528,0.038622915372252466,0.06410621237009763
degree,complementar,global,0.05,480,0.5,0.23333333333333334,0.01822051282051282,0.008974358974358974,0.029487179487179487,0.21511282051282052,0.26363393664360046,0.05001291622966528,0.038622915372252466,0.06410621237009763
degree,complementar,global,0.05,480,0.75,0.191025641025641,0.006456410256410257,0.001282051282051282,0.014102564102564103,0.18456923076923076,0.26363393664360046,0.05001291622966528,0.038622915372252466,0.06410621237009763
strength,principal,global,0.1,959,0.25,0.5602564102564103,0.12159230769230768,0.09230769230769231,0.15644230769230766,0.4386641025641026,0.4265197813510895,0.10011476008594036,0.08158859349787236,0.119162829965353
strength,principal,global,0.1,959,0.5,0.46923076923076923,0.04124871794871795,0.02564102564102564,0.05772435897435895,0.4279820512820513,0.4265197813510895,0.10011476008594036,0.08158859349787236,0.119162829965353
strength,principal,global,0.1,959,0.75,0.30512820512820515,0.01485,0.00641025641025641,0.02439102564102561,0.2902782051282052,0.4265197813510895,0.10011476008594036,0.08158859349787236,0.119162829965353
degree,complementar,global,0.1,959,0.25,0.4641025641025641,0.12159230769230768,0.09230769230769231,0.15644230769230766,0.34251025641025645,0.3612159788608551,0.10011476008594036,0.08158859349787236,0.119162829965353
degree,complementar,global,0.1,959,0.5,0.3153846153846154,0.04124871794871795,0.02564102564102564,0.05772435897435895,0.27413589743589745,0.3612159788608551,0.10011476008594036,0.08158859349787236,0.119162829965353
degree,complementar,global,0.1,959,0.75,0.23846153846153847,0.01485,0.00641025641025641,0.02439102564102561,0.22361153846153847,0.3612159788608551,0.10011476008594036,0.08158859349787236,0.119162829965353
