estrategia,papel,ranking_scope,pct_fornecedores_removidos,k_fornecedores_removidos,limiar_perda,share_severos_direcionado,share_severos_aleatorio_media,share_severos_aleatorio_p025,share_severos_aleatorio_p975,excesso_vs_aleatorio,perda_media_direcionada,perda_media_aleatoria_media,perda_media_aleatoria_p025,perda_media_aleatoria_p975
strength,principal,global,0.01,134,0.25,0.13820335636722605,0.009645607107601184,0.003948667324777887,0.017769002961500493,0.12855774925962488,0.10213883966207504,0.009892256713937968,0.005926106916740536,0.016397662507370115
strength,principal,global,0.01,134,0.5,0.08588351431391905,0.0033307008884501483,0.0,0.007897334649555774,0.0825528134254689,0.10213883966207504,0.009892256713937968,0.005926106916740536,0.016397662507370115
strength,principal,global,0.01,134,0.75,0.04837117472852912,0.0011806515301085883,0.0,0.003948667324777887,0.047190523198420535,0.10213883966207504,0.009892256713937968,0.005926106916740536,0.016397662507370115
degree,complementar,global,0.01,134,0.25,0.15992102665350444,0.009645607107601184,0.003948667324777887,0.017769002961500493,0.15027541954590326,0.12467309087514877,0.009892256713937968,0.005926106916740536,0.016397662507370115
degree,complementar,global,0.01,134,0.5,0.12043435340572557,0.0033307008884501483,0.0,0.007897334649555774,0.11710365251727542,0.12467309087514877,0.009892256713937968,0.005926106916740536,0.016397662507370115
degree,complementar,global,0.01,134,0.75,0.08094768015794669,0.0011806515301085883,0.0,0.003948667324777887,0.0797670286278381,0.12467309087514877,0.009892256713937968,0.005926106916740536,0.016397662507370115
strength,principal,global,0.05,670,0.25,0.43040473840078974,0.05367127344521224,0.0384995064165844,0.07305034550839092,0.3767334649555775,0.3136322796344757,0.049783997282385826,0.03951507331803441,0.06249733651056886
strength,principal,global,0.05,670,0.5,0.33859822309970383,0.018036525172754198,0.009871668311944718,0.028627838104639685,0.32056169792694966,0.3136322796344757,0.049783997282385826,0.03951507331803441,0.06249733651056886
strength,principal,global,0.05,670,0.75,0.19151036525172754,0.006429417571569596,0.0019743336623889436,0.012833168805528134,0.18508094768015795,0.3136322796344757,0.049783997282385826,0.03951507331803441,0.06249733651056886
degree,complementar,global,0.05,670,0.25,0.3198420533070089,0.05367127344521224,0.0384995064165844,0.07305034550839092,0.26617077986179666,0.25592678785324097,0.049783997282385826,0.03951507331803441,0.06249733651056886
degree,complementar,global,0.05,670,0.5,0.21717670286278382,0.018036525172754198,0.009871668311944718,0.028627838104639685,0.19914017769002962,0.25592678785324097,0.049783997282385826,0.03951507331803441,0.06249733651056886
degree,complementar,global,0.05,670,0.75,0.16386969397828233,0.006429417571569596,0.0019743336623889436,0.012833168805528134,0.15744027640671274,0.25592678785324097,0.049783997282385826,0.03951507331803441,0.06249733651056886
strength,principal,global,0.1,1340,0.25,0.5725567620927937,0.11960710760118459,0.0947680157946693,0.1480997038499506,0.4529496544916091,0.4365525245666504,0.0997691065967083,0.0849786452949047,0.1164727158844471
strength,principal,global,0.1,1340,0.5,0.47581441263573543,0.041446199407699905,0.028627838104639685,0.05728035538005921,0.43436821322803554,0.4365525245666504,0.0997691065967083,0.0849786452949047,0.1164727158844471
strength,principal,global,0.1,1340,0.75,0.3188548864758144,0.014792694965449158,0.007897334649555774,0.023692003948667325,0.30406219151036523,0.4365525245666504,0.0997691065967083,0.0849786452949047,0.1164727158844471
degree,complementar,global,0.1,1340,0.25,0.46100691016781836,0.11960710760118459,0.0947680157946693,0.1480997038499506,0.34139980256663377,0.34607061743736267,0.0997691065967083,0.0849786452949047,0.1164727158844471
degree,complementar,global,0.1,1340,0.5,0.29220138203356366,0.041446199407699905,0.028627838104639685,0.05728035538005921,0.25075518262586377,0.34607061743736267,0.0997691065967083,0.0849786452949047,0.1164727158844471
degree,complementar,global,0.1,1340,0.75,0.21125370187561698,0.014792694965449158,0.007897334649555774,0.023692003948667325,0.19646100691016782,0.34607061743736267,0.0997691065967083,0.0849786452949047,0.1164727158844471
