orgao_cnpj,valor_total,n_instrumentos,n_fornecedores,portfolio_hhi,count_hhi,portfolio_cr1,portfolio_cr4,portfolio_neff,portfolio_hhi_norm,count_hhi_norm,hhi_gap_value_count,hhi_norm_gap_value_count,exposicao_degree_global,exposicao_strength_global
00084514000172,33600.0,1,1,1.0,1.0,1.0,1.0,1.0,,,0.0,,0.40141835658187786,0.4969229867541906
00091238000170,463764.85,11,9,0.3303067153054515,0.12396694214876033,0.43125288602618334,0.9731237932327127,3.027489159810901,0.246595054718633,0.014462809917355383,0.2063397731566912,0.23213224480127762,0.5642852833004187,0.7928941512263508
00094350000164,238365.99,1,1,1.0,1.0,1.0,1.0,1.0,,,0.0,,0.40141835658187786,0.820478255773063
00118735000114,111063.09999999999,8,8,0.48240566804923307,0.125,0.67974016572561,0.8988048235642621,2.072944134433227,0.4084636206276949,0.0,0.35740566804923307,0.4084636206276949,0.4654146978313619,0.5645375633075265
00202770000117,2715530.62,5,5,0.6949849778971577,0.20000000000000004,0.8248848249039445,0.9825466891623561,1.4388800215880029,0.6187312223714472,3.469446951953614e-17,0.4949849778971577,0.6187312223714472,0.41174521750488047,0.9372761350785832
00204125000133,610239.2,24,22,0.44517031283195974,0.04861111111111112,0.6440097587962229,0.9138506998567121,2.24633128305093,0.4187498515382435,0.0033068783068783136,0.39655920172084863,0.4154429732313652,0.5050952657728931,0.7796571592869536
00237347000152,10600.0,1,1,1.0,1.0,1.0,1.0,1.0,,,0.0,,0.40141835658187786,0.3016938225295979
00282872000190,215000.0,1,1,1.0,1.0,1.0,1.0,1.0,,,0.0,,0.40141835658187786,0.8092544836478724
00282876000178,7320.0,1,1,1.0,1.0,1.0,1.0,1.0,,,0.0,,0.40141835658187786,0.24739186496307583
00324208000166,17893.8,3,2,0.514230938085516,0.5555555555555556,0.5843532396696062,1.0,1.9446515678792184,0.02846187617103202,0.11111111111111116,-0.04132461747003957,-0.08264923494007914,0.40141835658187786,0.2782913124579289
00343828000142,34178.64,2,2,0.5748191396902845,0.5,0.6934155367211803,1.0,1.7396776324093959,0.14963827938056906,0.0,0.07481913969028453,0.14963827938056906,0.9583461202729631,0.6999988754706291
00421772000105,94485.34999999999,7,5,0.5660541090014122,0.22448979591836732,0.719688290301089,0.9990614418002368,1.7666155657170668,0.45756763625176516,0.030612244897959134,0.34156431308304486,0.426955391353806,0.8462417641745803,0.8610589530446401
00426641000102,61493.64,4,4,0.29091305020641123,0.25,0.34149873060043284,1.0,3.437453215971133,0.054550733608548306,0.0,0.04091305020641123,0.054550733608548306,0.4582585634375974,0.43023552060725306
00444435000125,154466.04,7,5,0.48269396337287374,0.22448979591836732,0.6474950739981422,0.9815493424962535,2.0717060412614177,0.3533674542160921,0.030612244897959134,0.2582041674545064,0.32275520931813295,0.8783439423991328,0.7820737897734923
00460408000146,372619.14,22,17,0.15748491714402302,0.06611570247933884,0.25763571887370035,0.7300150496831697,6.349814433883091,0.10482772446552446,0.0077479338842975235,0.09136921466468417,0.09707979058122694,0.5490923153217235,0.6126367342758027
00536717000152,534139.95,14,14,0.09034195167764238,0.07142857142857142,0.123563122361471,0.4598221496070459,11.069054646596458,0.02036825565284564,0.0,0.018913380249070952,0.02036825565284564,0.5171079966975785,0.6415315856405838
00569168000112,120844.84,8,8,0.9811605689885691,0.125,0.9905263642204334,0.9963079102094885,1.0192011701314614,0.9784692217012217,0.0,0.8561605689885691,0.9784692217012217,0.9872684141500151,0.979413456325601
00634997000131,4335146.0,4,4,0.2990115852751548,0.25,0.4212084206621876,1.0,3.3443520226140584,0.06534878036687308,0.0,0.04901158527515481,0.06534878036687308,0.48905669205814056,0.9534254709241268
00652007000198,22067.76,3,3,0.8258317123530239,0.3333333333333333,0.9062995066105487,1.0000000000000002,1.2109004595509203,0.7387475685295358,0.0,0.49249837901969057,0.7387475685295358,0.9868502672705187,0.9490463807805757
00663808000159,51891.4,1,1,1.0,1.0,1.0,1.0,1.0,,,0.0,,0.9592955104911499,0.8187199624897433
00675468000186,6340587.28,59,50,0.15180311529825774,0.024418270611893136,0.33980818256317735,0.6083647160204377,6.587480092455501,0.13449297479414057,0.004508439399890954,0.1273848446863646,0.12998453539424962,0.5708877965008645,0.8785369323171911
00715411000163,109200.0,2,2,0.5073058809322546,0.5,0.5604395604395604,1.0,1.9711973339681026,0.014611761864509187,0.0,0.007305880932254594,0.014611761864509187,0.6549004857526719,0.7401087952019848
00734500000157,9585.0,2,2,0.5009373072220685,0.5,0.5216484089723527,1.0,1.9962577863195443,0.0018746144441370571,0.0,0.0009373072220685286,0.0018746144441370571,0.7053056125296389,0.4884478205143022
00734571000150,52355.95,2,2,0.6804963311464498,0.5,0.8004133245600549,1.0,1.4695156376747456,0.3609926622928996,0.0,0.1804963311464498,0.3609926622928996,0.9267976706783857,0.7847673390982277
