orgao_cnpj,valor_total,n_instrumentos,n_fornecedores,portfolio_hhi,portfolio_cr1,portfolio_cr4,portfolio_neff,portfolio_entropy_norm,count_hhi,count_neff,hhi_gap_value_minus_count,exposicao_degree,exposicao_strength
00955107000193,99170.6,6,5,0.3775733228824713,0.5622129945770218,0.9604721560623813,2.648492198457765,0.7614952654386126,0.22222222222222227,4.499999999999999,0.15535110066024904,0.4373616478754997,0.5355322984749215
01071994000108,2330112.26,26,26,0.18011921632404948,0.27890776386885324,0.7425009643097624,5.551878474759277,0.6640751768379669,0.038461538461538464,26.0,0.14165767786251102,0.5940995749963444,0.8866911929815148
01280363000190,16989621.619999997,11,11,0.5693974337276639,0.6922886373263444,0.9988515565304273,1.756242548290599,0.27585666519774127,0.09090909090909091,11.0,0.478488342818573,0.40876414804436917,0.9899461220237535
01349236000109,191826.14800000002,27,17,0.21273178461255818,0.4081821003881077,0.7291516378674298,4.700754999170759,0.7223757159057139,0.07818930041152262,12.789473684210527,0.13454248420103554,0.9954207915831956,0.8966513426591152
01397083000167,1448.6999999999998,8,8,0.13930565369220682,0.2136398150065576,0.6313936632843239,7.178459549168628,0.974071999974957,0.125,8.0,0.014305653692206821,0.993454928652995,0.570898458236143
01404511000131,524974.44,29,18,0.2343311387491839,0.3516615208923314,0.901334567831531,4.267465285825069,0.5853703100936017,0.0915576694411415,10.922077922077921,0.1427734693080424,0.4202054360656159,0.7340315303319584
01420402000108,71493.42,9,8,0.2547945801048297,0.41961903626935176,0.8663035003780768,3.9247302654105582,0.7727225772255563,0.13580246913580246,7.363636363636364,0.11899211096902723,0.8132747528420091,0.6697680255227549
01465988000127,2133361.67,49,27,0.2072486374544865,0.3846639046439791,0.74135461522565,4.82512219275559,0.6254930205132954,0.09537692628071637,10.48471615720524,0.11187171117377012,0.6711250085625865,0.867275424483054
01600293000100,8279.18,7,7,0.2739602189198392,0.4522186979869987,0.8634429979780606,3.650164990898187,0.8012742504026116,0.14285714285714285,7.0,0.13110307606269633,0.978387555850298,0.7122761975201374
01648573000199,4232841.69,36,31,0.35156461700745223,0.5825583569131781,0.7322572699382008,2.844427316127785,0.5591788420283629,0.035493827160493846,28.173913043478247,0.31607078984695836,0.4619312288797714,0.8826725362132902
01650166000116,579048.92,18,15,0.21380006151089428,0.41447275301022923,0.6717912538374133,4.6772671295468475,0.7245773058834246,0.07407407407407407,13.5,0.13972598743682021,0.48077683113042313,0.7060311515831795
01746653000187,531495.2935,261,93,0.03724381748191549,0.09820380469653209,0.27407519555015586,26.850093991722808,0.8160250818608569,0.021006738010305195,47.60377358490565,0.016237079471610297,0.9928081917194712,0.8768974385413363
01815216000178,9242747.65,29,29,0.12657415604466726,0.2737281256402148,0.5861460460840343,7.900506953782145,0.7271377838447753,0.03448275862068965,29.000000000000007,0.09209139742397762,0.46847909344772287,0.9196216948677094
01824828000127,8526.94,11,9,0.7079997103479069,0.8383664010770568,0.9382920484957088,1.412429956374708,0.33847235787233715,0.14049586776859505,7.117647058823529,0.5675038425793119,0.9742876058102095,0.705315542153475
01850671000104,104637.35999999999,41,21,0.23120028606236342,0.41414634314168475,0.8002233619043905,4.325254163960084,0.6322849456259814,0.07079119571683522,14.126050420168067,0.1604090903455282,0.9882984449845211,0.7615058187872675
01877528000106,641382.4,7,7,0.17485726017202374,0.2678314839945717,0.7355711662808334,5.718950411416745,0.939450953916101,0.14285714285714285,7.0,0.032000117314880894,0.5509587892626545,0.7561583516723167
01896727000161,2498.76,6,6,0.28471450056423714,0.4303734652387584,0.8910579647505161,3.512290375159099,0.8218031376158259,0.16666666666666669,5.999999999999999,0.11804783389757045,0.989859908966624,0.8014427027633116
01906118000146,560749.94,5,5,0.8294648351880152,0.9092171102149381,0.988943378219532,1.2055966179365873,0.25844681772717654,0.20000000000000004,4.999999999999999,0.6294648351880151,0.40831218274111675,0.8684956544556545
01935036000120,17301.26,11,9,0.37033561911658996,0.5367614844236779,0.9365421940367349,2.7002533604124577,0.5942327868886691,0.12396694214876033,8.066666666666666,0.24636867696782963,0.986823226547037,0.7991541763226881
01941360000150,135471.6478,76,46,0.05827853819395156,0.13648236439329706,0.3722976107477449,17.158975344782842,0.8243783207025163,0.04051246537396121,24.683760683760692,0.017766072819990354,0.9958414687450525,0.9194705602966741
02073207000111,802854.6500000003,114,62,0.7608477093365682,0.8718888281957388,0.8994666469204606,1.3143234680590206,0.2022716351113,0.02493074792243767,40.111111111111114,0.7359169614141305,0.4832990278267907,0.927129015992218
02179215000147,40252.5,7,7,0.22654470701309934,0.34524812123470594,0.8615305881622259,4.414139765985253,0.8342481071490758,0.14285714285714285,7.0,0.08368756415595649,0.42132280568221475,0.3243038319813033
02246138000109,1483346.97,10,6,0.3767712071780174,0.5577846698941921,0.9771671290096073,2.654130626089797,0.680903347615445,0.20000000000000004,4.999999999999999,0.17677120717801734,0.40831218274111675,0.8893437241313431
02247113000111,138443.9,26,20,0.49622550712325025,0.693421667549094,0.8939030177566509,2.015212812814204,0.42758186224367123,0.0680473372781065,14.695652173913047,0.4281781698451438,0.5704861265539899,0.7171083148752408
02316487000141,15649865.0,6,6,0.6309487531255082,0.7596231660784294,0.998958137977548,1.5849147732622275,0.33231906281833634,0.16666666666666669,5.999999999999999,0.46428208645884156,0.5428143828934863,0.9911767469111218
02362976000130,173600.0,17,17,0.081231816347767,0.1382488479262673,0.4608294930875576,12.310447371000947,0.9387310746489764,0.058823529411764705,17.0,0.02240828693600229,0.47078074925729263,0.42584895991719107
