estrategia,pct_fornecedores_removidos,k,limiar_perda,share_severos_direcionado,share_severos_aleatorio_media,share_severos_aleatorio_p025,share_severos_aleatorio_p975,perda_media_direcionada,perda_media_aleatoria_media,perda_media_aleatoria_p025,perda_media_aleatoria_p975
degree,0.01,54,0.25,0.20035149384885764,0.010015817223198597,0.0035149384885764497,0.019332161687170474,0.1472667078445977,0.010136531849567514,0.0051955502849517325,0.02003156719318994
degree,0.01,54,0.5,0.1546572934973638,0.003383128295254833,0.0,0.008787346221441126,0.1472667078445977,0.010136531849567514,0.0051955502849517325,0.02003156719318994
degree,0.01,54,0.75,0.08611599297012303,0.00129701230228471,0.0,0.005272407732864675,0.1472667078445977,0.010136531849567514,0.0051955502849517325,0.02003156719318994
strength,0.01,54,0.25,0.07908611599297012,0.010015817223198597,0.0035149384885764497,0.019332161687170474,0.062272590002416764,0.010136531849567514,0.0051955502849517325,0.02003156719318994
strength,0.01,54,0.5,0.070298769771529,0.003383128295254833,0.0,0.008787346221441126,0.062272590002416764,0.010136531849567514,0.0051955502849517325,0.02003156719318994
strength,0.01,54,0.75,0.03866432337434095,0.00129701230228471,0.0,0.005272407732864675,0.062272590002416764,0.010136531849567514,0.0051955502849517325,0.02003156719318994
degree,0.05,269,0.25,0.28646748681898065,0.05494200351493849,0.0351493848857645,0.0773286467486819,0.24699877440697396,0.050282510379360885,0.03606578069609007,0.06845961121724531
degree,0.05,269,0.5,0.22671353251318102,0.018323374340949033,0.007029876977152899,0.03163444639718805,0.24699877440697396,0.050282510379360885,0.03606578069609007,0.06845961121724531
degree,0.05,269,0.75,0.19156414762741653,0.006945518453427065,0.0,0.015817223198594025,0.24699877440697396,0.050282510379360885,0.03606578069609007,0.06845961121724531
strength,0.05,269,0.25,0.421792618629174,0.05494200351493849,0.0351493848857645,0.0773286467486819,0.29509712520989007,0.050282510379360885,0.03606578069609007,0.06845961121724531
strength,0.05,269,0.5,0.3268892794376098,0.018323374340949033,0.007029876977152899,0.03163444639718805,0.29509712520989007,0.050282510379360885,0.03606578069609007,0.06845961121724531
strength,0.05,269,0.75,0.1704745166959578,0.006945518453427065,0.0,0.015817223198594025,0.29509712520989007,0.050282510379360885,0.03606578069609007,0.06845961121724531
degree,0.1,537,0.25,0.37785588752196836,0.12316344463971882,0.09314586994727592,0.16700351493848853,0.3225888310827898,0.10058936994296316,0.08044682904835111,0.12378632213440859
degree,0.1,537,0.5,0.29349736379613356,0.041987697715289984,0.02460456942003515,0.05975395430579965,0.3225888310827898,0.10058936994296316,0.08044682904835111,0.12378632213440859
degree,0.1,537,0.75,0.24253075571177504,0.015381370826010547,0.005272407732864675,0.026362038664323375,0.3225888310827898,0.10058936994296316,0.08044682904835111,0.12378632213440859
strength,0.1,537,0.25,0.5711775043936731,0.12316344463971882,0.09314586994727592,0.16700351493848853,0.43488623537122567,0.10058936994296316,0.08044682904835111,0.12378632213440859
strength,0.1,537,0.5,0.4956063268892794,0.041987697715289984,0.02460456942003515,0.05975395430579965,0.43488623537122567,0.10058936994296316,0.08044682904835111,0.12378632213440859
strength,0.1,537,0.75,0.3233743409490334,0.015381370826010547,0.005272407732864675,0.026362038664323375,0.43488623537122567,0.10058936994296316,0.08044682904835111,0.12378632213440859
