orgao_cnpj,valor_total_publicado_jan_assinado_2025,n_instrumentos,n_fornecedores,portfolio_hhi,portfolio_hhi_10000,portfolio_cr1,portfolio_cr4,portfolio_neff,portfolio_entropy_norm,count_hhi,count_hhi_10000,count_cr1,count_cr4,count_neff,count_entropy_norm,hhi_gap_value_minus_count,n_municipios_unidade,n_ufs_unidade,shared_procurement_share,category_mix_hhi,n_categorias,categoria_cr1,exposicao_degree,exposicao_strength
00091238000170,251239.93,2,2,0.6752930136557374,6752.930136557374,0.7960515273189258,1.0,1.4808386578537853,0.7297550952293431,0.5,5000.0,0.5,1.0,2.0,1.0,0.17529301365573735,1,1,0.7960515273189258,1.0,1,1.0,0.39542483660130723,0.801046130093318
00204125000133,48960.0,1,1,1.0,10000.0,1.0,1.0,1.0,0.0,1.0,10000.0,1.0,1.0,1.0,0.0,0.0,1,1,0.0,1.0,1,1.0,0.3954248366013072,0.6518518518518519
00282872000190,215000.0,1,1,1.0,10000.0,1.0,1.0,1.0,0.0,1.0,10000.0,1.0,1.0,1.0,0.0,0.0,1,1,1.0,1.0,1,1.0,0.3954248366013072,0.8474945533769063
00460408000146,97178.6,2,2,0.9760378165227719,9760.37816522772,0.9878718153996867,1.0,1.0245504662540594,0.09459260411835108,0.5,5000.0,0.5,1.0,2.0,1.0,0.4760378165227719,1,1,0.0,0.9760378165227719,2,0.9878718153996867,0.3954248366013071,0.74394632290521
00536717000152,94520.76000000001,2,2,0.5212353591928661,5212.353591928661,0.603042125348971,1.0,1.9185191149512608,0.9691432259477598,0.5,5000.0,0.5,1.0,2.0,1.0,0.02123535919286612,1,1,0.0,1.0,1,1.0,0.6086059174324154,0.722787311070968
00652007000198,2067.76,2,2,0.5071784739614501,5071.784739614501,0.5599102410337756,0.9999999999999999,1.9716925132670526,0.9896187268721555,0.5,5000.0,0.5,1.0,2.0,1.0,0.007178473961450105,1,1,1.0,0.5071784739614501,2,0.5599102410337756,0.8355119825708059,0.4475667732347879
00734500000157,5000.0,1,1,1.0,10000.0,1.0,1.0,1.0,0.0,1.0,10000.0,1.0,1.0,1.0,0.0,0.0,1,1,0.0,1.0,1,1.0,0.8945533769063181,0.5553376906318083
00956081000106,31051.32,1,1,1.0,10000.0,1.0,1.0,1.0,0.0,1.0,10000.0,1.0,1.0,1.0,0.0,0.0,1,1,0.0,1.0,1,1.0,0.9324618736383442,0.792156862745098
01031661000147,9629.28,1,1,1.0,10000.0,1.0,1.0,1.0,0.0,1.0,10000.0,1.0,1.0,1.0,0.0,0.0,1,1,0.0,1.0,1,1.0,0.3954248366013072,0.39869281045751637
01071994000108,841579.46,22,22,0.16111524707221872,1611.1524707221872,0.31780005657457466,0.6644836602832488,6.206737215576856,0.740609349477795,0.045454545454545456,454.54545454545456,0.045454545454545456,0.18181818181818182,22.0,0.9999999999999997,0.11566070161767326,1,1,0.0,1.0,1,1.0,0.872080226196086,0.8182276898503008
01280363000190,16944133.62,7,7,0.5724545693310483,5724.545693310483,0.6941471463679356,0.999741112759237,1.7468635129746055,0.33025414352392574,0.14285714285714285,1428.5714285714284,0.14285714285714285,0.5714285714285714,7.0,0.9999999999999999,0.4295974264739055,1,1,0.0,0.9903174757714406,3,0.9951362741909255,0.39555164769921,0.991787275825859
01282378000198,100000.0,1,1,1.0,10000.0,1.0,1.0,1.0,0.0,1.0,10000.0,1.0,1.0,1.0,0.0,0.0,1,1,1.0,1.0,1,1.0,0.8945533769063181,0.9128540305010894
01294821000140,7224.72,1,1,1.0,10000.0,1.0,1.0,1.0,0.0,1.0,10000.0,1.0,1.0,1.0,0.0,0.0,1,1,1.0,1.0,1,1.0,0.835511982570806,0.45577342047930286
01404511000131,317554.17,10,8,0.30038733857852834,3003.8733857852835,0.4115086884231437,0.9527958647181362,3.3290351208946722,0.6592728092151442,0.14,1400.0000000000002,0.2,0.6,7.142857142857142,0.9739760316291209,0.16038733857852833,1,1,0.0,0.9713069755692947,2,0.9854415389978977,0.413321768378031,0.7326568155007269
01420402000108,31935.01,4,4,0.36311564452708606,3631.156445270861,0.45091578177053965,1.0,2.753943585389658,0.7590608309180334,0.25,2500.0,0.25,1.0,4.0,1.0,0.11311564452708606,1,1,0.7927039947693769,0.5048184594784555,2,0.5490839050935008,0.7709063976657129,0.6326958356606106
01465988000127,430935.7,6,6,0.9412607791646813,9412.607791646813,0.96998229666282,0.9981910062220419,1.0624048320460633,0.09345563025034948,0.16666666666666669,1666.6666666666667,0.16666666666666666,0.6666666666666666,5.999999999999999,0.9999999999999999,0.7745941124980147,1,1,0.0,0.9413425528052495,3,0.96998229666282,0.3954248366013071,0.8841838243338248
01600293000100,602.5,2,2,0.6730965375940496,6730.965375940496,0.7941908713692946,1.0,1.4856709909316288,0.7333952987197543,0.5,5000.0,0.5,1.0,2.0,1.0,0.17309653759404964,1,1,1.0,1.0,1,1.0,0.9843274663484574,0.6741453095761125
01605008000144,16100.0,2,2,0.5972377608888546,5972.377608888546,0.7204968944099379,1.0,1.674375040372069,0.8547728733342832,0.5,5000.0,0.5,1.0,2.0,1.0,0.09723776088885461,1,1,0.0,1.0,1,1.0,0.5184305606300491,0.439226511860783
01648573000199,3899454.35,30,26,0.41191027344914266,4119.102734491426,0.632364705077263,0.7880289174304604,2.427713180412984,0.5138578363644054,0.042222222222222223,422.22222222222223,0.06666666666666667,0.26666666666666666,23.684210526315788,0.9871893284862603,0.36968805122692044,1,1,0.0,1.0,1,1.0,0.4278510086801993,0.8943557053496992
01671721000196,3999.99,1,1,1.0,10000.0,1.0,1.0,1.0,0.0,1.0,10000.0,1.0,1.0,1.0,0.0,0.0,1,1,0.0,1.0,1,1.0,0.3954248366013072,0.2740740740740741
01743462000161,940.0,1,1,1.0,10000.0,1.0,1.0,1.0,0.0,1.0,10000.0,1.0,1.0,1.0,0.0,0.0,1,1,1.0,1.0,1,1.0,0.9806100217864924,0.7420479302832244
01746653000187,297993.47750000004,145,71,0.036391743558388416,363.9174355838842,0.08850086324456549,0.24879091690857566,27.478760351109827,0.8541224519699397,0.01964328180737218,196.43281807372182,0.04827586206896552,0.15172413793103448,50.90799031476996,0.959145802394741,0.016748461751016235,1,1,1.0,1.0,1,1.0,0.9752785552818278,0.8134904648873739
01814099000128,52572.0,1,1,1.0,10000.0,1.0,1.0,1.0,0.0,1.0,10000.0,1.0,1.0,1.0,0.0,0.0,1,1,0.0,1.0,1,1.0,0.3954248366013072,0.664488017429194
01815216000178,3254292.4099999997,13,13,0.17893519985443634,1789.3519985443634,0.30728646169813606,0.7639224097873859,5.588615324505739,0.7662687408924589,0.07692307692307694,769.2307692307694,0.07692307692307693,0.3076923076923077,12.999999999999996,1.0000000000000002,0.1020121229313594,1,1,0.0,1.0,1,1.0,0.3954248366013072,0.8926999034351872
01823752000115,12837.39,1,1,1.0,10000.0,1.0,1.0,1.0,0.0,1.0,10000.0,1.0,1.0,1.0,0.0,0.0,1,1,1.0,1.0,1,1.0,0.9183006535947712,0.6993464052287581
01850671000104,28080.0,1,1,1.0,10000.0,1.0,1.0,1.0,0.0,1.0,10000.0,1.0,1.0,1.0,0.0,0.0,1,1,1.0,1.0,1,1.0,0.9629629629629629,0.7481481481481481
01873642000168,188400.0,2,2,0.6754432228487972,6754.432228487972,0.7961783439490446,1.0,1.4805093399002942,0.7295058725683093,0.5,5000.0,0.5,1.0,2.0,1.0,0.1754432228487972,1,1,0.0,0.6754432228487972,2,0.7961783439490446,0.3954248366013072,0.7637428361294978
01935036000120,9075.0,1,1,1.0,10000.0,1.0,1.0,1.0,0.0,1.0,10000.0,1.0,1.0,1.0,0.0,0.0,1,1,1.0,1.0,1,1.0,0.9629629629629629,0.7481481481481481
01941360000150,90349.55780000001,36,19,0.09316958173644162,931.6958173644161,0.16668029337051166,0.509695585914644,10.733116767968358,0.8710115793645719,0.08487654320987656,848.7654320987656,0.19444444444444445,0.4722222222222222,11.78181818181818,0.9217307874585372,0.008293038526565058,1,1,1.0,1.0,1,1.0,0.9957268739237137,0.9339283708901273
02073207000111,47831.108,45,35,0.05117355632931382,511.7355632931382,0.09756830220198956,0.3377450507732332,19.541342672468684,0.8984427835957328,0.036049382716049384,360.4938271604938,0.08888888888888889,0.24444444444444446,27.73972602739726,0.9721025166953523,0.015124173613264437,1,1,1.0,1.0,1,1.0,0.9755249949281282,0.7836099046661521
02150482000191,14750.0,1,1,1.0,10000.0,1.0,1.0,1.0,0.0,1.0,10000.0,1.0,1.0,1.0,0.0,0.0,1,1,1.0,1.0,1,1.0,0.3954248366013072,0.4570806100217865
02205357000131,18000.0,1,1,1.0,10000.0,1.0,1.0,1.0,0.0,1.0,10000.0,1.0,1.0,1.0,0.0,0.0,1,1,0.0,1.0,1,1.0,0.3954248366013072,0.4891067538126362
02236374000136,1200.0,1,1,1.0,10000.0,1.0,1.0,1.0,0.0,1.0,10000.0,1.0,1.0,1.0,0.0,0.0,1,1,0.0,1.0,1,1.0,0.835511982570806,0.7705882352941177
02246138000109,983889.7,3,3,0.7205425981406769,7205.425981406769,0.8409359301149305,0.9999999999999999,1.387842998568646,0.4949949559064938,0.3333333333333333,3333.333333333333,0.3333333333333333,1.0,3.0,0.9999999999999998,0.3872092648073436,1,1,0.0,1.0,1,1.0,0.3954248366013071,0.9062162103955997
02247113000111,112985.78,8,8,0.7329978763249883,7329.978763249883,0.8496644444991219,0.984597884795768,1.3642604328046257,0.2822152255685783,0.125,1250.0,0.125,0.5,8.0,1.0,0.6079978763249883,1,1,0.15033555550087807,0.9069141447496285,2,0.9510621602116656,0.46734428946787887,0.7444380222122393
02406542000194,4312.0,1,1,1.0,10000.0,1.0,1.0,1.0,0.0,1.0,10000.0,1.0,1.0,1.0,0.0,0.0,1,1,1.0,1.0,1,1.0,0.9773420479302832,0.7490196078431373
02482295000105,503159.3,15,12,0.4848852684643545,4848.852684643545,0.6236593460560105,0.9727974818313009,2.062343537816747,0.3860138384832507,0.09333333333333334,933.3333333333334,0.13333333333333333,0.4666666666666667,10.714285714285714,0.9782223928152853,0.39155193513102116,1,1,0.06828712099726668,0.8727520197936574,2,0.9317128790027334,0.43133744243449046,0.8366407923391986
02581343000112,21045.0,1,1,1.0,10000.0,1.0,1.0,1.0,0.0,1.0,10000.0,1.0,1.0,1.0,0.0,0.0,1,1,0.0,1.0,1,1.0,0.3954248366013072,0.5124183006535947
02694244000147,3999.0,1,1,1.0,10000.0,1.0,1.0,1.0,0.0,1.0,10000.0,1.0,1.0,1.0,0.0,0.0,1,1,0.0,1.0,1,1.0,0.835511982570806,0.5211328976034858
03061303000102,467164.55,7,6,0.3474728937213164,3474.728937213164,0.5136990809769277,0.9486540663241678,2.877922330258169,0.7152477927980051,0.18367346938775508,1836.7346938775509,0.2857142857142857,0.7142857142857142,5.444444444444445,0.9755037590061084,0.16379942433356132,1,1,0.0,0.5752667442389756,3,0.6948087135464367,0.39542483660130723,0.7784213865410221
03230443000167,7269371.88,2,1,1.0,10000.0,1.0,1.0,1.0,0.0,1.0,10000.0,1.0,1.0,1.0,0.0,0.0,1,1,0.0,0.9731173181611956,2,0.986372962941607,0.3954248366013072,0.9908496732026144
03264792000108,203572.27999999997,14,13,0.17435393076517483,1743.5393076517482,0.2663211317375823,0.7816470886900712,5.735460024396183,0.7696839796043946,0.0816326530612245,816.3265306122449,0.14285714285714285,0.3571428571428571,12.249999999999998,0.9902871167541443,0.09272127770395033,1,1,1.0,1.0,1,1.0,0.9867636146221539,0.900889715708532
03311730000100,19699.12,1,1,1.0,10000.0,1.0,1.0,1.0,0.0,1.0,10000.0,1.0,1.0,1.0,0.0,0.0,1,1,0.0,1.0,1,1.0,0.3954248366013072,0.5037037037037037
03324132000167,6460.7,3,2,0.5612529795895349,5612.529795895349,0.6750042565047132,1.0,1.7817277348466587,0.9097316342096285,0.5555555555555556,5555.555555555556,0.6666666666666666,1.0,1.7999999999999998,0.9182958340544894,0.005697424033979326,1,1,1.0,1.0,1,1.0,0.7323387258501739,0.27464103476919427
03347877000141,20733.45,5,5,0.44752887758076015,4475.288775807601,0.6342311578632597,0.9942180389660189,2.2344926776698157,0.6669294172578667,0.20000000000000004,2000.0000000000005,0.2,0.8,4.999999999999999,1.0000000000000002,0.24752887758076011,1,1,1.0,1.0,1,1.0,0.9469969298188858,0.6826083294794314
03347885000198,79611.212,84,41,0.09658203668601183,965.8203668601183,0.22218805059769722,0.5293011491898905,10.353892238274076,0.7644773649436066,0.045068027210884355,450.68027210884355,0.10714285714285714,0.3095238095238095,22.18867924528302,0.9142800650172571,0.05151400947512747,1,1,1.0,1.0,1,1.0,0.9852106363467797,0.8502672496592696
03383321000100,347.19,2,2,0.5000027214830037,5000.027214830037,0.5011665082519657,1.0,1.9999891141272366,0.9999960737264048,0.5,5000.0,0.5,1.0,2.0,1.0,2.7214830037314286e-06,1,1,1.0,1.0,1,1.0,0.9908405241182852,0.80288034258991
03405084000131,0.01,1,1,1.0,10000.0,1.0,1.0,1.0,0.0,1.0,10000.0,1.0,1.0,1.0,0.0,0.0,1,1,0.0,1.0,1,1.0,0.3954248366013072,0.0010893246187363835
03567122000152,91200.0,1,1,1.0,10000.0,1.0,1.0,1.0,0.0,1.0,10000.0,1.0,1.0,1.0,0.0,0.0,1,1,0.0,1.0,1,1.0,0.835511982570806,0.8422657952069716
