uf,regiao,municipios_universo,municipios_observados,presenca_pct
AC,Norte,22,1,4.545454545454546
AL,Nordeste,102,6,5.88235294117647
AM,Norte,62,7,11.29032258064516
AP,Norte,16,1,6.25
BA,Nordeste,417,30,7.194244604316546
CE,Nordeste,184,23,12.5
DF,Centro-Oeste,1,0,0.0
ES,Sudeste,78,49,62.82051282051282
GO,Centro-Oeste,246,123,50.0
MA,Nordeste,217,11,5.0691244239631335
MG,Sudeste,853,104,12.192262602579133
MS,Centro-Oeste,79,33,41.77215189873418
MT,Centro-Oeste,141,7,4.964539007092199
PA,Norte,144,19,13.194444444444445
PB,Nordeste,223,15,6.726457399103139
PE,Nordeste,185,32,17.2972972972973
PI,Nordeste,224,1,0.4464285714285714
PR,Sul,399,52,13.032581453634084
RJ,Sudeste,92,43,46.73913043478261
RN,Nordeste,167,28,16.766467065868262
RO,Norte,52,16,30.76923076923077
RR,Norte,15,0,0.0
RS,Sul,497,49,9.859154929577464
SC,Sul,295,222,75.2542372881356
SE,Nordeste,75,29,38.666666666666664
SP,Sudeste,645,116,17.984496124031008
TO,Norte,139,14,10.071942446043165
,,1,0,0.0
