metrica,valor
compradores_total_metricas,697.0
compradores_multi_municipio_total_n,0.0
compradores_multi_municipio_total_pct,0.0
compradores_elegiveis,240.0
compradores_multi_municipio_elegiveis_n,0.0
compradores_multi_municipio_elegiveis_pct,0.0
compradores_elegiveis_uma_categoria_n,137.0
compradores_elegiveis_uma_categoria_pct,57.08333333333333
fornecedores_rede_elegivel,1724.0
relacoes_comprador_fornecedor_rede_elegivel,5328.0
top_1pct_fornecedores_strength_share,0.43748621280032457
top_5pct_fornecedores_strength_share,0.741276644455781
top_10pct_fornecedores_strength_share,0.8565750917509518
top_1pct_degree_edge_coverage,0.23948948948948948
top_5pct_degree_edge_coverage,0.5426051051051051
top_10pct_degree_edge_coverage,0.6557807807807807
degree_mediana_rede_elegivel,1.0
degree_p95_rede_elegivel,12.0
degree_max_rede_elegivel,95.0
valor_total_relacoes_rede_elegivel,415282835.51400006
