orgao_cnpj,portfolio_hhi_mai,portfolio_hhi_norm_mai,portfolio_cr1_mai,portfolio_cr4_mai,count_hhi_mai,count_hhi_norm_mai,exposicao_strength_global_mai,exposicao_degree_global_mai,n_fornecedores_mai,n_instrumentos_mai,quadrante_mai,exposicao_oculta_mai,portfolio_hhi_jun,portfolio_hhi_norm_jun,portfolio_cr1_jun,portfolio_cr4_jun,count_hhi_jun,count_hhi_norm_jun,exposicao_strength_global_jun,exposicao_degree_global_jun,n_fornecedores_jun,n_instrumentos_jun,quadrante_jun,exposicao_oculta_jun,delta_hhi,delta_hhi_norm,delta_exposicao_strength,quadrante_estavel
00091238000170,0.3303067153054515,0.246595054718633,0.4312528860261833,0.9731237932327128,0.1239669421487603,0.0144628099173553,0.7928941512263508,0.5642852833004187,9,11,baixo_baixo,False,0.3303067153054515,0.246595054718633,0.4312528860261833,0.9731237932327128,0.1239669421487603,0.0144628099173553,0.7879573378713607,0.5615495247490827,9,11,baixo_baixo,False,0.0,0.0,-0.004936813354990077,True
00118735000114,0.482405668049233,0.4084636206276949,0.67974016572561,0.8988048235642621,0.125,0.0,0.5645375633075265,0.4654146978313619,8,8,hhi_alto,False,0.482405668049233,0.4084636206276949,0.67974016572561,0.8988048235642621,0.125,0.0,0.5583930980960434,0.4630226364205698,8,8,hhi_alto,False,0.0,0.0,-0.006144465211483041,True
00202770000117,0.6949849778971577,0.6187312223714472,0.8248848249039445,0.982546689162356,0.2,3.4694469519536136e-17,0.9372761350785832,0.4117452175048804,5,5,critico,False,0.5160285226261689,0.4192342271514027,0.6929491085614969,0.9699696273599966,0.1666666666666666,3.3306690738754695e-17,0.9342668747454268,0.4911310230478846,6,6,critico,False,-0.1789564552709888,-0.1994969952200445,-0.003009260333156405,True
00204125000133,0.4451703128319597,0.4187498515382435,0.6440097587962229,0.913850699856712,0.0486111111111111,0.0033068783068783,0.7796571592869536,0.5050952657728931,22,24,hhi_alto,False,0.4451703128319597,0.4187498515382435,0.6440097587962229,0.913850699856712,0.0486111111111111,0.0033068783068783,0.7734631879124804,0.505001120485745,22,24,hhi_alto,False,0.0,0.0,-0.006193971374473195,True
00421772000105,0.5660541090014122,0.4575676362517651,0.719688290301089,0.9990614418002368,0.2244897959183673,0.0306122448979591,0.8610589530446401,0.8462417641745803,5,7,hhi_alto,False,0.1812125737566933,0.1266267453404728,0.2593851117840237,0.8006036363567505,0.075,0.0133333333333333,0.9320785423314372,0.4355354202306462,16,20,oculta,True,-0.38484153524471887,-0.3309408909112923,0.07101958928679708,False
00444435000125,0.4826939633728737,0.3533674542160921,0.6474950739981422,0.9815493424962536,0.2244897959183673,0.0306122448979591,0.7820737897734923,0.8783439423991328,5,7,hhi_alto,False,0.2852700824257914,0.1831658084866187,0.4051138876416632,0.923778572251124,0.14,0.0171428571428571,0.7181875207471254,0.6292812857858923,8,10,baixo_baixo,False,-0.1974238809470823,-0.1702016457294734,-0.06388626902636685,False
00460408000146,0.157484917144023,0.1048277244655244,0.2576357188737003,0.7300150496831697,0.0661157024793388,0.0077479338842975,0.6126367342758027,0.5490923153217235,17,22,baixo_baixo,False,0.1268202119733327,0.093236373972307,0.2431488023913243,0.6425280798783506,0.0413223140495867,0.0044500953591862,0.6406166808350311,0.7062223418820968,27,33,baixo_baixo,False,-0.030664705170690282,-0.011591350493217398,0.02797994655922842,True
00536717000152,0.0903419516776423,0.0203682556528456,0.123563122361471,0.4598221496070459,0.0714285714285714,0.0,0.6415315856405838,0.5171079966975785,14,14,baixo_baixo,False,0.0863123771695586,0.0210489755388128,0.1202815134148058,0.4476101202313961,0.0666666666666666,0.0,0.6338541480284949,0.5122307930401889,15,15,baixo_baixo,False,-0.004029574508083694,0.0006807198859672021,-0.007677437612088833,True
00569168000112,0.9811605689885692,0.9784692217012216,0.9905263642204334,0.9963079102094884,0.125,0.0,0.979413456325601,0.9872684141500152,8,8,critico,False,0.944289681876618,0.93871865006428,0.9716081015069912,0.9930149738039196,0.0909090909090909,0.0,0.9706903916586926,0.9893425469076867,11,11,critico,False,-0.03687088711195119,-0.03975057163694162,-0.008723064666908309,True
00675468000186,0.1518031152982577,0.1344929747941405,0.3398081825631773,0.6083647160204377,0.0244182706118931,0.0045084393998909,0.8785369323171911,0.5708877965008645,50,59,baixo_baixo,False,0.1509875868592134,0.1343402846407667,0.3388899506872167,0.6067207889370874,0.0233808116097823,0.0042314157589937,0.8810552586902395,0.7268849394722418,52,61,baixo_baixo,False,-0.0008155284390443107,-0.00015269015337379677,0.002518326373048385,True
00879976000186,0.0160606475716299,0.0083736213807833,0.0602464596598312,0.1420095120553165,0.0078106508875739,5.9171597633138886e-05,0.7338298875553487,0.4014183565818778,129,130,baixo_baixo,False,0.0155965741590211,0.0082502799363273,0.0562549926305959,0.1418429457042884,0.0076957899502037,0.0002905346513246,0.7317832941197299,0.3989296410860706,135,141,baixo_baixo,False,-0.00046407341260880017,-0.00012334144445600055,-0.0020465934356188598,True
00955107000193,0.3182372040148773,0.3011931341152492,0.4431123393419284,0.9358906421394468,0.0327783558792924,0.0085978147762747,0.9493969393350832,0.4089851054170996,41,62,oculta,True,0.2240746394220999,0.2158201143095691,0.3699508067479694,0.781367313312825,0.0265838786436644,0.0162283879909375,0.9269717984721229,0.4826799609350993,95,328,oculta,True,-0.09416256459277741,-0.08537301980568007,-0.022425140862960324,True
