orgao_cnpj,portfolio_hhi_mar,portfolio_hhi_norm_mar,portfolio_cr1_mar,portfolio_cr4_mar,count_hhi_mar,count_hhi_norm_mar,exposicao_strength_global_mar,exposicao_degree_global_mar,n_fornecedores_mar,n_instrumentos_mar,quadrante_mar,exposicao_oculta_mar,portfolio_hhi_abr,portfolio_hhi_norm_abr,portfolio_cr1_abr,portfolio_cr4_abr,count_hhi_abr,count_hhi_norm_abr,exposicao_strength_global_abr,exposicao_degree_global_abr,n_fornecedores_abr,n_instrumentos_abr,quadrante_abr,exposicao_oculta_abr,delta_hhi,delta_hhi_norm,delta_exposicao_strength,quadrante_estavel
00091238000170,0.4045212643785513,0.2854255172542616,0.5643524876892105,0.9904406838238912,0.183673469387755,0.0204081632653061,0.7484208448057248,0.4150654617630527,6,7,hhi_alto,False,0.3434430514204432,0.2121316617045318,0.4398615957410122,0.992549379759744,0.1875,0.025,0.7618769571576134,0.4104499849050219,6,8,baixo_baixo,False,-0.06107821295810811,-0.07329385554972978,0.013456112351888594,False
00204125000133,0.3627043694426003,0.256488431016367,0.5231652351572167,0.917454014673417,0.1428571428571428,0.0,0.5034087508994136,0.4470834285739227,7,7,baixo_baixo,False,0.2297493931862346,0.1704993465082526,0.4073749171375621,0.7475609300495831,0.0714285714285714,0.0,0.4619282765289749,0.51057442101681,14,14,baixo_baixo,False,-0.1329549762563657,-0.08598908450811438,-0.041480474370438725,True
00460408000146,0.7121942314230545,0.6402427892788182,0.8338909979382045,0.9897622507273962,0.2,3.4694469519536136e-17,0.6839676665600792,0.4883817695641092,5,5,hhi_alto,False,0.4736639063521876,0.4078718946462111,0.6698533077077229,0.9136335801928844,0.1111111111111111,0.0,0.6188052975440784,0.4850657765832779,9,9,hhi_alto,False,-0.2385303250708669,-0.23237089463260707,-0.06516236901600081,True
00536717000152,0.1274996889206784,0.0305552099118649,0.1723053370664415,0.6101159158048245,0.1,3.0839528461809905e-17,0.6522842763779553,0.5123061484187917,10,10,baixo_baixo,False,0.0903419516776423,0.0203682556528456,0.123563122361471,0.4598221496070459,0.0714285714285714,0.0,0.6493796060030529,0.5210052455913683,14,14,baixo_baixo,False,-0.0371577372430361,-0.0101869542590193,-0.002904670374902385,True
00955107000193,0.0992656907238385,0.0646220634439861,0.1731194407865028,0.5443922857171309,0.0432525951557093,0.0064546180463135,0.5430572614618535,0.4981588445395735,27,34,baixo_baixo,False,0.5000812459218454,0.4839548344999695,0.664345722984682,0.9391332560934617,0.04,0.0090322580645161,0.938329371188136,0.4193514491431537,32,45,critico,False,0.40081555519800693,0.41933277105598343,0.39527210972628246,False
00999472000108,0.0561304704165383,0.0306204831304988,0.0947642738687514,0.3790570954750059,0.0263157894736842,0.0,0.9142891110850542,0.4692397569997985,38,38,baixo_baixo,False,0.0320399579993791,0.01780525149937,0.0605402638369923,0.2421610553479692,0.0144927536231884,0.0,0.8975464179676073,0.4982184066202975,69,69,baixo_baixo,False,-0.024090512417159198,-0.012815231631128798,-0.016742693117446916,True
01071994000108,0.1801192163240494,0.1473239849770114,0.2789077638688532,0.7425009643097624,0.0384615384615384,0.0,0.8919495534048115,0.5966612844188836,26,26,baixo_baixo,False,0.1737828224387252,0.1420052386863685,0.2736810598291108,0.7285865693290069,0.037037037037037,0.0,0.8833728372594206,0.5916623247443235,27,27,baixo_baixo,False,-0.0063363938853241986,-0.005318746290642912,-0.008576716145390906,True
01280363000190,0.5471006198949253,0.5169073278879204,0.6784062633035545,0.9944246157330048,0.074074074074074,0.0123456790123456,0.9874785893712869,0.4103140721697073,16,18,critico,False,0.5426743137465568,0.5198080294338847,0.6756521197324181,0.9903875242281828,0.072,0.0256,0.984644857137824,0.4069836888518128,21,25,critico,False,-0.004426306148368475,0.002900701545964335,-0.002833732233462838,True
01282378000198,0.6270303612307502,0.5959495579999794,0.7810307012234221,0.947735534257022,0.1003460207612456,0.0253748558246828,0.9770092336357968,0.988325512944752,13,17,critico,False,0.3532488291209398,0.3128268809409986,0.4534181729793943,0.9233435980762644,0.1173607355327203,0.0621957815035154,0.9609505911733514,0.9864002956347424,17,43,oculta,True,-0.2737815321098104,-0.2831226770589808,-0.016058642462445483,False
01349236000109,0.1022914515136944,0.0595434253952988,0.1793203642769302,0.5505438401899845,0.0742857142857143,0.030204081632653,0.9466762685726758,0.9978254241054764,22,70,oculta,True,0.0849908665311566,0.0468654859699548,0.1393851825721429,0.4642021187779968,0.0729675380637747,0.0343411854830987,0.9586284884397468,0.9985034487519528,25,118,oculta,True,-0.017300584982537795,-0.012677939425343995,0.011952219867070957,True
