orgao_cnpj,portfolio_hhi,portfolio_hhi_norm,n_fornecedores,n_instrumentos,exposicao_strength_global,exposicao_degree_global,exposicao_strength_loo,exposicao_degree_loo,contribuicao_propria_strength_media_ponderada,delta_strength_loo,delta_degree_loo,discordancia_strength_raw,discordancia_strength_loo,discordancia_degree_loo
00091238000170,0.3303067153054515,0.246595054718633,9,11,0.7928941512263508,0.5642852833004187,0.2962702232215601,0.15717107064620944,0.7560647559100608,-0.49662392800479066,-0.4071142126542093,False,False,False
00118735000114,0.482405668049233,0.4084636206276949,8,8,0.5645375633075265,0.4654146978313619,0.0690474802233783,0.08233857504616152,0.8950341872655669,-0.49549008308414816,-0.3830761227852004,False,False,False
00202770000117,0.6949849778971577,0.6187312223714472,5,5,0.9372761350785832,0.4117452175048804,0.013540562776865446,0.017694467793552392,0.986936822382285,-0.9237355723017178,-0.39405074971132803,False,False,False
00204125000133,0.4451703128319597,0.4187498515382435,22,24,0.7796571592869536,0.5050952657728931,0.1272798056382529,0.16133967187090395,0.8737907680697715,-0.6523773536487006,-0.3437555939019892,False,False,False
00421772000105,0.5660541090014122,0.4575676362517651,5,7,0.8610589530446401,0.8462417641745803,0.8428069042322522,0.48502831165840476,0.1457638205244378,-0.018252048812387844,-0.36121345251617554,False,False,False
00444435000125,0.4826939633728737,0.3533674542160921,5,7,0.7820737897734923,0.8783439423991328,0.6875584366874846,0.5439744885646077,0.43167275151945045,-0.09451535308600767,-0.3343694538345251,False,False,False
00460408000146,0.157484917144023,0.1048277244655244,17,22,0.6126367342758027,0.5490923153217235,0.2232125946941157,0.15611821233728992,0.7941873331143706,-0.389424139581687,-0.3929741029844336,False,False,False
00536717000152,0.0903419516776423,0.0203682556528456,14,14,0.6415315856405838,0.5171079966975785,0.1907915373294743,0.16413606987778928,0.8022571623478087,-0.4507400483111095,-0.3529719268197892,False,False,False
00569168000112,0.9811605689885692,0.9784692217012216,8,8,0.979413456325601,0.9872684141500152,0.9791039126063672,0.9866831176990257,0.030464365286542467,-0.00030954371923375135,-0.0005852964509894809,False,False,False
00675468000186,0.1518031152982577,0.1344929747941405,50,59,0.8785369323171911,0.5708877965008645,0.25347352561947933,0.2247703851078702,0.8602780239048404,-0.6250634066977118,-0.34611741139299435,False,False,False
00879976000186,0.0160606475716299,0.0083736213807833,129,130,0.7338298875553487,0.4014183565818778,0.0038096354471925725,0.0038096354471925725,0.999999999999995,-0.7300202521081561,-0.3976087211346852,False,False,False
00955107000193,0.3182372040148773,0.3011931341152492,41,62,0.9493969393350832,0.4089851054170996,0.010075856756615483,0.012029770552850838,0.990742775477089,-0.9393210825784677,-0.3969553348642488,True,False,False
00956081000106,0.2320739326466755,0.0784887191760106,6,6,0.5120898105723422,0.5665369071316149,0.21852801080496478,0.28074535271598083,0.7611769456054578,-0.2935617997673774,-0.28579155441563403,False,False,False
00999472000108,0.0279491368162613,0.0153250996320569,78,78,0.8895267040278789,0.5098980309332628,0.12212078724625222,0.12728075074559503,0.9353460683726854,-0.7674059167816267,-0.3826172801876678,False,False,False
01071994000108,0.1737828224387252,0.1420052386863685,27,27,0.8838852405670745,0.5901513689714607,0.29806753271017644,0.3153397414276676,0.7000658606695194,-0.585817707856898,-0.2748116275437931,False,False,False
01210830000106,0.1253255800432246,0.0458097236835177,12,12,0.5488602270331562,0.5871260455807584,0.25300190493529506,0.2386370467744219,0.7192836497792876,-0.2958583220978611,-0.34848899880633655,False,False,False
01280363000190,0.516445116024835,0.5026292621969731,36,40,0.9764547823318932,0.4030349397261867,0.0021561938538878344,0.003070566514675167,0.9978003493961823,-0.9742985884780053,-0.3999643732115115,False,False,False
01282378000198,0.3264675749704674,0.3047407225501599,32,83,0.9509934352417204,0.988420371692752,0.9494299207595859,0.987715369168954,0.03683416716289776,-0.0015635144821345426,-0.0007050025237980151,True,True,True
01294821000140,0.2908090286534612,0.1135112858168265,5,5,0.7463330555167816,0.7216033051462175,0.514346581061727,0.4810032213454724,0.4485820245966495,-0.2319864744550546,-0.2406000838007451,False,False,False
01335616000186,0.8458034325109581,0.8072542906386976,5,6,0.8394823368269281,0.9286776547191332,0.6977139940581998,0.8766777698860855,0.6387030172304111,-0.1417683427687283,-0.05199988483304774,False,False,False
01349236000109,0.0850697326245563,0.04988010695627,27,150,0.9661347823758368,0.998823193447826,0.9650737801350127,0.998796648904108,0.02450756067030433,-0.0010610022408241715,-2.6544543717976765e-05,True,True,True
01397083000167,0.1466578203959035,0.1229538709624564,37,73,0.8329953085390361,0.9499614551316564,0.8265525352588456,0.8088512859358951,0.05545130849214915,-0.006442773280190495,-0.14111016919576136,False,True,True
01404511000131,0.1426669623016937,0.1181717326531707,36,59,0.7361063369289741,0.536758008670956,0.2652458405990749,0.12621150649645088,0.8059773092180456,-0.4708604963298992,-0.41054650217450517,False,False,False
01420402000108,0.6902083991042532,0.6643924323629409,13,15,0.8423318955145528,0.4620975469133834,0.08097243793171784,0.07244452846987973,0.9032115539803474,-0.761359457582835,-0.38965301844350364,False,False,False
01465988000127,0.0712633816597722,0.0629710904245916,113,181,0.7780985131691335,0.6335084298579464,0.3256827889293319,0.351005080419589,0.7100381474807381,-0.4524157242398016,-0.2825033494383574,False,False,False
01494665000161,0.1825732498012632,0.1241856247870677,15,18,0.6712453370504156,0.4348281855208816,0.044312058252443116,0.03474334126626611,0.9455961137584814,-0.6269332787979724,-0.4000848442546155,False,False,False
01600293000100,0.4190953485824656,0.3938386246077902,24,40,0.6895089403573158,0.6260760024289795,0.2936255031553541,0.37649011439107866,0.6422884540093724,-0.39588343720196173,-0.24958588803790088,False,False,False
01610999000153,0.379511129578573,0.3231030504493524,12,13,0.817486814233129,0.9947415335402404,0.8163905149174597,0.9945465632078414,0.01319121603288782,-0.0010962993156692358,-0.00019497033239901373,False,True,True
01648573000199,0.2591457495889256,0.2385664648552847,37,44,0.8859567334781283,0.7447417882825756,0.6331874236439267,0.36695634043969905,0.5874756624628381,-0.25276930983420165,-0.3777854478428766,False,True,False
01650166000116,0.2138000615108942,0.1576429230473867,15,18,0.6717791023304875,0.4825474236048388,0.08472014072952144,0.13774755319986276,0.9194725817901728,-0.587058961600966,-0.34479987040497606,False,False,False
01743462000161,0.3399855573239107,0.2079826687886928,6,6,0.7471548617585969,0.9834353421249682,0.7383893097359026,0.9812762870479417,0.028919364417073653,-0.008765552022694356,-0.002159055077026517,False,True,True
01746653000187,0.0349112696172949,0.0289539317754263,163,698,0.9274310169250825,0.995583892748012,0.9249125603788065,0.9947212117859505,0.025103986185442306,-0.0025184565462759156,-0.0008626809620614351,True,True,True
01815216000178,0.1694447488653912,0.1623459860351809,118,132,0.9295376138843544,0.4374408462174675,0.04228491025347762,0.05741803485731427,0.9841544586483909,-0.8872527036308768,-0.3800228113601532,True,False,False
01823752000115,0.3104101187524868,0.1954784718779012,7,10,0.7097156326300114,0.7318943721529946,0.4879113818833649,0.556919653779169,0.4613903562520568,-0.22180425074664645,-0.1749747183738256,False,False,False
01824828000127,0.091977818179969,0.0708610232539217,44,119,0.7617932960121432,0.9872984321413474,0.7510802536607093,0.9860784116851022,0.06071059180071501,-0.010713042351433888,-0.001220020456245141,False,True,True
01850671000104,0.1830011271791377,0.1678715184231957,55,142,0.8159020325594296,0.934072065827228,0.6684670594595977,0.7627883248007239,0.37674163087964974,-0.1474349730998319,-0.17128374102650412,False,True,True
01877528000106,0.18778094206419,0.1631682433388624,34,37,0.954587143568272,0.693133283378935,0.495500719544678,0.4947798551065504,0.6118890944674098,-0.459086424023594,-0.19835342827238456,True,False,False
01896727000161,0.6481948109908329,0.6306045515403745,21,35,0.6052255859896324,0.5190582746629903,0.17068829236077096,0.19691933062021186,0.8030136749400524,-0.4345372936288614,-0.32213894404277843,False,False,False
01906118000146,0.7760365628393504,0.7312438754072205,6,6,0.8360752708424759,0.4014183565818778,0.00020513421638729333,0.00020513421638729333,0.9999999999999996,-0.8358701366260886,-0.4012132223654905,False,False,False
01935036000120,0.1645168841735157,0.1357071215588094,30,47,0.7594864178019203,0.9862903343629268,0.7535337829958395,0.9802221169029953,0.04397720636039774,-0.00595263480608077,-0.006068217459931469,False,True,True
01941360000150,0.1145112754506306,0.106877751963136,117,305,0.954040361623876,0.9927368811540808,0.9527013246247784,0.9924458148530112,0.03752019689923053,-0.0013390369990975426,-0.00029106630106956466,True,True,True
01977854000195,0.2769172624578531,0.2046089887036384,11,12,0.7010046502909733,0.5851605358066833,0.2501685229079388,0.18318183387749873,0.8205180914180022,-0.45083612738303447,-0.4019787019291845,False,False,False
02073207000111,0.2533702626219071,0.2467629198132514,114,369,0.8937565744233789,0.5288841014205152,0.1976319329810791,0.21338638405739996,0.7877365974532349,-0.6961246414422998,-0.31549771736311527,False,False,False
02179215000147,0.2168178832343198,0.1189201186386098,9,9,0.4533577824912054,0.5592538635182008,0.20418415354821068,0.14437302056343748,0.7811752574366482,-0.24917362894299472,-0.41488084295476335,False,False,False
02180700000130,0.4964367242432984,0.3285822989910645,4,5,0.6154997230232051,0.6951909457928263,0.47037624268859424,0.4986750909846419,0.4866300759436798,-0.14512348033461087,-0.19651585480818434,False,False,False
02246138000109,0.1980155426802393,0.1445499121922553,16,37,0.8484519907784592,0.4014183565818778,0.0004981830969405693,0.0004981830969405693,0.9999999999999993,-0.8479538076815186,-0.40092017348493725,False,False,False
02247113000111,0.1938131947393742,0.1693832915496583,34,43,0.8333239170542818,0.8563208384095313,0.7261633961320114,0.7326073306449103,0.25118437469881516,-0.10716052092227035,-0.12371350776462098,False,True,True
02299772000100,0.1982636533483986,0.0980466100169484,9,9,0.6943204845294441,0.992434863368516,0.689253868471698,0.9919791665614733,0.03361512983398322,-0.005066616057746054,-0.00045569680704271587,False,True,True
02307876000100,0.9919611659947236,0.9903533991936684,6,6,0.9697773996716834,0.9220631694004764,0.8607350966812936,0.8543206643693302,0.8606538020914675,-0.10904230299038986,-0.0677425050311462,False,False,False
02316487000141,0.5409772355406915,0.523322513830718,27,38,0.9795552841442944,0.5608431732245258,0.2566060478015922,0.26119213262899693,0.8104231525704877,-0.7229492363427021,-0.2996510405955289,False,False,False
02318396000145,0.3739088251284361,0.2956474282694907,9,9,0.8265656385368314,0.437953181446955,0.03590927834184462,0.03266223266584549,0.9771470169913169,-0.7906563601949868,-0.4052909487811095,False,False,False
02362976000130,0.0102364422449173,0.0022544780694731,125,133,0.3794600924801823,0.4141116382277481,0.018168184274897563,0.014843218361025649,0.9822458277470714,-0.36129190820528473,-0.39926841986672246,False,False,False
