modelo,covariancia,formula,n,r2,r2_ajustado,aic,bic,clusters_municipio
P1_HHI_norm_externo,cluster_municipio,portfolio_hhi_norm ~ log_populacao_siconfi + log_despesa_pc,562,0.019733719312357567,0.01622650542796522,-87.6066432739085,-74.61213772422744,392.0
P1_HHI_norm_externo,HC3,portfolio_hhi_norm ~ log_populacao_siconfi + log_despesa_pc,562,0.019733719312357567,0.01622650542796522,-87.6066432739085,-74.61213772422744,
P2_HHI_norm_carteira,cluster_municipio,portfolio_hhi_norm ~ log_populacao_siconfi + log_despesa_pc + log_n_fornecedores + log_instrumentos_por_fornecedor,562,0.08737568819243069,0.08082183317047331,-123.78961036790793,-102.13210111843946,392.0
P2_HHI_norm_carteira,HC3,portfolio_hhi_norm ~ log_populacao_siconfi + log_despesa_pc + log_n_fornecedores + log_instrumentos_por_fornecedor,562,0.08737568819243069,0.08082183317047331,-123.78961036790793,-102.13210111843946,
P3_HHI_norm_UF_FE,cluster_municipio,portfolio_hhi_norm ~ log_populacao_siconfi + log_despesa_pc + log_n_fornecedores + log_instrumentos_por_fornecedor + C(uf),562,0.16045559053969105,0.12456428678952913,-132.69690287361232,-28.740858476163737,392.0
P3_HHI_norm_UF_FE,HC3,portfolio_hhi_norm ~ log_populacao_siconfi + log_despesa_pc + log_n_fornecedores + log_instrumentos_por_fornecedor + C(uf),562,0.16045559053969105,0.12456428678952913,-132.69690287361232,-28.740858476163737,
P4_CountHHI_norm,cluster_municipio,count_hhi_norm ~ log_populacao_siconfi + log_despesa_pc + log_n_fornecedores + log_instrumentos_por_fornecedor + C(uf),562,0.4593824703439936,0.43627056851855095,-2518.060671868558,-2414.1046274711093,392.0
P4_CountHHI_norm,HC3,count_hhi_norm ~ log_populacao_siconfi + log_despesa_pc + log_n_fornecedores + log_instrumentos_por_fornecedor + C(uf),562,0.4593824703439936,0.43627056851855095,-2518.060671868558,-2414.1046274711093,
P5_Gap_valor_frequencia,cluster_municipio,hhi_norm_gap_value_count ~ log_populacao_siconfi + log_despesa_pc + log_n_fornecedores + log_instrumentos_por_fornecedor + C(uf),562,0.15470911331753434,0.11857214232553304,-129.39665505651556,-25.440610659066976,392.0
P5_Gap_valor_frequencia,HC3,hhi_norm_gap_value_count ~ log_populacao_siconfi + log_despesa_pc + log_n_fornecedores + log_instrumentos_por_fornecedor + C(uf),562,0.15470911331753434,0.11857214232553304,-129.39665505651556,-25.440610659066976,
P6_Exposicao_strength,cluster_municipio,exposicao_strength ~ log_populacao_siconfi + log_despesa_pc + log_n_fornecedores + log_instrumentos_por_fornecedor + C(uf),562,0.22768096442420127,0.19466360788471548,-434.6679665553065,-330.71192215785794,392.0
P6_Exposicao_strength,HC3,exposicao_strength ~ log_populacao_siconfi + log_despesa_pc + log_n_fornecedores + log_instrumentos_por_fornecedor + C(uf),562,0.22768096442420127,0.19466360788471548,-434.6679665553065,-330.71192215785794,
