uf,datas_sentinela,municipios,instrumentos,fornecedores,valor_inicial
AC,1,1,1,1,5252.7
AL,9,5,46,44,13759351.12
AM,2,2,2,2,15524.0
BA,12,22,106,100,73702255.0
CE,12,13,31,29,2554263.06
ES,12,37,147,132,38563041.5646
GO,12,93,2410,1534,137836176.13
MA,5,5,21,14,28221600.57
MG,12,58,315,258,50283081.3304
MS,12,28,188,172,26021934.95
MT,7,5,20,20,40984796.06
PA,12,11,237,100,54132888.21
PB,11,8,92,78,21639732.84
PE,11,23,139,123,29518660.04
PI,7,1,38,36,26196485.52
PR,12,30,282,211,15149810.370000001
RJ,12,32,242,210,59116878.82
RN,8,11,29,23,8803259.870000001
RO,6,8,16,16,2695629.7199999997
RR,3,1,3,3,878965.0
RS,12,25,167,129,56303452.722
SC,12,181,6425,952,174712590.1153
SE,12,16,99,71,82114864.12
SP,12,79,1539,1047,269726257.26
TO,11,10,204,159,17852390.4093
