id_compra,n_instrumentos,n_fornecedores,valor_inicial
00118735000114-1-000009/2025,1,1,360.0
00118735000114-1-000021/2025,1,1,100080.0
00118735000114-1-000022/2025,1,1,37009.12
00324208000166-1-000002/2025,1,1,5228.15
00324208000166-1-000006/2025,1,1,4000.0
00343828000142-1-000002/2025,1,1,52680.0
00378257000181-1-000025/2023,1,1,616150.61
00378257000181-1-000042/2024,2,2,37800.0
00421772000105-1-000012/2025,9,9,2538.21
00421772000105-1-000048/2025,3,1,8193.0
00421772000105-1-000082/2025,3,1,10000.0
00426641000102-1-000004/2025,1,1,19200.0
00444435000125-1-000007/2025,1,1,6974.0
00465786000112-1-000014/2025,1,1,37721.73
00465786000112-1-000017/2025,2,2,37763.7
00489828000155-1-000055/2025,1,1,167950.0
00536717000152-1-000008/2025,1,1,5177.76
00571071000144-1-000028/2025,1,1,1620.0
00634997000131-1-000108/2024,1,1,1500000.0
00675468000186-1-000005/2025,1,1,2154583.44
00715411000163-1-000008/2025,1,1,1123.5
00784548000170-1-000001/2024,2,1,408216.0
00941254000104-1-000001/2025,1,1,12000.0
00955107000193-1-000124/2025,1,1,1369.95
00955107000193-1-000126/2025,1,1,1080.0
00955107000193-1-000128/2025,2,1,2400.0
00955107000193-1-000133/2025,1,1,4805.29
00955107000193-1-000136/2025,1,1,916.94
00955107000193-1-000180/2025,1,1,749.97
00955107000193-1-000297/2025,1,1,820.0
00955107000193-1-000298/2025,1,1,30000.0
00955107000193-1-000335/2024,2,2,134784.0
00999472000108-1-000009/2024,3,3,1380000.0
00999472000108-1-000010/2024,4,4,480000.0
01068055000104-1-000057/2024,3,1,462536.70999999996
01068055000104-1-000097/2025,4,2,23527.5
01068055000104-1-000109/2025,6,2,51396.58
01068055000104-1-000112/2025,6,2,46272.05
01068055000104-1-000127/2025,4,4,122400.0
01105329000180-1-000016/2025,3,2,2606.71
01105329000180-1-000097/2024,1,1,7268.53
01105329000180-1-000103/2024,2,2,6143.12
