municipio_ibge,municipio,uf,datas_sentinela,instrumentos,fornecedores,categorias,valor_inicial,presenca_sentinela
1100023,Ariquemes,RO,2,3,3,2,327326.35,0.16666666666666666
1100114,Jaru,RO,3,6,6,3,488066.96,0.25
1100122,Ji-Paraná,RO,1,1,1,1,6419.47,0.08333333333333333
1100130,Machadinho D'Oeste,RO,1,1,1,1,4499.95,0.08333333333333333
1100205,Porto Velho,RO,1,2,2,1,563251.0,0.08333333333333333
1100304,Vilhena,RO,1,1,1,1,1106388.0,0.08333333333333333
1100809,Candeias do Jamari,RO,1,1,1,1,165278.0,0.08333333333333333
1100924,Chupinguaia,RO,1,1,1,1,34399.99,0.08333333333333333
1200500,Sena Madureira,AC,1,1,1,1,5252.7,0.08333333333333333
1301852,Iranduba,AM,1,1,1,1,524.0,0.08333333333333333
1302900,Maués,AM,1,1,1,1,15000.0,0.08333333333333333
1400100,Boa Vista,RR,3,3,3,1,878965.0,0.25
1500107,Abaetetuba,PA,1,1,1,1,1704000.0,0.08333333333333333
1500602,Altamira,PA,4,5,5,1,2955160.77,0.3333333333333333
1501303,Barcarena,PA,9,148,24,2,7363255.050000001,0.75
1501402,Belém,PA,8,18,18,4,9225313.09,0.6666666666666666
1501451,Belterra,PA,7,26,25,4,780363.45,0.5833333333333334
1502400,Castanhal,PA,2,4,4,3,202761.79,0.16666666666666666
1502905,Curuçá,PA,1,1,1,1,3301933.94,0.08333333333333333
1504208,Marabá,PA,5,7,7,2,748013.22,0.4166666666666667
1505304,Oriximiná,PA,3,17,13,2,6384970.91,0.25
1505403,Ourém,PA,3,3,3,2,711114.13,0.25
1508100,Tucuruí,PA,3,7,3,2,20756001.86,0.25
1702109,Araguaína,TO,3,63,62,2,4245656.5,0.25
1703701,Brejinho de Nazaré,TO,4,10,9,2,356616.01,0.3333333333333333
1705508,Colinas do Tocantins,TO,4,6,6,4,2432899.29,0.3333333333333333
1707009,Dianópolis,TO,3,9,9,3,2600360.4,0.25
1709500,Gurupi,TO,9,55,27,3,1713349.87,0.75
1711902,Lagoa da Confusão,TO,5,37,28,4,4968203.18,0.4166666666666667
1713809,Palmeiras do Tocantins,TO,1,1,1,1,31200.0,0.08333333333333333
1714880,Nova Olinda,TO,2,4,4,2,177675.2,0.16666666666666666
1716505,Pedro Afonso,TO,1,3,1,1,146000.14,0.08333333333333333
1718204,Porto Nacional,TO,5,16,14,2,1180429.8193,0.4166666666666667
2100055,Açailândia,MA,3,8,8,2,4074218.15,0.25
2100956,Arame,MA,1,1,1,1,1013303.67,0.08333333333333333
2101707,Barreirinhas,MA,2,10,3,3,19570860.45,0.16666666666666666
2104057,Estreito,MA,1,1,1,1,29865.0,0.08333333333333333
2110500,São Bento,MA,1,1,1,1,3533353.3,0.08333333333333333
2211001,Teresina,PI,7,38,36,2,26196485.52,0.5833333333333334
2300754,Amontada,CE,6,9,7,2,990716.4,0.5
2302602,Camocim,CE,1,1,1,1,2221.15,0.08333333333333333
2304459,Fortim,CE,2,2,2,2,34800.0,0.16666666666666666
2305407,Icó,CE,3,3,3,2,187840.96,0.25
2306108,Irauçuba,CE,1,2,2,1,1352.1799999999998,0.08333333333333333
2307254,Jijoca de Jericoacoara,CE,2,3,3,2,106885.09,0.16666666666666666
2309607,Pacajus,CE,1,1,1,1,48000.0,0.08333333333333333
2309706,Pacatuba,CE,2,2,2,2,300010.5,0.16666666666666666
2311355,Quixelô,CE,1,1,1,1,37739.28,0.08333333333333333
2311405,Quixeramobim,CE,1,1,1,1,53710.0,0.08333333333333333
2312007,Santana do Acaraú,CE,2,2,2,2,452780.0,0.16666666666666666
2313005,Solonópole,CE,1,1,1,1,38280.0,0.08333333333333333
2314003,Várzea Alegre,CE,3,3,3,1,299927.5,0.25
2400208,Assú,RN,1,1,1,1,1762180.51,0.08333333333333333
2402006,Caicó,RN,1,1,1,1,4200.0,0.08333333333333333
2402600,Ceará-Mirim,RN,1,1,1,1,4525.0,0.08333333333333333
2406007,José da Penha,RN,1,2,1,1,43500.0,0.08333333333333333
2408003,Mossoró,RN,1,6,2,1,5490494.0,0.08333333333333333
2408102,Natal,RN,1,1,1,1,815400.0,0.08333333333333333
2411908,São Francisco do Oeste,RN,1,2,2,1,18873.66,0.08333333333333333
2412005,São Gonçalo do Amarante,RN,2,6,6,1,539479.06,0.16666666666666666
2413557,Serrinha dos Pintos,RN,1,1,1,1,20400.0,0.08333333333333333
2413805,Taboleiro Grande,RN,1,1,1,1,49930.0,0.08333333333333333
2414902,Viçosa,RN,5,7,7,2,54277.64,0.4166666666666667
2502201,Bom Jesus,PB,1,2,2,1,105600.0,0.08333333333333333
2503704,Cajazeiras,PB,1,1,1,1,36000.0,0.08333333333333333
2504009,Campina Grande,PB,9,40,37,4,8812840.89,0.75
2506301,Guarabira,PB,1,2,2,1,144000.0,0.08333333333333333
2507507,João Pessoa,PB,7,42,31,4,10783791.26,0.5833333333333334
2508901,Mamanguape,PB,1,1,1,1,271185.0,0.08333333333333333
2511509,Pilar,PB,1,1,1,1,1111414.19,0.08333333333333333
2515302,Sapé,PB,2,3,3,2,374901.5,0.16666666666666666
2600104,Afogados da Ingazeira,PE,2,19,15,1,9129600.37,0.16666666666666666
2600401,Água Preta,PE,5,9,9,1,716232.1,0.4166666666666667
2601102,Araripina,PE,1,2,2,1,99600.0,0.08333333333333333
2601706,Belo Jardim,PE,1,2,2,2,4250.0,0.08333333333333333
2602209,Bom Jardim,PE,4,4,4,2,2051644.71,0.3333333333333333
2604007,Carpina,PE,3,17,17,3,3734649.5700000003,0.25
2605103,Custódia,PE,1,1,1,1,128634.0,0.08333333333333333
2605400,Feira Nova,PE,1,4,4,2,826264.5,0.08333333333333333
2606200,Goiana,PE,1,1,1,1,32754.61,0.08333333333333333
2608008,Jataúba,PE,1,3,1,1,22800.0,0.08333333333333333
2608453,Lagoa do Carro,PE,4,23,19,2,1636030.79,0.3333333333333333
2608909,Limoeiro,PE,2,2,2,2,234890.0,0.16666666666666666
2609105,Machados,PE,6,8,8,2,396949.14,0.5
2610608,Paudalho,PE,4,22,22,2,3370266.17,0.3333333333333333
2611507,Quipapá,PE,1,4,3,1,471226.9,0.08333333333333333
2611606,Recife,PE,5,8,6,1,1887361.0,0.4166666666666667
2612703,Santa Maria do Cambucá,PE,1,1,1,1,219332.75,0.08333333333333333
2613404,São José da Coroa Grande,PE,1,1,1,1,2718900.0,0.08333333333333333
2613602,São José do Egito,PE,2,4,3,2,1241473.4300000002,0.16666666666666666
2614600,Tabira,PE,1,1,1,1,60000.0,0.08333333333333333
2615003,Taquaritinga do Norte,PE,1,1,1,1,120000.0,0.08333333333333333
2615904,Tuparetama,PE,1,1,1,1,389000.0,0.08333333333333333
2616308,Vicência,PE,1,1,1,1,26800.0,0.08333333333333333
2700300,Arapiraca,AL,1,1,1,1,7790.0,0.08333333333333333
2704203,Limoeiro de Anadia,AL,3,4,4,2,2713868.0,0.25
2704302,Maceió,AL,7,38,36,3,9001133.12,0.5833333333333334
2706406,Pão de Açúcar,AL,2,2,2,1,56760.0,0.16666666666666666
2707503,Porto Real do Colégio,AL,1,1,1,1,1979800.0,0.08333333333333333
2800308,Aracaju,SE,9,38,22,3,73847276.89,0.75
2801306,Capela,SE,1,1,1,1,12094.0,0.08333333333333333
2802304,Frei Paulo,SE,2,5,5,1,14900.0,0.16666666666666666
2802908,Itabaiana,SE,3,4,4,2,1428729.69,0.25
2803005,Itabaianinha,SE,3,4,4,1,178260.0,0.25
2803203,Itaporanga d'Ajuda,SE,1,3,3,1,181240.0,0.08333333333333333
2803302,Japaratuba,SE,1,2,2,1,78000.0,0.08333333333333333
2803500,Lagarto,SE,2,2,2,1,101092.26999999999,0.16666666666666666
2804300,Muribeca,SE,1,1,1,1,6000.0,0.08333333333333333
2804508,Nossa Senhora da Glória,SE,7,14,11,1,2456452.84,0.5833333333333334
2804805,Nossa Senhora do Socorro,SE,3,7,5,1,1678674.52,0.25
2805604,Porto da Folha,SE,1,1,1,1,4200.0,0.08333333333333333
2805703,Propriá,SE,2,4,4,1,104100.0,0.16666666666666666
2806701,São Cristóvão,SE,3,5,5,1,345891.87,0.25
2807105,Simão Dias,SE,3,5,3,1,1505764.04,0.25
2807204,Siriri,SE,1,3,1,1,172188.0,0.08333333333333333
2904902,Cachoeira,BA,3,4,4,1,436890.0,0.25
2906808,Cansanção,BA,3,8,8,2,2357560.13,0.25
2908903,Coração de Maria,BA,2,2,2,1,2959950.0,0.16666666666666666
2910800,Feira de Santana,BA,4,19,19,2,2373091.9,0.3333333333333333
2911709,Guanambi,BA,1,3,3,1,48704.0,0.08333333333333333
2914703,Itaberaba,BA,2,3,3,2,47164.0,0.16666666666666666
2914802,Itabuna,BA,3,10,7,1,1241498.31,0.25
2915502,Itajuípe,BA,1,7,7,2,89597.82,0.08333333333333333
2916401,Itapetinga,BA,2,2,2,2,32756.0,0.16666666666666666
2917706,Jaguarari,BA,1,2,2,2,337794.0,0.08333333333333333
2918001,Jequié,BA,6,16,16,3,3824851.0100000002,0.5
2918407,Juazeiro,BA,2,4,4,2,241780.0,0.16666666666666666
2918753,Lagoa Real,BA,1,2,2,1,198650.0,0.08333333333333333
2919801,Macaúbas,BA,1,1,1,1,6000.0,0.08333333333333333
2921005,Mata de São João,BA,1,1,1,1,128400.0,0.08333333333333333
2921104,Medeiros Neto,BA,1,5,5,1,339900.0,0.08333333333333333
2924009,Paulo Afonso,BA,1,1,1,1,15000.0,0.08333333333333333
2925303,Porto Seguro,BA,1,1,1,1,22399.5,0.08333333333333333
2927408,Salvador,BA,3,3,3,1,53555242.7,0.25
2928000,Santaluz,BA,1,4,3,2,5244749.0,0.08333333333333333
2931202,Taperoá,BA,3,4,4,2,83548.82,0.25
2932903,Valença,BA,1,4,4,1,116727.81,0.08333333333333333
3100302,Abre Campo,MG,2,4,4,1,30826.45,0.16666666666666666
3104007,Araxá,MG,1,2,1,1,442.18,0.08333333333333333
3105608,Barbacena,MG,5,22,21,2,1212970.31,0.4166666666666667
3106200,Belo Horizonte,MG,11,47,39,3,26308213.57,0.9166666666666666
3107307,Bocaiúva,MG,3,4,4,2,11461.55,0.25
3107406,Bom Despacho,MG,1,1,1,1,2779.92,0.08333333333333333
3109402,Buritizeiro,MG,1,1,1,1,1200.0,0.08333333333333333
3110004,Caeté,MG,2,7,6,2,26761.38,0.16666666666666666
