data,registros_total,registros_municipais_validos,registros_pj,registros_pf,registros_pe,municipios,ufs,fornecedores,categorias,valor_inicial_total,fornecedor_ausente_pct_total,ibge_ausente_pct_total,valor_nao_positivo_pct_total,lag_publicacao_mediana_dias,lag_publicacao_p90_dias
2025-01-15,5085,807,781,26,0,94,14,312,7,71497319.4192,0.0,0.0,3.0088495575221237,1.0,97.39999999999998
2025-02-12,7051,874,803,69,2,181,17,486,7,89604874.21180001,0.0,0.0,1.1204084527017444,1.0,40.0
2025-03-12,7524,919,785,132,2,191,19,608,8,85487221.172,0.0,0.0,1.1164274322169059,2.0,70.0
2025-04-16,10340,1229,1075,154,0,203,19,733,8,57804338.684300005,0.0,0.0,1.402321083172147,2.0,90.0
2025-05-14,9337,1279,1229,48,2,185,22,553,9,92365243.0271,0.0,0.0,0.942486880154225,2.0,97.0
2025-06-11,8803,1152,1081,71,0,223,20,680,10,155269691.7203,0.0,0.0,2.3060320345336818,2.0,83.90000000000009
2025-07-16,8017,969,930,39,0,199,21,547,9,91046459.0089,0.0,0.0,1.0851939628289884,2.0,229.0
2025-08-13,8283,1000,953,45,2,203,21,551,9,66583065.813,0.0,0.0,2.0161777133888688,2.0,56.0
2025-09-10,9319,1182,1139,43,0,207,21,603,9,73830568.2458,0.0,0.0,0.9872303895267732,2.0,44.0
2025-10-15,9953,1130,1075,54,1,220,22,570,8,56274781.57450001,0.0,0.0,1.155430523460263,2.0,75.20000000000005
2025-11-12,11082,1245,1147,98,0,222,21,704,9,107793273.4106,0.0,0.0,1.4708536365277025,2.0,223.0
2025-12-10,9347,1013,970,39,4,198,20,607,8,283232305.2141,0.0,0.0,1.9792446774366108,2.0,83.80000000000007
