orgao_cnpj,municipio_ibge,municipio,uf,instrumentos,compras,fornecedores,valor_inicial,share_origem_externa,lag_mediano
00091238000170,4208906,Jaraguá do Sul,SC,1,1,1,589.31,1.0,2.0
00118735000114,3543402,Ribeirão Preto,SP,3,3,3,296569.63,0.0,55.0
00204125000133,2704302,Maceió,AL,1,1,1,4019.74,0.0,1.0
00675468000186,5204508,Caldas Novas,GO,1,1,1,2154583.44,0.0,12.0
00955107000193,3543907,Rio Claro,SP,1,1,1,55755.0,0.0,27.0
01203660000132,5201306,Anicuns,GO,1,1,1,5030.64,0.0,23.0
01349236000109,4202800,Braço do Norte,SC,17,1,11,142820.323,1.0,2.0
01397083000167,4216503,São Joaquim,SC,7,1,7,1227.0,1.0,1.0
01404511000131,4305108,Caxias do Sul,RS,1,1,1,460.0,0.0,8.0
01420402000108,1504208,Marabá,PA,4,3,4,39558.4,0.75,4.5
01465988000127,5213103,Mineiros,GO,18,16,8,874833.53,0.0,34.5
01600293000100,4214904,Rio Fortuna,SC,1,1,1,528.08,1.0,1.0
01648573000199,3303955,Pinheiral,RJ,2,2,1,101846.64,0.0,20.5
01650166000116,5212204,Jussara,GO,19,15,16,579888.92,0.0,27.0
01746653000187,4208807,Jaguaruna,SC,29,12,22,66239.446,1.0,1.0
01815216000178,5218805,Rio Verde,GO,3,2,3,4417599.99,0.0,7.0
01842685000186,4203907,Capinzal,SC,1,1,1,24000.0,0.0,7.0
01850671000104,4203600,Campos Novos,SC,14,3,10,12398.36,1.0,0.0
01877528000106,4202107,Barra Velha,SC,3,3,3,351200.0,0.0,0.0
01941360000150,4203303,Campo Alegre,SC,29,7,24,28173.18,1.0,1.0
02073207000111,4206108,Grão-Pará,SC,22,7,17,10063.75,1.0,1.0
02179215000147,4215703,Santo Amaro da Imperatriz,SC,7,1,7,40252.5,1.0,1.0
02180700000130,4215802,São Bento do Sul,SC,1,1,1,0.01,0.0,2.0
02247113000111,4209003,Joaçaba,SC,3,2,3,11401.0,1.0,2.0
02316487000141,5213103,Mineiros,GO,10,2,6,3676144.74,0.0,137.0
02406542000194,4215802,São Bento do Sul,SC,2,2,2,142432.0,0.5,6.5
02482295000105,4208450,Itapoá,SC,1,1,1,508.8,1.0,1.0
02701029000126,3514106,Dois Córregos,SP,2,2,2,70455.68,0.0,9.0
02762633000162,2914802,Itabuna,BA,8,6,4,1197045.81,0.0,10.0
02888096000100,3139607,Mantena,MG,1,1,1,1800.0,0.0,14.0
03061303000102,3500105,Adamantina,SP,2,2,2,204925.0,0.0,0.5
03133862000180,3126703,Francisco Sá,MG,1,1,1,7488.75,0.0,3.0
03230443000167,4211702,Orleans,SC,2,2,2,44630.04,0.0,0.5
03264792000108,4216206,São Francisco do Sul,SC,35,8,27,472382.98,0.9714285714285714,1.0
