orgao_cnpj,valor_total_raiz,n_instrumentos_raiz,n_fornecedores_raiz,portfolio_hhi_raiz,count_hhi_raiz,portfolio_cr1_raiz,portfolio_cr4_raiz,portfolio_neff_raiz,portfolio_hhi_norm_raiz,count_hhi_norm_raiz,exposicao_degree_global_raiz,exposicao_strength_global_raiz,exposicao_strength_loo_raiz,exposicao_degree_loo_raiz
00057011000108,109046.4,6,4,0.4829648133554434,0.2777777777777778,0.6602693899110837,1.0,2.0705442142925614,0.3106197511405912,0.037037037037037056,0.8651905806754903,0.6411692005576181,0.48604766958337275,0.489214981058081
00091238000170,463764.85,11,9,0.3303067153054515,0.12396694214876033,0.43125288602618334,0.9731237932327127,3.027489159810901,0.246595054718633,0.014462809917355383,0.5731124718311517,0.8027929891036494,0.3171246281278388,0.1774546993308612
00118735000114,111063.09999999999,8,8,0.48240566804923307,0.125,0.67974016572561,0.8988048235642621,2.072944134433227,0.4084636206276949,0.0,0.5020387072692295,0.6154959522149477,0.1441817634200654,0.149085383687881
00202770000117,3232560.62,6,6,0.5160285226261689,0.16666666666666669,0.6929491085614969,0.9699696273599966,1.9378773772248221,0.41923422715140274,3.3306690738754695e-17,0.49020092021302464,0.933848362873938,0.1497217011946986,0.15076013692258736
00204125000133,610239.2,24,22,0.44517031283195974,0.04861111111111112,0.6440097587962229,0.9138506998567121,2.24633128305093,0.4187498515382435,0.0033068783068783136,0.5040769012245819,0.7729299808654949,0.12692310363733475,0.16516569166170153
00324208000166,20395.239999999998,5,3,0.4662282745721222,0.44000000000000006,0.5740074644868116,1.0,2.144872060618252,0.19934241185818327,0.1600000000000001,0.4327630934029587,0.29076964420521223,0.02624545121940077,0.058892941436113566
00421772000105,6611636.220000001,20,16,0.1812125737566933,0.07500000000000001,0.25938511178402374,0.8006036363567505,5.518380867669034,0.12662674534047286,0.013333333333333345,0.4345004644613416,0.9315039057678596,0.07132479523593577,0.03388470853753413
00426641000102,62633.64,5,5,0.28075083867594613,0.20000000000000004,0.335283084297831,0.9817989182809749,3.561877160246848,0.10093854834493265,3.469446951953614e-17,0.45429673260543924,0.4169303464713304,0.07523437997334946,0.09452977319529027
00444435000125,319910.04000000004,10,8,0.2852700824257914,0.14,0.40511388764166323,0.923778572251124,3.505449963404889,0.18316580848661873,0.017142857142857158,0.628305467504828,0.7175821360676198,0.33064730774982415,0.2617718605413801
00460408000146,578732.03,33,27,0.12682021197333274,0.04132231404958677,0.24314880239132436,0.6425280798783506,7.88517843047192,0.09323637397230707,0.004450095359186264,0.7117503391058586,0.6583649943980653,0.393138467351901,0.433087445099433
00536717000152,548712.75,15,15,0.08631237716955865,0.06666666666666667,0.12028151341480584,0.4476101202313961,11.585823873620388,0.021048975538812846,0.0,0.5112952618450741,0.6333026995592052,0.19347134366128313,0.16007111965395346
00569168000112,123197.82,11,11,0.9442896818766181,0.09090909090909091,0.9716081015069911,0.9930149738039197,1.0589970632874723,0.9387186500642799,0.0,0.989002297034878,0.9705456905720508,0.9696268654448051,0.9885913735739196
00634997000131,10571405.96,8,8,0.14924688226456945,0.125,0.19755714972088725,0.7023498915937951,6.700307469252881,0.027710722588079367,0.0,0.4337341431416403,0.9538983271801759,0.07647115334159997,0.03181762578091912
00675468000186,6357767.28,61,52,0.15098758685921349,0.02338081160978232,0.3388899506872167,0.6067207889370874,6.6230610131708225,0.13434028464076672,0.0042314157589937364,0.7258374231457263,0.8806351482458286,0.580141139715642,0.3792954871872414
00879976000186,12443340.0,141,131,0.015701846351659266,0.008399979880287711,0.05625499263059597,0.1418429457042884,63.686777822426386,0.008130322092825878,0.0007722874178283859,0.400817355668284,0.7360695193455195,0.00938723998968725,0.00581828540759145
00955107000193,12650330.57,328,95,0.22407463942209996,0.026583878643664485,0.36995080674796943,0.781367313312825,4.462798657532381,0.2158201143095691,0.01622838799093751,0.4818357521340074,0.9268392796270857,0.11616805049943014,0.12970745567859118
