fornecedor_raiz,estabelecimentos
00000000,22
00000118,1
00003228,1
00005544,1
00005599,1
00006734,1
00008089,1
00009881,1
00011080,1
00019761,1
00028682,1
00028986,2
00029372,2
00059307,1
00067750,1
00071556,1
00072182,1
00076945,1
00085822,1
00088317,1
00088925,1
00108786,1
00113440,1
00126365,1
00126381,2
00132777,1
00136858,1
00137950,1
00138113,1
00140074,1
00142237,1
00144236,1
00144263,1
00147109,1
00147794,1
00154306,1
00159049,1
00165960,1
00167287,1
00170488,1
00171258,1
00173508,1
00174282,1
00178471,1
00181365,1
00181772,1
00187413,1
00191334,1
00196771,1
00202055,1
00205480,1
00206665,1
00208351,1
00211131,1
00214137,1
00214410,1
00215595,1
00220819,1
00220982,1
00224212,1
00236720,1
00243167,1
00245916,1
00250388,1
00256241,1
00258103,1
00258563,1
00261343,1
00263900,1
00264554,1
00274187,1
00276970,1
00282611,1
00285549,1
00287365,1
00288790,1
00292410,1
00294139,1
00295030,1
00295234,1
00302007,1
00304559,2
00313537,1
00325276,1
00326578,1
00331788,6
00333992,1
00352294,1
00358519,1
00360305,15
00367185,1
00369925,1
00374381,1
00374407,1
00375940,1
00376660,1
00376959,1
00377455,1
00384013,1
00384114,1
00388310,1
00398022,2
00405088,1
00407396,1
00417857,1
00418954,1
00424030,1
00436435,1
00437218,1
00438279,1
00439298,1
00444593,1
00446092,1
00452422,1
00455989,1
00456865,1
00457674,1
00462005,1
00462780,1
00463731,1
00464331,1
00467916,1
00468680,1
00470440,1
00474973,2
00482840,1
00483195,1
00495124,1
00495290,1
00495534,1
00496983,1
00498393,1
00502141,1
00503028,1
00503644,1
00506738,1
00512932,1
00517095,1
00519345,1
00520127,1
00525149,1
00528262,1
00528952,1
00532033,1
00535560,1
00536198,1
00536308,1
00537562,1
00538257,1
00538593,1
00543669,1
00545222,1
00546494,1
00553134,1
00557161,1
00559912,1
00559976,1
00562583,1
00567892,1
00569505,1
00579881,1
00592198,1
00592383,1
00593476,1
00596529,1
00598693,1
00604122,1
00609820,1
00613917,1
00626646,1
00628815,1
00630985,1
00635970,1
00638269,1
00638358,1
00641174,1
00642431,1
00646202,1
00650779,1
00656468,1
00658540,1
00659050,1
00659688,1
00662084,1
00662270,1
00662315,1
00662482,1
00672490,1
00680163,1
00683732,1
00688075,1
00691555,1
00691905,1
00692499,1
00703157,1
00712212,1
00715575,1
00717592,1
00719311,1
00732085,1
00737999,1
00739189,1
00740696,1
00746849,1
00747349,1
00748780,1
00752464,1
00754174,1
00761892,1
00762199,1
00762872,1
00764543,1
00767919,1
00768033,1
00771598,1
00772370,1
00772392,1
00773352,1
00774877,1
00776610,1
00787540,1
00796042,1
00798897,1
00799135,1
00799205,1
00799421,1
00802002,1
00803287,1
00803811,1
00805879,1
00809346,1
00809489,1
00812514,2
00814356,1
00817018,1
00828167,1
00834467,1
00834971,1
00836820,1
00840203,1
00841350,1
00842216,1
00849426,1
00852136,1
00864243,1
00867306,1
00868405,1
00871019,1
00873849,1
00874929,1
00877319,1
00881775,1
00883367,1
00884677,1
00884753,1
00886257,3
00886833,1
00888114,1
00900849,1
00904728,2
00905620,1
00905653,1
00905760,2
00909196,1
00910332,1
00912718,1
00913443,1
00915129,1
00915926,1
00934286,1
00934542,1
00942081,1
00945852,1
00946266,1
00949640,1
00958104,1
00958125,1
00960761,1
00964835,1
00967364,1
00967596,1
00970175,1
00978237,1
00982872,1
00989304,1
00995353,1
01000334,1
01000540,1
01004803,1
01005059,1
01005210,1
01006014,1
01006494,1
01007147,1
01008047,1
01010042,1
01011865,1
01014406,1
01016892,1
01017534,1
01021018,1
01021226,1
01026483,1
01028098,1
01031579,2
01035382,1
01037124,1
01038124,1
01046691,1
01048146,1
01051080,1
01053366,1
01056403,1
01058123,1
01061762,1
01062104,1
01064836,1
01070380,1
01070614,1
01074283,1
01081470,1
01085262,1
01087232,1
01088055,1
01088740,1
01095841,1
01095897,1
01098929,1
01101612,1
01102262,1
01105710,1
01105841,1
01106663,1
01108909,1
01109148,1
01109184,1
01112913,1
01117082,1
01120555,1
01121504,1
01122234,1
01123973,1
01133441,1
01134726,1
01137672,1
01137904,1
01139357,1
01140868,1
01143340,1
01144081,1
01147588,1
01148472,1
01149302,1
01149960,1
01152144,1
01157868,1
01160124,1
01177864,1
01177978,1
01181521,1
01185136,1
01195098,1
01197169,1
01200350,1
01201427,1
01202226,1
01211210,1
01217538,1
01219199,1
01219210,1
01219658,1
01221461,1
01227689,1
01231358,1
01234848,1
01235829,1
01236234,1
01237799,1
01255291,1
01258027,1
01262147,1
01266403,1
01267589,1
01271309,1
01275163,1
01276119,1
01277573,1
01283515,1
01283845,1
01290253,1
01298443,1
01298675,1
01305422,1
01312003,1
01312680,1
01318721,1
01321256,1
01322627,1
01323146,1
01324904,1
01326206,1
01328535,1
01331407,1
01336261,1
01340394,1
01351754,1
01351837,1
01365194,1
01371837,1
01373484,1
01377293,1
01377555,1
01377889,1
01378054,1
01378407,1
01379014,1
01387783,1
01397976,1
01400312,1
01402019,1
01402427,1
01404512,1
01405034,1
01405834,1
01407360,1
01408210,1
01411347,1
01414675,1
01415862,1
01417222,1
01417694,1
01419973,1
01421380,1
01424128,1
01425065,1
01425676,2
01427687,1
01432459,1
01435460,1
01440590,1
01442086,1
01442374,1
01445543,1
01448972,1
01449930,1
01462814,1
01463402,1
01463618,1
01466366,1
01466431,1
01467354,1
01468855,1
01470743,1
01472377,1
01475599,2
01478057,1
01484706,1
01488575,1
01488785,1
01496660,2
01501125,1
01503399,1
01504670,1
01506444,1
01513946,1
01514128,1
01514735,1
01515006,1
01520550,1
01523436,1
01524258,1
01527225,1
01527530,1
01534593,1
01536135,1
01536754,1
01536865,1
01541283,1
01542240,2
01542717,1
01543032,2
01543354,1
01544859,1
01548742,1
01552313,1
01554285,1
01555276,1
01557378,1
01562360,1
01563759,1
01565761,1
01567515,1
01568077,1
01569466,3
01569760,1
01571083,1
01571702,1
01575666,1
01578276,1
01579286,1
01583928,1
01585595,1
01586742,1
01587609,1
01588888,1
01589621,1
01590728,1
01591897,1
01597589,1
01600153,1
01603682,1
01604628,1
01608488,1
01611866,1
01615319,1
01615632,1
01615998,1
01616929,1
01617592,1
01618164,1
01618274,1
01619022,1
01620490,1
01620592,1
01624477,1
01628274,1
01629147,1
01631225,1
01631657,1
01634429,1
01635563,1
01639744,1
01643840,1
01645409,1
01647128,1
01647296,1
01650178,1
01651192,1
01651506,1
01653175,1
01653177,1
01653918,1
01657265,1
01659085,1
01659386,1
01666621,1
01667155,1
01667694,1
01668290,1
01671561,1
01672317,1
01672499,1
01677081,1
01678033,1
01683969,1
01686305,1
01687342,1
01687725,1
01688811,1
01691377,1
01691503,1
01692326,1
01692763,1
01695370,1
01695394,1
01697332,1
01700884,1
01702611,1
01703684,1
01704233,1
01711247,1
01712235,1
01712282,1
01713924,1
01714122,1
01717640,1
01721454,1
01722296,1
01724591,1
01728579,1
01728890,1
01731157,1
01731611,1
01736536,1
01737623,1
01739386,1
01744441,1
01744659,1
01752683,1
01754239,1
01756106,1
01758119,1
01759877,1
01763636,1
01763720,1
01771154,1
01771952,1
01776962,1
01781196,1
01784041,1
01787495,1
01790641,1
01793821,1
01796466,1
01798604,1
01800253,1
01806505,1
01808192,1
01810063,1
01812515,1
01815216,1
01815778,1
01817432,1
01823600,1
01824220,1
01827517,1
01832691,1
01835288,1
01837821,1
01838829,1
01840037,1
01850436,1
01851765,1
01854654,1
01854994,1
01857076,1
01858839,1
01864223,1
01869253,2
01869482,1
01871410,1
01877393,1
01880521,1
01888835,1
01891979,1
01892526,1
01903042,1
01903128,1
01905321,1
01906450,1
01906760,1
01909450,1
01917626,1
01918078,1
01918602,1
01922311,1
01930515,1
01942594,1
01950338,1
01955600,1
01955792,1
01956877,1
01963441,1
01967001,1
01969638,1
01974813,1
01976282,1
01981488,1
01982617,1
01984359,1
01985366,1
01986933,1
01987816,1
01992029,1
01993687,1
01994951,2
01999130,1
01999332,1
02000139,1
02005077,1
02006966,1
02008261,1
02010196,1
02013199,1
02016440,1
02030078,1
02030538,1
02038232,1
02039511,1
02042314,1
02042483,1
02043906,1
02045618,1
02048610,1
02059827,2
02064150,1
02067846,1
02070739,1
02074461,1
02077618,1
02080759,1
02081163,1
02083756,1
02084388,1
02090952,1
02091041,1
02091999,1
02092217,1
02093420,1
02096121,1
02096659,1
02101400,1
02107610,1
02119775,1
02122059,1
02123495,1
02133545,1
02134256,1
02137386,1
02139343,1
02144891,1
02147775,1
02150336,1
02150800,1
02159427,1
02160509,1
02163575,1
02163732,1
02174123,1
02180597,1
02185725,1
02191271,1
02194709,1
02197652,1
02203159,1
02203356,1
02207690,1
02209202,1
02209788,1
02215012,1
02218048,1
02220032,1
02220795,2
02223966,1
02224443,1
02226140,1
02228938,1
02229576,1
02235214,1
02236721,1
02237014,1
02238402,1
02242814,1
02244382,1
02247880,1
02248312,1
02250659,1
02255187,1
02256866,1
02256942,1
02258805,1
02259625,1
02261858,1
02263089,1
02270946,1
02272745,1
02274652,1
02275197,1
02276193,1
02276695,1
02277395,1
02279922,1
02280188,1
02282433,1
02286398,1
02288268,1
02289944,1
02292266,1
02296838,1
02297602,1
02298432,1
02302100,1
02302164,1
02305767,1
02306195,1
02306467,1
02307942,1
02309979,1
02309984,1
02310460,1
02311972,1
02313859,1
02313986,1
02314108,1
02314482,1
02314599,1
02316487,1
02316537,1
02318673,1
02318699,1
02319709,1
02324209,1
02325010,1
02326477,1
02326652,1
02328280,1
02329217,1
02329584,1
02332638,1
02336105,1
02337254,1
02339355,1
02347607,1
02351877,1
02355192,1
02357251,2
02357507,2
02358674,1
02361102,1
02365878,1
02368789,1
02375705,1
02377048,1
02377937,1
02389262,1
02394948,1
02396984,2
02398074,1
02400936,1
02401372,1
02401582,1
02402241,1
02402380,1
02402629,1
02406861,1
02407183,1
02407726,1
02409321,1
02409559,1
02413379,1
02415173,1
02419765,1
02420128,1
02420443,1
02421421,1
02421679,1
02422156,1
02422359,1
02424344,1
02425943,1
02427172,1
02429127,1
02431753,1
02435065,1
02436641,1
02441945,1
02445986,1
02446634,1
02451115,1
02452787,1
02457732,2
02464226,1
02472105,1
02472396,1
02472743,1
02473874,1
02474780,1
02477571,1
02482141,1
02486232,1
02487442,1
02491558,1
02493473,1
02494715,1
02494960,1
02495828,1
02499001,1
02505033,1
02512576,1
02513899,1
02514617,1
02515531,1
02518180,1
02520698,1
02520829,3
02524491,1
02525328,1
02531275,1
02535748,1
02536516,1
02537411,1
02537692,1
02538843,1
02541357,1
02543216,1
02544042,1
02545310,1
02550302,1
02555364,1
02557808,1
02558157,3
02566941,1
02568179,1
02573131,1
02580316,1
02581807,1
02582754,1
02589169,1
02593165,1
02593711,1
02600452,1
02604394,1
02605669,1
02615965,1
02617572,1
02618132,1
02620812,1
02621807,1
02625813,1
02630826,1
02632978,1
02635127,1
02636235,1
02640789,1
02644176,1
02647965,1
02648280,1
02648737,1
02654191,1
02659246,1
02661147,1
02661843,1
02662841,1
02666419,1
02667442,1
02668613,1
02670535,1
02671361,1
02672248,1
02674275,1
02677454,1
02678428,1
02678663,1
02689934,1
02692893,1
02694586,1
02695471,1
02698965,1
02705422,1
02706629,1
02709529,1
02711763,1
02712467,1
02715882,1
02717215,1
02722566,2
02728189,1
02734380,1
02738286,1
02741293,1
02743335,1
02747908,1
02751279,1
02760004,1
02762969,1
02763346,1
02763737,1
