orgao_cnpj,n_municipios,n_instrumentos_mapeados,municipio_ibge,municipio,uf,valor_total,n_instrumentos,n_fornecedores,portfolio_hhi,portfolio_cr1,portfolio_cr4,portfolio_neff,portfolio_entropy_norm,count_hhi,count_neff,hhi_gap_value_minus_count,exposicao_degree,exposicao_strength,integracao_siconfi_principal,cod_ibge,despesa_empenhada_2025,despesa_liquidada_2025,despesa_paga_2025,populacao_siconfi_2025,liquidada_sobre_empenhada,paga_sobre_empenhada,despesa_empenhada_per_capita,portfolio_hhi_norm,count_hhi_norm,procurement_intensity_parcial,log_despesa_empenhada,log_populacao_siconfi,log_despesa_per_capita,instrumentos_por_fornecedor
00091238000170,1,7,4208906,Jaraguá do Sul,SC,354388.32,7,6,0.4045212643785513,0.5643524876892105,0.9904406838238912,2.472057931333368,0.6140806469257593,0.183673469387755,5.444444444444445,0.2208477949907962,0.4150654617630527,0.7484208448057248,True,4208906,1500828977.09,1372402927.83,1352736980.24,193304.0,0.9144299242482585,0.901326534128399,7764.08650152092,0.2854255172542616,0.02040816326530601,0.0002361283833199527,21.129283443792367,12.17201935820529,8.957264085587079,1.1666666666666667
00204125000133,1,7,2704302,Maceió,AL,93584.2,7,7,0.3627043694426003,0.5231652351572167,0.917454014673417,2.7570663169478435,0.6735154335244494,0.1428571428571428,7.0,0.2198472265854574,0.4470834285739227,0.5034087508994136,True,2704302,5315509518.88,5117855869.47,5085156468.9,960667.0,0.9628156720051089,0.9566639756430091,5533.1446993391055,0.25648843101636704,-6.476300976980079e-17,1.760587572416173e-05,22.393894708469244,13.775383113854698,8.618511594614546,1.0
00460408000146,1,5,3110608,Cambuí,MG,115122.96,5,5,0.7121942314230545,0.8338909979382045,0.9897622507273962,1.404111344740708,0.3610256867934865,0.2,4.999999999999999,0.5121942314230544,0.4883817695641092,0.6839676665600792,True,3110608,201942681.75,197710334.94,197104731.06,29584.0,0.979041841113908,0.9760429511578476,6826.077668672256,0.6402427892788182,0.0,0.0005700774051446903,19.123494461386905,10.294988953626905,8.82850550776,1.0
00536717000152,1,10,3200300,Alfredo Chaves,ES,383040.95,10,10,0.1274996889206784,0.1723053370664415,0.6101159158048245,7.843156390931522,0.9305341934583984,0.1,9.999999999999996,0.0274996889206783,0.5123061484187917,0.6522842763779553,True,3200300,125731832.1,121838651.42,120454168.77,13303.0,0.9690358390951976,0.9580244458236921,9451.389318198902,0.030555209911864875,0.0,0.003046491438185287,18.649661880164462,9.495744852683906,9.153917027480556,1.0
00955107000193,1,34,3543907,Rio Claro,SP,347447.98000000004,34,27,0.0992656907238385,0.1731194407865028,0.5443922857171309,10.073974126488917,0.7842373202917639,0.0432525951557093,23.12,0.0560130955681291,0.4981588445395735,0.5430572614618535,True,3543907,1460461802.91,1411186984.88,1262954013.02,206950.0,0.9662607964605313,0.8647634676261565,7057.075636192318,0.06462206344398613,0.006454618046313503,0.00023790281903142063,21.10201852601631,12.240232497176878,8.861786028839429,1.2592592592592593
00999472000108,1,38,5220454,Senador Canedo,GO,15195600.0,38,38,0.0561304704165383,0.0947642738687514,0.3790570954750059,17.81563547533283,0.8689435126598081,0.0263157894736842,38.0,0.0298146809428541,0.4692397569997985,0.9142891110850542,True,5220454,1200186494.14,1168740174.46,1167906836.04,153522.0,0.9737988055743511,0.9731044647997558,7817.684072250232,0.030620483130498793,-1.0689647365478703e-17,0.012661032326387314,20.90574279344854,11.941599158215274,8.964143635233265,1.0
01071994000108,1,26,4120358,Pranchita,PR,2330112.26,26,26,0.1801192163240494,0.2789077638688532,0.7425009643097624,5.551878474759277,0.6640751768379669,0.0384615384615384,26.0,0.141657677862511,0.5966612844188836,0.8919495534048115,True,4120358,59303645.09,59271835.0,58953889.08,5705.0,0.9994636064958279,0.9941022847841948,10395.029814198073,0.14732398497701138,-6.494804694057165e-17,0.03929121483955649,17.898181330712898,8.649098262296176,9.249083068416724,1.0
01280363000190,1,18,4209102,Joinville,SC,17337283.92,18,16,0.5471006198949253,0.6784062633035545,0.9944246157330048,1.8278173404227864,0.2727203846927317,0.074074074074074,13.5,0.4730265458208512,0.4103140721697073,0.9874785893712869,True,4209102,4677973285.15,4491280681.35,4295508268.18,617979.0,0.9600911351091623,0.9182412994567293,7569.7932860987175,0.5169073278879204,0.0123456790123456,0.003706152827985652,22.26613079435032,13.33420975527995,8.931921039070371,1.125
01282378000198,1,17,4217105,São Martinho,SC,128035.94,17,13,0.6270303612307502,0.7810307012234221,0.947735534257022,1.5948191057880772,0.3381777655202203,0.1003460207612456,9.965517241379311,0.5266843404695045,0.988325512944752,0.9770092336357968,True,4217105,38347052.55,32897069.82,32756068.28,3654.0,0.857877402105576,0.8542004170278793,10494.54092775041,0.5959495579999794,0.02537485582468273,0.003338873042016889,17.462188226239828,8.203577736937952,9.258610489301875,1.3076923076923077
01349236000109,1,70,4202800,Braço do Norte,SC,436648.678,70,22,0.1022914515136944,0.1793203642769302,0.5505438401899845,9.77598797555555,0.8161845245157895,0.0742857142857143,13.461538461538458,0.02800573722798,0.9978254241054764,0.9466762685726758,True,4202800,220117573.0,195929566.5,192250071.35,34113.0,0.8901132418900511,0.8733971973696075,6452.600855978659,0.05954342539529889,0.030204081632653076,0.001983706580301065,19.20967238429094,10.437433822292833,8.772238561998108,3.1818181818181817
