orgao_cnpj,n_municipios,n_instrumentos_mapeados,municipio_ibge,municipio,uf,valor_total,n_instrumentos,n_fornecedores,portfolio_hhi,count_hhi,portfolio_cr1,portfolio_cr4,portfolio_neff,portfolio_hhi_norm,count_hhi_norm,hhi_gap_value_count,hhi_norm_gap_value_count,exposicao_degree_global,exposicao_strength_global,integracao_siconfi_principal
00091238000170,1,8,4208906,Jaraguá do Sul,SC,454688.32,8,6,0.3434430514204432,0.1875,0.4398615957410122,0.992549379759744,2.9116908781939497,0.2121316617045318,0.025,0.1559430514204431,0.1871316617045318,0.4104499849050219,0.7618769571576134,True
00118735000114,1,7,3543402,Ribeirão Preto,SP,102783.1,7,7,0.5567699556394303,0.1428571428571428,0.7344986675825111,0.9490164239062648,1.7960739258129257,0.4828982815793353,0.0,0.4139128127822875,0.4828982815793353,0.4744916674927288,0.5966588301571802,True
00204125000133,1,14,2704302,Maceió,AL,120184.13,14,14,0.2297493931862346,0.0714285714285714,0.4073749171375621,0.7475609300495831,4.352568623279892,0.1704993465082526,0.0,0.1583208217576632,0.1704993465082526,0.51057442101681,0.4619282765289749,True
00444435000125,1,6,3201308,Cariacica,ES,144666.04,6,5,0.5445937318732879,0.2222222222222222,0.691357833531629,0.9917050331923096,1.836231196712842,0.4307421648416097,0.0277777777777778,0.3223715096510656,0.402964387063832,0.8837431127661843,0.8045413396257388,True
00460408000146,1,9,3110608,Cambuí,MG,143314.96000000002,9,9,0.4736639063521876,0.1111111111111111,0.6698533077077229,0.9136335801928844,2.111201606432856,0.4078718946462111,0.0,0.3625527952410765,0.4078718946462111,0.4850657765832779,0.6188052975440784,True
00536717000152,1,14,3200300,Alfredo Chaves,ES,534139.95,14,14,0.0903419516776423,0.0714285714285714,0.123563122361471,0.4598221496070459,11.069054646596458,0.0203682556528456,0.0,0.0189133802490709,0.0203682556528456,0.5210052455913683,0.6493796060030529,True
00569168000112,1,8,4215653,Santa Rosa do Sul,SC,120844.84,8,8,0.9811605689885692,0.125,0.9905263642204334,0.9963079102094884,1.0192011701314614,0.9784692217012216,0.0,0.8561605689885691,0.9784692217012216,0.9854104618239748,0.9801533211704068,True
00955107000193,1,45,3543907,Rio Claro,SP,5156283.379999999,45,32,0.5000812459218454,0.04,0.664345722984682,0.9391332560934617,1.9996750691112373,0.4839548344999695,0.0090322580645161,0.4600812459218454,0.4749225764354534,0.4193514491431537,0.938329371188136,True
00999472000108,1,69,5220454,Senador Canedo,GO,23785823.0,69,69,0.0320399579993791,0.0144927536231884,0.0605402638369923,0.2421610553479692,31.2110271811023,0.01780525149937,0.0,0.0175472043761907,0.01780525149937,0.4982184066202975,0.8975464179676073,True
01071994000108,1,27,4120358,Pranchita,PR,2374612.26,27,27,0.1737828224387252,0.037037037037037,0.2736810598291108,0.7285865693290069,5.754308659318696,0.1420052386863685,0.0,0.1367457854016882,0.1420052386863685,0.5916623247443235,0.8833728372594206,True
01280363000190,1,25,4209102,Joinville,SC,17407955.450000003,25,21,0.5426743137465568,0.072,0.6756521197324181,0.9903875242281828,1.842725875665872,0.5198080294338847,0.0256,0.4706743137465567,0.4942080294338846,0.4069836888518128,0.984644857137824,True
01282378000198,1,43,4217105,São Martinho,SC,265030.18,43,17,0.3532488291209398,0.1173607355327203,0.4534181729793943,0.9233435980762644,2.830865717201388,0.3128268809409986,0.0621957815035154,0.2358880935882194,0.2506310994374832,0.9864002956347424,0.9609505911733514,True
01349236000109,1,118,4202800,Braço do Norte,SC,639172.675,118,25,0.0849908665311566,0.0729675380637747,0.1393851825721429,0.4642021187779968,11.765970166140288,0.0468654859699548,0.0343411854830987,0.0120233284673818,0.0125243004868561,0.9985034487519528,0.9586284884397468,True
01397083000167,1,54,4216503,São Joaquim,SC,74286.49,54,27,0.2366719241252105,0.0665294924554183,0.4217927108953458,0.7559180680094052,4.225258250196814,0.2073131519761801,0.0306267806267806,0.1701424316697921,0.1766863713493995,0.7464542544696515,0.684335781921302,True
01404511000131,1,52,4305108,Caxias do Sul,RS,1086617.26,52,30,0.1695751351530033,0.0710059171597633,0.3092165129053812,0.7318948808157161,5.8970909803358,0.1409397949858655,0.0389716384411344,0.0985692179932399,0.101968156544731,0.4147747648465809,0.7427881757581279,True
01420402000108,1,14,1504208,Marabá,PA,580083.26,14,12,0.7028043610551932,0.0918367346938775,0.8355120608031337,0.9359562280766384,1.4228710796537976,0.6757865756965744,0.0092764378478664,0.6109676263613156,0.6665101378487079,0.4626017349862958,0.8531973680651624,True
01465988000127,1,126,5213103,Mineiros,GO,3543970.94,126,79,0.1009652556342129,0.0267069790879314,0.2323459317078937,0.5483085366382829,9.904397247533351,0.0894391691679849,0.0142288634352126,0.0742582765462814,0.0752103057327722,0.6114692137758163,0.8044029908250854,True
01494665000161,1,12,5209101,Goiatuba,GO,403912.4,12,11,0.2723093953408538,0.0972222222222222,0.4619813603147613,0.8674658168454348,3.672293417376528,0.1995403348749392,0.0069444444444444,0.1750871731186315,0.1925958904304947,0.4156679955895994,0.6585518411733582,True
01600293000100,1,27,4214904,Rio Fortuna,SC,20237.13,27,18,0.1873950118486135,0.0672153635116598,0.3700129415584127,0.7046651377937484,5.336321336065481,0.1395947184279437,0.0123456790123456,0.1201796483369537,0.127249039415598,0.993474759277767,0.8038253417223027,True
01610999000153,1,13,4203303,Campo Alegre,SC,13286.62,13,12,0.379511129578573,0.0887573964497041,0.5953658643055947,0.843736029178226,2.6349688377003515,0.3231030504493524,0.0059171597633136,0.2907537331288689,0.3171858906860388,0.993698502680622,0.810395809357148,True
01648573000199,1,40,3303955,Pinheiral,RJ,4379709.290000001,40,33,0.3289291467145105,0.035,0.5630230539799139,0.7077020173638056,3.040168407051917,0.307958182549339,0.00484375,0.2939291467145105,0.303114432549339,0.5395688961893396,0.8775445428704077,True
01650166000116,1,18,5212204,Jussara,GO,579048.92,18,15,0.2138000615108942,0.074074074074074,0.4144727530102292,0.6717912538374133,4.677267129546848,0.1576429230473867,0.0079365079365079,0.1397259874368202,0.1497064151108788,0.4842487104156421,0.6797993646672814,True
01746653000187,1,548,4208807,Jaguaruna,SC,1071569.1368,548,138,0.034610940319132,0.0214382758804411,0.0926148921164038,0.2723206939978005,28.89259843215605,0.0275643048470088,0.0142954895729991,0.0131726644386908,0.0132688152740097,0.9961280917729416,0.914523868022002,True
01815216000178,1,110,5218805,Rio Verde,GO,35768092.989999995,110,102,0.2118377667636317,0.0105785123966942,0.432564297020969,0.6523970958285075,4.720593571569315,0.2040341802959449,0.0007822600441862,0.2012592543669375,0.2032519202517587,0.4355309444748664,0.936951545280044,True
01823752000115,1,9,4208203,Itajaí,SC,78750.79,9,6,0.3240054066190527,0.1851851851851851,0.4444399859353791,0.952320224343146,3.0863682505636194,0.1888064879428633,0.0222222222222222,0.1388202214338675,0.166584265720641,0.7252267318372383,0.7033652079283477,True
01824828000127,1,73,4209409,Laguna,SC,34790.7,73,28,0.1948846860288647,0.055357477950835,0.4109546516741543,0.6264116559885258,5.131239505662791,0.16506560032623,0.02037071787494,0.1395272080780296,0.14469488245129,0.9877600604226044,0.7694642596018771,True
01850671000104,1,121,4203600,Campos Novos,SC,401761.98,121,53,0.2040627077472675,0.0374974386995424,0.3973994751817979,0.7248442473327118,4.900454429128246,0.1887562213577919,0.0189877740591489,0.1665652690477251,0.1697684472986429,0.7490052321007226,0.8011047778487688,True
01877528000106,1,17,4202107,Barra Velha,SC,6458963.680000001,17,17,0.3488508113076901,0.0588235294117647,0.518659055224785,0.854999683168988,2.8665548927675832,0.3081539870144207,0.0,0.2900272818959253,0.3081539870144207,0.4542219436180652,0.9359330033927246,True
01896727000161,1,29,4210803,Meleiro,SC,51647.96,29,19,0.6653329469387183,0.084423305588585,0.8131976558222241,0.9001919920941699,1.503006884900451,0.6467403328797581,0.0335579336768397,0.5809096413501332,0.6131823992029183,0.5163049322030173,0.6108053340521565,True
01906118000146,1,6,3205010,Sooretama,ES,580149.94,6,6,0.7760365628393504,0.1666666666666666,0.8788132254223795,0.9737998766318926,1.2885990788130082,0.7312438754072205,3.3306690738754695e-17,0.6093698961726837,0.7312438754072205,0.4060703352497573,0.8431193349853134,True
01935036000120,1,37,4207304,Imbituba,SC,26978.34,37,28,0.1928339559100965,0.0445580715850986,0.3787872048465546,0.708943915748708,5.18580866777541,0.1629389172401001,0.0091713334956578,0.1482758843249979,0.1537675837444423,0.9806522054147164,0.7101232223457349,True
01941360000150,1,209,4203303,Campo Alegre,SC,830935.2082,209,90,0.1879323976042635,0.0263043428492937,0.3838927474152972,0.6459375189585329,5.321062322132122,0.1788080425211654,0.0153639422071509,0.1616280547549698,0.1634441003140144,0.9900564422781324,0.9590380353206698,True
02073207000111,1,279,4206108,Grão-Pará,SC,952040.792,279,104,0.5430055795214022,0.0205161804190593,0.7352626125709117,0.7957432405900523,1.84160170302741,0.5385687404876294,0.0110066287726424,0.5224893991023428,0.5275621117149869,0.5624282481407645,0.9201699435889676,True
02179215000147,1,8,4215703,Santo Amaro da Imperatriz,SC,73631.7,8,8,0.2732082276552107,0.125,0.4533264884553799,0.8659308422866782,3.660211877886788,0.1693808316059551,0.0,0.1482082276552107,0.1693808316059551,0.6190105493311074,0.4677990300260582,True
02180700000130,1,5,4215802,São Bento do Sul,SC,22797.01,5,4,0.4964367242432984,0.28,0.5215157601808307,1.0,2.01435540757841,0.3285822989910645,0.04,0.2164367242432983,0.2885822989910644,0.6970075707163073,0.6225921396677971,True
02246138000109,1,35,3304524,Rio das Ostras,RJ,2682373.56,35,16,0.2017088272652785,0.1395918367346938,0.3587000015016551,0.7764437888360336,4.95764123741022,0.1484894157496304,0.0822312925170067,0.0621169905305847,0.0662581232326236,0.4060703352497573,0.8534784519620607,True
02247113000111,1,41,4209003,Joaçaba,SC,287735.03,41,32,0.2398298533980412,0.0434265318262938,0.3379823096270203,0.8081085921307529,4.169622696388503,0.2153082357657199,0.0125693231755291,0.1964033215717473,0.2027389125901908,0.9448433003161142,0.8810390139642158,True
