municipio_ibge,municipio,uf
1100114,Jaru,RO
1100205,Porto Velho,RO
1300607,Benjamin Constant,AM
1300631,Beruri,AM
1500602,Altamira,PA
1501303,Barcarena,PA
1501402,Belém,PA
1501451,Belterra,PA
1501725,Brasil Novo,PA
1502400,Castanhal,PA
1504208,Marabá,PA
1505304,Oriximiná,PA
1505536,Parauapebas,PA
1508100,Tucuruí,PA
1702109,Araguaína,TO
1705508,Colinas do Tocantins,TO
1709500,Gurupi,TO
1714880,Nova Olinda,TO
1716505,Pedro Afonso,TO
1718204,Porto Nacional,TO
2100055,Açailândia,MA
2101707,Barreirinhas,MA
2102002,Bom Jardim,MA
2102325,Buriticupu,MA
2110856,São Francisco do Brejão,MA
2211001,Teresina,PI
2300754,Amontada,CE
2302206,Beberibe,CE
2302602,Camocim,CE
2304400,Fortaleza,CE
2306900,Jaguaribe,CE
2307254,Jijoca de Jericoacoara,CE
2308708,Morada Nova,CE
2309300,Nova Russas,CE
2309706,Pacatuba,CE
2311355,Quixelô,CE
2311405,Quixeramobim,CE
2313005,Solonópole,CE
2314003,Várzea Alegre,CE
2403608,Extremoz,RN
2405702,Jardim do Seridó,RN
2406007,José da Penha,RN
2407401,Martins,RN
2408102,Natal,RN
2412005,São Gonçalo do Amarante,RN
2413805,Taboleiro Grande,RN
2503704,Cajazeiras,PB
2504009,Campina Grande,PB
2506301,Guarabira,PB
2507507,João Pessoa,PB
2508901,Mamanguape,PB
2513703,Santa Rita,PB
2514453,São José dos Ramos,PB
2515302,Sapé,PB
2600401,Água Preta,PE
2602209,Bom Jardim,PE
2604007,Carpina,PE
2607109,Ingazeira,PE
2608008,Jataúba,PE
2608909,Limoeiro,PE
2609105,Machados,PE
2610608,Paudalho,PE
2611606,Recife,PE
2612471,Santa Cruz da Baixa Verde,PE
2613602,São José do Egito,PE
2614600,Tabira,PE
2615003,Taquaritinga do Norte,PE
2615904,Tuparetama,PE
2700300,Arapiraca,AL
2704302,Maceió,AL
2709152,Teotônio Vilela,AL
2800308,Aracaju,SE
2802304,Frei Paulo,SE
2802908,Itabaiana,SE
2803005,Itabaianinha,SE
2803203,Itaporanga d'Ajuda,SE
2803302,Japaratuba,SE
2803500,Lagarto,SE
2804300,Muribeca,SE
2804508,Nossa Senhora da Glória,SE
2804607,Nossa Senhora das Dores,SE
2804805,Nossa Senhora do Socorro,SE
2805109,Pedrinhas,SE
2805406,Poço Redondo,SE
2806206,Salgado,SE
2903201,Barreiras,BA
2904902,Cachoeira,BA
2906808,Cansanção,BA
2908903,Coração de Maria,BA
2910800,Feira de Santana,BA
2911709,Guanambi,BA
2912004,Ibiassucê,BA
2914703,Itaberaba,BA
2914802,Itabuna,BA
2916401,Itapetinga,BA
2917706,Jaguarari,BA
2918001,Jequié,BA
2927408,Salvador,BA
2930774,Sobradinho,BA
2931202,Taperoá,BA
2932903,Valença,BA
3100302,Abre Campo,MG
3101102,Aimorés,MG
3105608,Barbacena,MG
3106200,Belo Horizonte,MG
3107307,Bocaiúva,MG
3110004,Caeté,MG
3110608,Cambuí,MG
3111200,Campo Belo,MG
3114204,Carmo do Cajuru,MG
3117306,Conceição das Alagoas,MG
3124708,Estrela do Indaiá,MG
3126703,Francisco Sá,MG
3130309,Iguatama,MG
3131703,Itabira,MG
3131901,Itabirito,MG
3133709,Itatiaiuçu,MG
3133808,Itaúna,MG
3134202,Ituiutaba,MG
3135076,Jampruca,MG
3135100,Janaúba,MG
3136207,João Monlevade,MG
3137809,Lambari,MG
3139003,Machado,MG
3139409,Manhuaçu,MG
3140001,Mariana,MG
3143104,Monte Carmelo,MG
3143302,Montes Claros,MG
3143906,Muriaé,MG
3145604,Oliveira,MG
3146008,Ouro Fino,MG
3147600,Passa Quatro,MG
3147907,Passos,MG
3148103,Patrocínio,MG
3151206,Pirapora,MG
3151503,Piumhi,MG
3151800,Poços de Caldas,MG
3152105,Ponte Nova,MG
3154002,Raul Soares,MG
3156908,Sacramento,MG
3162500,São João del Rei,MG
3163706,São Lourenço,MG
3167202,Sete Lagoas,MG
3169356,Três Marias,MG
3169406,Três Pontas,MG
3170206,Uberlândia,MG
3170404,Unaí,MG
3170701,Varginha,MG
3171303,Viçosa,MG
3200201,Alegre,ES
3200300,Alfredo Chaves,ES
3200607,Aracruz,ES
3200706,Atílio Vivácqua,ES
