municipio_ibge,anexo,exercicio,status,n_registros
1100098,DCA-Anexo I-D,2025,ok,244
1100098,DCA-Anexo I-E,2025,ok,204
1100809,DCA-Anexo I-D,2025,ok,175
1100809,DCA-Anexo I-E,2025,ok,202
1711902,DCA-Anexo I-D,2025,ok,165
1711902,DCA-Anexo I-E,2025,ok,254
2304459,DCA-Anexo I-D,2025,ok,200
2304459,DCA-Anexo I-E,2025,ok,236
2400208,DCA-Anexo I-D,2025,ok,177
2400208,DCA-Anexo I-E,2025,ok,182
2402006,DCA-Anexo I-D,2025,ok,174
2402006,DCA-Anexo I-E,2025,ok,254
2414902,DCA-Anexo I-D,2025,ok,101
2414902,DCA-Anexo I-E,2025,ok,84
2604155,DCA-Anexo I-D,2025,ok,157
2604155,DCA-Anexo I-E,2025,ok,225
2608453,DCA-Anexo I-D,2025,ok,190
2608453,DCA-Anexo I-E,2025,ok,177
2612703,DCA-Anexo I-D,2025,ok,145
2612703,DCA-Anexo I-E,2025,ok,155
2706406,DCA-Anexo I-D,2025,ok,213
2706406,DCA-Anexo I-E,2025,ok,212
2800605,DCA-Anexo I-D,2025,ok,202
2800605,DCA-Anexo I-E,2025,ok,293
2805703,DCA-Anexo I-D,2025,ok,170
2805703,DCA-Anexo I-E,2025,ok,181
2806701,DCA-Anexo I-D,2025,ok,188
2806701,DCA-Anexo I-E,2025,ok,280
2925303,DCA-Anexo I-D,2025,ok,208
2925303,DCA-Anexo I-E,2025,ok,254
2928802,DCA-Anexo I-D,2025,ok,167
2928802,DCA-Anexo I-E,2025,ok,215
3106705,DCA-Anexo I-D,2025,ok,289
3106705,DCA-Anexo I-E,2025,ok,349
3113305,DCA-Anexo I-D,2025,ok,250
3113305,DCA-Anexo I-E,2025,ok,344
3137205,DCA-Anexo I-D,2025,ok,224
3137205,DCA-Anexo I-E,2025,ok,331
3167806,DCA-Anexo I-D,2025,ok,163
3167806,DCA-Anexo I-E,2025,ok,185
3169604,DCA-Anexo I-D,2025,ok,180
3169604,DCA-Anexo I-E,2025,ok,256
3202603,DCA-Anexo I-D,2025,ok,204
3202603,DCA-Anexo I-E,2025,ok,188
3204054,DCA-Anexo I-D,2025,ok,194
3204054,DCA-Anexo I-E,2025,ok,184
3204401,DCA-Anexo I-D,2025,ok,202
3204401,DCA-Anexo I-E,2025,ok,187
3204708,DCA-Anexo I-D,2025,ok,206
3204708,DCA-Anexo I-E,2025,ok,280
3205002,DCA-Anexo I-D,2025,ok,301
3205002,DCA-Anexo I-E,2025,ok,264
3300209,DCA-Anexo I-D,2025,ok,249
3300209,DCA-Anexo I-E,2025,ok,232
3301900,DCA-Anexo I-D,2025,ok,231
3301900,DCA-Anexo I-E,2025,ok,188
3302106,DCA-Anexo I-D,2025,ok,179
3302106,DCA-Anexo I-E,2025,ok,177
3303203,DCA-Anexo I-D,2025,ok,237
3303203,DCA-Anexo I-E,2025,ok,230
3303807,DCA-Anexo I-D,2025,ok,170
3303807,DCA-Anexo I-E,2025,ok,297
3500501,DCA-Anexo I-D,2025,ok,192
3500501,DCA-Anexo I-E,2025,ok,236
3504008,DCA-Anexo I-D,2025,ok,239
3504008,DCA-Anexo I-E,2025,ok,258
3519071,DCA-Anexo I-D,2025,ok,232
3519071,DCA-Anexo I-E,2025,ok,286
3522406,DCA-Anexo I-D,2025,ok,228
3522406,DCA-Anexo I-E,2025,ok,320
3522703,DCA-Anexo I-D,2025,ok,193
3522703,DCA-Anexo I-E,2025,ok,248
3526902,DCA-Anexo I-D,2025,ok,286
3526902,DCA-Anexo I-E,2025,ok,334
3545209,DCA-Anexo I-D,2025,ok,193
3545209,DCA-Anexo I-E,2025,ok,225
4106506,DCA-Anexo I-D,2025,ok,191
4106506,DCA-Anexo I-E,2025,ok,263
4112009,DCA-Anexo I-D,2025,ok,193
4112009,DCA-Anexo I-E,2025,ok,292
4115804,DCA-Anexo I-D,2025,ok,265
4115804,DCA-Anexo I-E,2025,ok,255
4119657,DCA-Anexo I-D,2025,ok,183
4119657,DCA-Anexo I-E,2025,ok,203
4126256,DCA-Anexo I-D,2025,ok,235
4126256,DCA-Anexo I-E,2025,ok,297
4200507,DCA-Anexo I-D,2025,ok,200
4200507,DCA-Anexo I-E,2025,ok,238
4202057,DCA-Anexo I-D,2025,ok,242
4202057,DCA-Anexo I-E,2025,ok,189
4202438,DCA-Anexo I-D,2025,ok,199
4202438,DCA-Anexo I-E,2025,ok,212
4204608,DCA-Anexo I-D,2025,ok,299
4204608,DCA-Anexo I-E,2025,ok,293
4204806,DCA-Anexo I-D,2025,ok,248
4204806,DCA-Anexo I-E,2025,ok,258
4205431,DCA-Anexo I-D,2025,ok,153
4205431,DCA-Anexo I-E,2025,ok,164
4208005,DCA-Anexo I-D,2025,ok,250
4208005,DCA-Anexo I-E,2025,ok,266
4210035,DCA-Anexo I-D,2025,ok,207
4210035,DCA-Anexo I-E,2025,ok,173
4211405,DCA-Anexo I-D,2025,ok,178
4211405,DCA-Anexo I-E,2025,ok,177
4212601,DCA-Anexo I-D,2025,ok,218
4212601,DCA-Anexo I-E,2025,ok,231
4213153,DCA-Anexo I-D,2025,ok,156
4213153,DCA-Anexo I-E,2025,ok,175
4217402,DCA-Anexo I-D,2025,ok,209
4217402,DCA-Anexo I-E,2025,ok,201
