orgao_cnpj,n_municipios,n_instrumentos_mapeados,municipio_ibge,municipio,uf,valor_total,n_instrumentos,n_fornecedores,portfolio_hhi,count_hhi,portfolio_cr1,portfolio_cr4,portfolio_neff,portfolio_hhi_norm,count_hhi_norm,hhi_gap_value_count,hhi_norm_gap_value_count,exposicao_degree_global,exposicao_strength_global,integracao_siconfi_principal,cod_ibge,despesa_empenhada_2025,despesa_liquidada_2025,despesa_paga_2025,populacao_siconfi_2025,liquidada_sobre_empenhada,paga_sobre_empenhada,despesa_empenhada_per_capita,exposicao_strength,exposicao_degree,procurement_intensity_parcial,log_despesa_empenhada,log_populacao_siconfi,log_despesa_per_capita,instrumentos_por_fornecedor
00057011000108,1,6,5212709,Mambaí,GO,109046.4,6,4,0.4829648133554434,0.2777777777777778,0.6602693899110837,1.0,2.0705442142925614,0.3106197511405912,0.037037037037037,0.2051870355776656,0.2735827141035541,0.866382202846799,0.6417431813431906,True,5212709,47525124.68,47426697.49,47379713.66,8144.0,0.9979289440971962,0.9969403337502195,5835.599788801572,0.6417431813431906,0.866382202846799,0.002294500029915545,17.676769069796663,9.005036738790304,8.671732331006357,1.5
00091238000170,1,11,4208906,Jaraguá do Sul,SC,463764.85,11,9,0.3303067153054515,0.1239669421487603,0.4312528860261833,0.9731237932327128,3.027489159810901,0.246595054718633,0.0144628099173553,0.2063397731566912,0.2321322448012776,0.5615495247490827,0.7879573378713607,True,4208906,1500828977.09,1372402927.83,1352736980.24,193304.0,0.9144299242482585,0.901326534128399,7764.08650152092,0.7879573378713607,0.5615495247490827,0.00030900579418396284,21.129283443792367,12.17201935820529,8.957264085587079,1.2222222222222223
00118735000114,1,8,3543402,Ribeirão Preto,SP,111063.1,8,8,0.482405668049233,0.125,0.67974016572561,0.8988048235642621,2.072944134433227,0.4084636206276949,0.0,0.357405668049233,0.4084636206276949,0.4630226364205698,0.5583930980960434,True,3543402,4979786245.27,4786157084.16,4560174098.0,702739.0,0.9611169733853703,0.9157369158829729,7086.252855284822,0.5583930980960434,0.4630226364205698,2.2302784603554454e-05,22.328652804425225,13.46274083585367,8.865911968571552,1.0
00202770000117,1,6,5003256,Costa Rica,MS,3232560.62,6,6,0.5160285226261689,0.1666666666666666,0.6929491085614969,0.9699696273599966,1.937877377224822,0.4192342271514027,3.3306690738754695e-17,0.3493618559595022,0.4192342271514027,0.4911310230478846,0.9342668747454268,True,5003256,287525724.58,274094685.29,274094685.29,26187.0,0.9532875212831158,0.9532875212831158,10979.712245770801,0.9342668747454268,0.4911310230478846,0.01124268315373147,19.476822890998868,10.173018383403459,9.303804507595409,1.0
00204125000133,1,24,2704302,Maceió,AL,610239.2,24,22,0.4451703128319597,0.0486111111111111,0.6440097587962229,0.913850699856712,2.24633128305093,0.4187498515382435,0.0033068783068783,0.3965592017208486,0.4154429732313652,0.505001120485745,0.7734631879124804,True,2704302,5315509518.88,5117855869.47,5085156468.9,960667.0,0.9628156720051089,0.9566639756430091,5533.1446993391055,0.7734631879124804,0.505001120485745,0.00011480351936771244,22.393894708469244,13.775383113854698,8.618511594614546,1.0909090909090908
00324208000166,1,5,3107307,Bocaiúva,MG,20395.24,5,3,0.4662282745721222,0.44,0.5740074644868116,1.0,2.144872060618252,0.1993424118581832,0.1600000000000001,0.0262282745721221,0.0393424118581831,0.4337377820476057,0.2919815057606655,True,3107307,237763337.11,226948139.74,220814415.33,50185.0,0.9545127625585251,0.9287151585857888,4737.737114874963,0.2919815057606655,0.4337377820476057,8.577958337859401e-05,19.28678635501933,10.823471456247901,8.463314898771428,1.6666666666666667
00421772000105,1,20,5213103,Mineiros,GO,6611636.220000001,20,16,0.1812125737566933,0.075,0.2593851117840237,0.8006036363567505,5.518380867669034,0.1266267453404728,0.0133333333333333,0.1062125737566933,0.1132934120071395,0.4355354202306462,0.9320785423314372,True,5213103,678402600.84,651782645.6,638880337.18,71108.0,0.9607608296208784,0.9417421696039144,9540.453969173652,0.9320785423314372,0.4355354202306462,0.009745888668194157,20.335251476219995,11.171955127042576,9.16329634917742,1.25
00426641000102,1,5,3113206,Carandaí,MG,62633.64,5,5,0.2807508386759461,0.2,0.335283084297831,0.9817989182809748,3.561877160246848,0.1009385483449326,3.4694469519536136e-17,0.0807508386759461,0.1009385483449326,0.455236993226739,0.418076453406213,True,3113206,158682160.23,153210587.94,144606555.16,23826.0,0.9655186677439399,0.9112968650691529,6660.041980609418,0.418076453406213,0.455236993226739,0.00039471128896415584,18.882413767268684,10.078532700359306,8.803881066909376,1.0
00444435000125,1,10,3201308,Cariacica,ES,319910.04000000004,10,8,0.2852700824257914,0.14,0.4051138876416632,0.923778572251124,3.505449963404889,0.1831658084866187,0.0171428571428571,0.1452700824257913,0.1660229513437615,0.6292812857858923,0.7181875207471254,True,3201308,1713797658.97,1664098327.83,1652504246.88,375500.0,0.9710004673656343,0.964235327450011,4564.041701651132,0.7181875207471254,0.6292812857858923,0.000186667333991031,21.261977598210496,12.836013750186327,8.42596384802417,1.25
00460408000146,1,33,3110608,Cambuí,MG,578732.03,33,27,0.1268202119733327,0.0413223140495867,0.2431488023913243,0.6425280798783506,7.88517843047192,0.093236373972307,0.0044500953591862,0.0854978979237459,0.0887862786131208,0.7062223418820968,0.6406166808350311,True,3110608,201942681.75,197710334.94,197104731.06,29584.0,0.979041841113908,0.9760429511578476,6826.077668672256,0.6406166808350311,0.7062223418820968,0.002865823237489021,19.123494461386905,10.294988953626905,8.82850550776,1.2222222222222223
