municipio_ibge,anexo,exercicio,status,n_registros
1500602,DCA-Anexo I-D,2025,ok,188
1500602,DCA-Anexo I-E,2025,ok,239
1501303,DCA-Anexo I-D,2025,ok,0
1501303,DCA-Anexo I-E,2025,ok,0
1504208,DCA-Anexo I-D,2025,ok,229
1504208,DCA-Anexo I-E,2025,ok,374
1508100,DCA-Anexo I-D,2025,ok,232
1508100,DCA-Anexo I-E,2025,ok,270
1702109,DCA-Anexo I-D,2025,ok,228
1702109,DCA-Anexo I-E,2025,ok,282
1705508,DCA-Anexo I-D,2025,ok,181
1705508,DCA-Anexo I-E,2025,ok,288
1709500,DCA-Anexo I-D,2025,ok,265
1709500,DCA-Anexo I-E,2025,ok,371
1714880,DCA-Anexo I-D,2025,ok,168
1714880,DCA-Anexo I-E,2025,ok,229
1718204,DCA-Anexo I-D,2025,ok,216
1718204,DCA-Anexo I-E,2025,ok,334
2102002,DCA-Anexo I-D,2025,ok,170
2102002,DCA-Anexo I-E,2025,ok,157
2102325,DCA-Anexo I-D,2025,ok,200
2102325,DCA-Anexo I-E,2025,ok,276
2211001,DCA-Anexo I-D,2025,ok,326
2211001,DCA-Anexo I-E,2025,ok,342
2304400,DCA-Anexo I-D,2025,ok,300
2304400,DCA-Anexo I-E,2025,ok,419
2307254,DCA-Anexo I-D,2025,ok,158
2307254,DCA-Anexo I-E,2025,ok,164
2309300,DCA-Anexo I-D,2025,ok,183
2309300,DCA-Anexo I-E,2025,ok,171
2311405,DCA-Anexo I-D,2025,ok,219
2311405,DCA-Anexo I-E,2025,ok,230
2504009,DCA-Anexo I-D,2025,ok,231
2504009,DCA-Anexo I-E,2025,ok,320
2506301,DCA-Anexo I-D,2025,ok,171
2506301,DCA-Anexo I-E,2025,ok,226
2507507,DCA-Anexo I-D,2025,ok,327
2507507,DCA-Anexo I-E,2025,ok,406
2515302,DCA-Anexo I-D,2025,ok,218
2515302,DCA-Anexo I-E,2025,ok,189
2604007,DCA-Anexo I-D,2025,ok,170
2604007,DCA-Anexo I-E,2025,ok,188
2607109,DCA-Anexo I-D,2025,ok,164
2607109,DCA-Anexo I-E,2025,ok,182
2608008,DCA-Anexo I-D,2025,ok,178
2608008,DCA-Anexo I-E,2025,ok,201
2608909,DCA-Anexo I-D,2025,ok,191
2608909,DCA-Anexo I-E,2025,ok,180
2610608,DCA-Anexo I-D,2025,ok,177
2610608,DCA-Anexo I-E,2025,ok,229
2611606,DCA-Anexo I-D,2025,ok,346
2611606,DCA-Anexo I-E,2025,ok,355
2613602,DCA-Anexo I-D,2025,ok,207
2613602,DCA-Anexo I-E,2025,ok,234
2614600,DCA-Anexo I-D,2025,ok,165
2614600,DCA-Anexo I-E,2025,ok,187
2700300,DCA-Anexo I-D,2025,ok,249
2700300,DCA-Anexo I-E,2025,ok,313
2709152,DCA-Anexo I-D,2025,ok,176
2709152,DCA-Anexo I-E,2025,ok,213
2800308,DCA-Anexo I-D,2025,ok,299
2800308,DCA-Anexo I-E,2025,ok,330
2802304,DCA-Anexo I-D,2025,ok,174
2802304,DCA-Anexo I-E,2025,ok,197
2802908,DCA-Anexo I-D,2025,ok,209
2802908,DCA-Anexo I-E,2025,ok,264
2803005,DCA-Anexo I-D,2025,ok,161
2803005,DCA-Anexo I-E,2025,ok,263
2803302,DCA-Anexo I-D,2025,ok,165
2803302,DCA-Anexo I-E,2025,ok,223
2804300,DCA-Anexo I-D,2025,ok,158
2804300,DCA-Anexo I-E,2025,ok,200
2804508,DCA-Anexo I-D,2025,ok,180
2804508,DCA-Anexo I-E,2025,ok,179
2804607,DCA-Anexo I-D,2025,ok,173
2804607,DCA-Anexo I-E,2025,ok,196
2805109,DCA-Anexo I-D,2025,ok,167
2805109,DCA-Anexo I-E,2025,ok,187
2806206,DCA-Anexo I-D,2025,ok,142
2806206,DCA-Anexo I-E,2025,ok,174
2903201,DCA-Anexo I-D,2025,ok,204
2903201,DCA-Anexo I-E,2025,ok,300
2906808,DCA-Anexo I-D,2025,ok,133
2906808,DCA-Anexo I-E,2025,ok,175
2910800,DCA-Anexo I-D,2025,ok,276
2910800,DCA-Anexo I-E,2025,ok,357
2911709,DCA-Anexo I-D,2025,ok,213
2911709,DCA-Anexo I-E,2025,ok,233
2912004,DCA-Anexo I-D,2025,ok,130
2912004,DCA-Anexo I-E,2025,ok,150
2914802,DCA-Anexo I-D,2025,ok,228
2914802,DCA-Anexo I-E,2025,ok,296
2916401,DCA-Anexo I-D,2025,ok,169
2916401,DCA-Anexo I-E,2025,ok,198
2917706,DCA-Anexo I-D,2025,ok,141
2917706,DCA-Anexo I-E,2025,ok,139
2930774,DCA-Anexo I-D,2025,ok,166
2930774,DCA-Anexo I-E,2025,ok,190
2931202,DCA-Anexo I-D,2025,ok,144
2931202,DCA-Anexo I-E,2025,ok,151
2932903,DCA-Anexo I-D,2025,ok,189
2932903,DCA-Anexo I-E,2025,ok,216
3105608,DCA-Anexo I-D,2025,ok,259
3105608,DCA-Anexo I-E,2025,ok,311
3106200,DCA-Anexo I-D,2025,ok,407
3106200,DCA-Anexo I-E,2025,ok,410
3110004,DCA-Anexo I-D,2025,ok,203
3110004,DCA-Anexo I-E,2025,ok,255
3111200,DCA-Anexo I-D,2025,ok,231
3111200,DCA-Anexo I-E,2025,ok,332
3126703,DCA-Anexo I-D,2025,ok,245
3126703,DCA-Anexo I-E,2025,ok,288
3131703,DCA-Anexo I-D,2025,ok,312
3131703,DCA-Anexo I-E,2025,ok,375
3131901,DCA-Anexo I-D,2025,ok,249
