orgao_cnpj,n_municipios,n_instrumentos_mapeados,municipio_ibge,municipio,uf,valor_total,n_instrumentos,n_fornecedores,portfolio_hhi,portfolio_cr1,portfolio_cr4,portfolio_neff,portfolio_entropy_norm,count_hhi,count_neff,hhi_gap_value_minus_count,exposicao_degree,exposicao_strength,integracao_siconfi_principal,cod_ibge,despesa_empenhada_2025,despesa_liquidada_2025,despesa_paga_2025,populacao_siconfi_2025,liquidada_sobre_empenhada,paga_sobre_empenhada,procurement_intensity_parcial,log_despesa_empenhada,log_populacao_siconfi
00955107000193,1,6,3543907,Rio Claro,SP,99170.6,6,5,0.3775733228824713,0.5622129945770218,0.9604721560623812,2.648492198457765,0.7614952654386126,0.2222222222222222,4.499999999999999,0.155351100660249,0.4373616478754997,0.5355322984749215,True,3543907,1460461802.91,1411186984.88,1262954013.02,206950.0,0.9662607964605313,0.8647634676261565,6.790359035915938e-05,21.10201852601631,12.240232497176878
01071994000108,1,26,4120358,Pranchita,PR,2330112.26,26,26,0.1801192163240494,0.2789077638688532,0.7425009643097624,5.551878474759277,0.6640751768379669,0.0384615384615384,26.0,0.141657677862511,0.5940995749963444,0.8866911929815148,True,4120358,59303645.09,59271835.0,58953889.08,5705.0,0.9994636064958279,0.9941022847841948,0.03929121483955649,17.898181330712898,8.649098262296176
01280363000190,1,11,4209102,Joinville,SC,16989621.619999997,11,11,0.5693974337276639,0.6922886373263444,0.9988515565304272,1.756242548290599,0.2758566651977412,0.0909090909090909,11.0,0.478488342818573,0.4087641480443691,0.9899461220237536,True,4209102,4677973285.15,4491280681.35,4295508268.18,617979.0,0.9600911351091623,0.9182412994567293,0.003631833827254365,22.26613079435032,13.33420975527995
01349236000109,1,27,4202800,Braço do Norte,SC,191826.148,27,17,0.2127317846125581,0.4081821003881077,0.7291516378674298,4.700754999170759,0.7223757159057139,0.0781893004115226,12.789473684210527,0.1345424842010355,0.9954207915831956,0.8966513426591152,True,4202800,220117573.0,195929566.5,192250071.35,34113.0,0.8901132418900511,0.8733971973696075,0.0008714713022935247,19.20967238429094,10.437433822292833
01397083000167,1,8,4216503,São Joaquim,SC,1448.6999999999998,8,8,0.1393056536922068,0.2136398150065576,0.6313936632843239,7.178459549168628,0.974071999974957,0.125,8.0,0.0143056536922068,0.993454928652995,0.570898458236143,True,4216503,202831996.46,179589594.9,178884373.46,26026.0,0.8854105764098044,0.8819337016942361,7.142364248658837e-06,19.127888590707776,10.166851317336702
01404511000131,1,29,4305108,Caxias do Sul,RS,524974.44,29,18,0.2343311387491839,0.3516615208923314,0.901334567831531,4.267465285825069,0.5853703100936017,0.0915576694411415,10.92207792207792,0.1427734693080424,0.4202054360656159,0.7340315303319584,True,4305108,3571734146.76,3446693049.38,3364463468.66,503068.0,0.9649914881001355,0.9419691753127762,0.00014698026740770053,21.996317070191957,13.128480628811484
01420402000108,1,9,1504208,Marabá,PA,71493.42,9,8,0.2547945801048297,0.4196190362693517,0.8663035003780768,3.9247302654105582,0.7727225772255563,0.1358024691358024,7.363636363636364,0.1189921109690272,0.8132747528420091,0.6697680255227549,True,1504208,1773067554.1,1633032360.81,1621389850.92,271321.0,0.9210209487133268,0.914454639458455,4.0321881608334827e-05,21.295976964891878,12.511057900738024
01465988000127,1,49,5213103,Mineiros,GO,2133361.67,49,27,0.2072486374544865,0.3846639046439791,0.74135461522565,4.82512219275559,0.6254930205132954,0.0953769262807163,10.48471615720524,0.1118717111737701,0.6711250085625865,0.867275424483054,True,5213103,678402600.84,651782645.6,638880337.18,71108.0,0.9607608296208784,0.9417421696039144,0.0031446838018581672,20.335251476219995,11.171955127042576
01600293000100,1,7,4214904,Rio Fortuna,SC,8279.18,7,7,0.2739602189198392,0.4522186979869987,0.8634429979780606,3.650164990898187,0.8012742504026116,0.1428571428571428,7.0,0.1311030760626963,0.978387555850298,0.7122761975201374,True,4214904,45408613.03,44771696.46,44562639.64,4885.0,0.985973661657994,0.9813697593132586,0.0001823262030604241,17.631212359335272,8.493924564476883
01648573000199,1,36,3303955,Pinheiral,RJ,4232841.69,36,31,0.3515646170074522,0.5825583569131781,0.7322572699382008,2.844427316127785,0.5591788420283629,0.0354938271604938,28.173913043478247,0.3160707898469583,0.4619312288797714,0.8826725362132902,True,3303955,183413766.01,178643498.53,172799777.64,24553.0,0.9739917696268234,0.9421309065240975,0.023078102489696547,19.02725517500249,10.108589325349573
