cod_ibge,despesa_empenhada_2025,despesa_liquidada_2025,despesa_paga_2025,populacao_siconfi_2025,liquidada_sobre_empenhada,paga_sobre_empenhada
1500602,754443712.69,739692687.31,721821909.37,135067,0.9804478119018254,0.9567604543966763
1504208,1773067554.1,1633032360.81,1621389850.92,271321,0.9210209487133268,0.914454639458455
1508100,795721847.83,774526298.86,756505345.62,90232,0.9733631179943066,0.9507158156874205
1702109,1163765368.6,1113347607.6,1067250634.96,186867,0.9566770395817397,0.9170668450496114
1705508,253406422.25,236878989.59,235334414.29,33967,0.9347789510887189,0.9286837018590992
1709500,716196129.85,686095789.63,675843710.71,83817,0.9579719311994827,0.9436573063464454
1714880,72504590.25,69080774.51,67610166.03,10353,0.9527779451177576,0.9324949744130165
1718204,453640047.05,444955512.02,397747934.03,71101,0.9808558898481844,0.8767919336410799
2102002,232580460.09,232571508.93,228853934.66,32894,0.9999615137058524,0.9839774784667724
2102325,442382926.04,378083480.03,357362120.05,52395,0.8546520622177309,0.8078117373311273
2211001,5119761285.88,4965839285.12,4931466326.02,868523,0.9699357075134523,0.963221925916877
2304400,13965276937.07,13789180284.92,13760843623.28,2596157,0.9873903931197697,0.9853613132978879
2307254,216556766.64,215538308.23,196753824.62,29472,0.9952970372350772,0.9085554225469203
2309300,221488947.98,215299206.37,193253877.32,30518,0.972053948215245,0.8725215369998978
2311405,496484676.42,491821644.36,459910450.73,78502,0.9906079033624487,0.9263336263392344
2504009,2168908546.95,2161097297.54,2058797379.98,418140,0.9963985344513561,0.9492319917661617
2506301,267495163.1,264924582.49,262517397.24,57661,0.9903901790962889,0.981391193013314
2507507,4850356845.3,4569049735.78,4529794533.11,889618,0.9420028013418049,0.933909540593776
2515302,271042440.54,270759774.63,245169965.86,51142,0.998957115684773,0.9045445627317475
2604007,333242122.48,327929211.85,323660502.66,78865,0.9840569055602542,0.9712472728576651
2607109,52129167.71,52129167.71,50316982.65,4750,1.0,0.965236639301794
2608008,112290532.04,110452288.68,105278629.2,15419,0.9836295783214815,0.9375557073903414
2608909,254155639.39,248686317.12,245716731.97,55917,0.9784804213546986,0.9667963007224462
2610608,295798929.15,291945966.84,284755552.57,55072,0.9869743872262426,0.9626659345531307
2611606,9660349174.86,9586143766.57,9480081025.61,1494586,0.9923185583722882,0.9813393754214259
2613602,171256111.34,167226302.82,162747441.32,31154,0.9764691111548159,0.9503161087016189
2614600,131457967.48,129178714.79,127171655.66,27505,0.9826617379403286,0.9673940507207969
2700300,1404948023.86,1314406219.73,1303520867.58,235085,0.9355550507261882,0.9278071825024988
2709152,333508010.92,333093577.55,327348525.6,37999,0.9987573510787439,0.98153122228456
2800308,4013049781.6,3870099515.27,3740885901.41,605309,0.9643786461395438,0.9321802880597487
2802304,87295952.51,86725170.02,85091411.61,14561,0.9934615240043961,0.9747463560839493
2802908,562958305.73,450617729.78,431683971.08,103620,0.8004460102878744,0.7668133975219109
2803005,207148240.44,187606486.43,186713021.63,40313,0.9056629495452547,0.9013497832924194
2803302,129572044.78,128143330.21,126577767.67,15848,0.9889735893847641,0.976891025258697
2804300,49098051.79,48870820.14,45741500.76,7821,0.9953718805183573,0.9316357593096262
2804508,254861655.13,246184746.39,245039659.24,41267,0.9659544361996155,0.9614614607874614
2804607,140345344.63,139482653.57,137474237.11,25000,0.9938530838890712,0.9795425524974182
2805109,69910979.28,67564767.07,63425696.51,7393,0.9664400036423004,0.9072351319236162
2806206,102296757.88,97331337.65,97308038.53,20294,0.9514606295164827,0.9512328694145707
2903201,1004522893.76,990006209.71,950096510.57,165413,0.9855486777452498,0.9458186731949153
2906808,288547173.39,288547173.39,286971987.78,39475,1.0,0.9945409771598386
2910800,2379490635.55,2320915691.5,2244826134.27,652592,0.9753834105606971,0.943406164635368
2911709,474195185.55,465563880.02,432961416.83,87580,0.9817979899564165,0.9130447335263967
2912004,56859086.04,56859086.04,53919335.07,10426,1.0,0.9482976042222715
2914802,1163036849.65,1120197750.52,1054923424.47,185500,0.9631661721269692,0.9070421326611144
2916401,339135012.2,338469727.54,323059559.88,68704,0.9980382896602619,0.9525986650103831
2917706,230421090.13,228226301.46,226660394.07,32495,0.990474879409859,0.983679028434948
2930774,160233957.44,159750560.25,154152628.17,24799,0.9969831788609415,0.9620471879546683
2931202,119139774.87,118697802.64,118390554.97,18016,0.996290304975964,0.9937114208851114
2932903,404984474.36,401652623.11,389634061.72,96226,0.9917728914046264,0.9620962935325895
3105608,728216188.78,692665835.38,686268577.95,122894,0.9511815942192133,0.9423967614613513
3106200,20631992768.2,19673085049.18,18749468000.74,2392678,0.9535232621592442,0.9087570072067142
3110004,207725597.92,203338124.4,201149351.69,39578,0.97887851298091,0.968341666622461
3111200,319158885.97,297567817.24,283511208.58,52318,0.9323500937021396,0.8883074263100704
3126703,131280375.7,130101931.42,126374811.78,21504,0.9910234543912873,0.9626329229038
3131703,1289378039.72,1206707157.89,1190152837.86,110335,0.9358831318020954,0.9230441353867421
3131901,855816542.68,822648587.29,779509521.11,58544,0.9612440824219942,0.910837173898224
3133808,557785651.55,535895823.59,530663820.58,95967,0.9607558425011982,0.9513758898339665
3136207,481766177.36,457611497.16,452964242.96,75838,0.9498622333091881,0.9402159475830579
3137809,120467040.1,116459787.4,112980036.95,20449,0.9667356922136249,0.9378501941793788
3139003,238651968.18,230141503.56,211846143.57,36932,0.9643394325012182,0.8876781749824829
3139409,469195008.2,315433961.57,427489574.81,88787,0.6722875479432691,0.9111127939105811
3143104,258627368.71,252869096.12,250413466.37,47267,0.9777352543208342,0.9682403978319468
3146008,160138629.76,158072437.0,154860035.19,32131,0.9870974744626165,0.9670373439693406
3148103,640784193.84,578440596.55,571871146.77,91901,0.9027073422076842,0.8924551389805235
3151800,1385069952.02,1358964146.39,1252883961.87,172869,0.9811519948202422,0.9045636720678124
3163706,360243503.86,343925387.21,330224857.88,44432,0.9547025373805444,0.9166712358214625
3167202,1493652931.85,1365688651.36,1317259156.64,233398,0.9143279688598698,0.8819044428269404
3170206,4955472113.74,4764899350.61,4734065446.75,725536,0.9615429652804219,0.9553207722880516
3170404,628030681.78,596341141.56,593685429.83,86867,0.949541413915983,0.9453127801771457
3171303,503443372.65,483088183.02,467704589.9,85119,0.9595680651771115,0.9290113154894065
3200201,203978506.01,203261337.19,203093557.41,26397,0.996484096123516,0.9956615595568848
3200300,125731832.1,121838651.42,120454168.77,13303,0.9690358390951976,0.9580244458236921
3200607,967453440.58,937417404.54,931709623.55,99336,0.9689535074452853,0.9630537082915626
3200805,209516687.0,207320654.62,204201834.68,30676,0.9895185800642218,0.9746327970525804
3200904,266817792.15,261603351.83,233620380.79,40753,0.9804569242628748,0.8755802186484736
3201506,862392527.99,786458070.45,781885106.21,124575,0.9119490776236404,0.9066464293613018
3201902,239723639.61,235283985.02,230789138.19,35937,0.9814801135289671,0.9627299942778471
3202256,95711556.85,92034248.02,91505192.76,11073,0.9615792601120979,0.9560516595023918
3202801,548674095.57,535442993.06,523538305.77,45801,0.9758853158608578,0.9541881236913741
3202900,78064468.82,74816348.24,74816348.24,12452,0.9583918185943279,0.9583918185943279
3203056,251936106.25,244043069.38,238581673.14,28911,0.9686704816253386,0.9469927780151202
3203205,1182188660.03,1164930084.75,1156702627.9,171265,0.9854011666128129,0.9784416540340075
3203403,180495525.13,177207976.59,174303597.95,24769,0.9817859831282123,0.9656948438165415
3204351,150573017.92,146556166.04,144654396.45,19035,0.973322897186439,0.9606926821833074
3204559,294813578.21,278222960.79,275901769.3,46523,0.9437250566248268,0.9358516353798033
3204609,155587046.98,140711545.01,139704603.37,25755,0.9043911285756829,0.8979192425186808
3205010,200832446.08,195469000.76,194171415.92,27255,0.9732939302155214,0.9668328983188968
3205036,155397441.11,155356406.75,153789215.49,22285,0.9997359392811946,0.9896508873729677
3205200,2408596521.22,2280964280.23,2257546830.32,493242,0.9470097046701074,0.9372872585469442
3205309,3759930769.69,3451111246.27,3359782161.21,331785,0.9178656357426863,0.8935755382238084
3300506,191437761.15,184614062.96,184370376.19,28166,0.9643555265742304,0.9630825970929403
3300605,305705629.5,298509878.89,297512795.29,35797,0.976461831528032,0.9732002507660724
3302700,6749943138.11,6241244858.75,6197770037.2,223938,0.9246366570870942,0.9181958885264611
3303856,223268291.67,218032664.07,217962777.39,29390,0.976550061986686,0.976237045393612
3303955,183413766.01,178643498.53,172799777.64,24553,0.9739917696268234,0.9421309065240975
3304524,1151672556.46,1080739105.26,1080502398.64,149562,0.9384083168413472,0.9382027839243109
3305158,162264005.62,138463557.98,137508999.39,22125,0.8533226913198643,0.8474399412524498
3306156,120882129.82,113980533.61,113386830.2,10209,0.9429063979905314,0.9379949738546062
3500105,319695009.96,310704404.53,306270685.0,34357,0.9718775547008853,0.9580089630999257
3503208,1828517681.6,1661504928.33,1451330210.5,250304,0.9086622158753972,0.7937195385663697
3503307,980858913.49,961001788.11,933449627.03,131300,0.9797553704137262,0.9516655394491825
3505302,233023352.57,216708481.69,206376804.55,34430,0.9299861121211058,0.8856485939022125
3505708,5535217031.48,5334602886.97,5302938903.35,342613,0.9637567699027766,0.9580363106254042
3505807,149636648.84,132181219.34,130247544.71,21516,0.8833478988248104,0.8704254320027446
3506003,2414757037.63,2331709165.25,2277455610.08,388686,0.9656081870408343,0.9431406864498646
3507902,203677043.12,184194121.6,181953270.79,23751,0.9043440477063421,0.8933420674356458
3508108,142031240.29,137682939.13,136328157.99,17203,0.9693848962304236,0.9598462824914054
3508702,99813024.66,93530060.88,93404860.74,16947,0.9370526662086226,0.9357983194895799
3509502,10666515272.08,10480489483.0,10136520355.05,1170247,0.9825598347412553,0.9503122712984547
3510401,441451691.45,441360406.24,391407208.74,50954,0.9997932158563032,0.8866365591541331
3513405,427055372.44,410877992.14,360858710.3,75592,0.962118775821576,0.8449927891978448
3516705,275567712.91,264774663.08,250075244.31,41395,0.9608334020120674,0.9074910905533922
3517406,357495904.52,354002265.08,346479143.5,39351,0.9902274700330042,0.9691835322287345
3520509,2492473877.8,2358889095.2,2226046444.79,266593,0.946404741173091,0.8931072315810329
3523107,1500508540.23,1485016012.42,1369809769.36,392218,0.9896751485282281,0.9128970163342313
3523909,1367015058.88,1251920936.64,1195743880.43,176548,0.9158062513705614,0.8747115641942357
3524105,323704061.73,306863777.51,278782853.9,37375,0.9479762962194573,0.8612275434854796
3524402,1659372548.85,1558371609.19,1515073237.56,251591,0.9391330537979571,0.9130398346109774
3526704,624833976.63,604570456.63,596575288.38,97516,0.9675697533138484,0.9547740851059168
3526803,575412860.96,556413577.39,553553614.49,65696,0.9669814756342041,0.962011195868075
3529005,1669623479.98,1621308035.13,1456008604.7,238605,0.9710620715213117,0.8720580550996092
3530607,2739449924.55,2549185414.35,2452481957.48,471602,0.9305464544195842,0.8952461351827268
3535309,153171306.26,148291836.39,144069370.72,19559,0.9681437079232231,0.9405767583874362
3537107,284192351.7,279260633.01,275600657.76,43084,0.9826465467473029,0.9697680325012068
3539301,424295113.45,408494750.79,392655409.14,73436,0.9627609129609692,0.9254299582836735
3540705,339941840.1,329780110.98,313462869.99,52551,0.9701074480357853,0.9221073519452305
3541406,1148788755.97,1146120257.17,1145479343.23,226692,0.9976771196739763,0.9971192155887654
3543907,1460461802.91,1411186984.88,1262954013.02,206950,0.9662607964605313,0.8647634676261565
3545803,1005279888.04,996778894.77,864840106.83,183447,0.9915436552833317,0.8602978306033594
3546603,358700002.07,357757781.9,343193193.15,34762,0.9973732362292651,0.9567694206007451
3547809,4563410835.78,4376207523.38,4188072642.68,776640,0.9589773265794506,0.9177505145587346
3548807,2653261228.56,2571395294.47,2475616035.91,166847,0.969145166254726,0.9330464747542355
3548906,1654102242.74,1567885410.55,1541838160.44,256898,0.9478769631270296,0.9321299014055892
3549805,3294334131.71,3151439095.74,3103268054.43,475643,0.9566240004028288,0.9420016095389744
3549904,5245931732.4,5115661287.57,5046568546.33,725419,0.9751673389065623,0.9619966106614217
3550308,123571806691.25,117009214332.57,116798206872.08,12200180,0.9468924786777866,0.9451849090780541
3550407,248966384.65,245280497.32,241500224.76,38991,0.9851952409752759,0.9700113736218002
3550704,1914475789.14,1779573484.29,1645404064.4,87939,0.9295356433258425,0.8594540989934015
3551702,870799160.51,818773654.05,796901813.96,127670,0.9402554471578379,0.9151384729095047
3552205,5524556567.45,5408658046.11,5364053743.89,738128,0.9790212083223367,0.9709473834505267
3553609,84842256.66,84197521.52,81708905.72,11730,0.9924007780393709,0.9630685101581314
3554102,2310894209.94,2215667865.77,2141117046.35,311912,0.9587924259966567,0.9265318321973691
3555406,845182511.67,812919641.5,763520077.17,97382,0.9618273334758766,0.9033789348780504
3557105,624701073.48,615815708.89,594530352.57,96795,0.9857766138602858,0.9517037472947997
4100509,130405415.34,120826886.34,119444275.02,18735,0.9265480733677636,0.9159456661257392
4100806,101510239.15,100554592.42,98398604.67,11672,0.9905857109784969,0.9693465949242619
4102901,148927752.01,123657092.54,123563720.75,15443,0.8303159812128021,0.8296890208998999
4104808,2132841226.84,1992767707.04,1989821609.31,350644,0.9343253881079879,0.932944086165337
4106902,14541135875.9,13265924013.71,13181874012.73,1871789,0.9123031465304238,0.9065229927860865
4109807,433405826.82,411189088.11,399591613.6,54917,0.9487391785361785,0.9219802523927683
4113700,4214542341.84,3980447683.08,3900132496.19,588125,0.9444554972348912,0.925398816728287
4114609,481924790.45,464985910.34,456736588.28,56530,0.9648516107789699,0.9477341637758863
4119905,1869826766.43,1744118770.59,1716640269.05,391654,0.9327702447644333,0.9180744975255253
4120358,59303645.09,59271835.0,58953889.08,5705,0.9994636064958279,0.9941022847841948
4122107,37588543.75,35815639.1,35528001.95,3755,0.952833909666958,0.945181653918157
4128104,810217868.66,754909421.9,744319290.01,117148,0.9317363280922534,0.9186656068706704
4200101,143798203.38,125895324.11,123501601.15,17389,0.875499979490773,0.8588535756850567
4200606,56589882.34,55716338.11,54522881.63,6765,0.9845635969915677,0.9634740235439762
4200754,33554871.22,31055715.11,30288165.44,1859,0.9255203188349475,0.9026458555426399
4200804,46446002.99,45679090.88,44880262.9,5942,0.9834880923948371,0.9662890240450376
4201109,39101297.93,32980775.36,31831646.67,3463,0.8434700919402447,0.8140815869331426
4201257,83327349.94,78447871.79,77850011.1,11926,0.941442057697581,0.9342672142586561
4201307,430284267.98,385666640.15,379779770.01,45462,0.8963066252934121,0.8826252742004792
4201406,351533348.2,299165892.07,293468216.1,72138,0.8510313277583944,0.8348232610154397
4201703,55166033.87,53983949.6,53675414.21,8408,0.9785722447840712,0.9729793941048458
4202008,1995794556.57,1833001409.08,1790708800.68,140036,0.9184319112635628,0.897241048576431
4202081,38239191.73,36058278.31,35804907.23,3144,0.9429665397898829,0.9363405869771505
4202099,26446047.55,24466177.75,24262798.94,1608,0.9251355123574978,0.9174451832217174
4202107,338663895.79,313109110.99,309350941.75,45633,0.9245423408940937,0.9134452936838106
4202131,56643243.25,55786763.95,54542065.89,5863,0.9848794092488693,0.962905066174861
4202156,34333945.44,30634469.34,30469306.45,2703,0.8922501899333128,0.8874397060846497
4202206,75709492.54,74741812.16,73528611.34,10484,0.9872185065896625,0.9711940850898219
4202305,480398649.82,464138534.78,457290636.91,78623,0.9661528710663685,0.95189825592004
4202404,3179802609.33,3015470080.48,2933296726.38,363340,0.9483198962200281,0.9224776147340983
4202453,326889436.59,310504197.14,306035628.41,24416,0.9498752862101472,0.9362053163982911
4202537,35333491.56,34791392.63,34662036.49,2721,0.9846576461576275,0.9809966397218401
4202701,53796141.46,51558478.73,50084574.85,5368,0.9584047727351633,0.9310068248526759
4202800,220117573.0,195929566.5,192250071.35,34113,0.8901132418900511,0.8733971973696075
4202859,44804314.47,41819150.77,41529738.92,3954,0.9333732981898697,0.9269138343319017
4202909,1101240435.42,1066762380.93,1055852776.37,141676,0.968691619576382,0.9587849686679097
4203105,56682179.61,52588950.08,52320265.8,6199,0.9277863067693701,0.9230461171392488
4203204,549084333.03,490307444.13,486686867.77,112167,0.8929547150332031,0.8863608711695097
4203303,125014962.11,120247415.82,109472822.27,12318,0.9618641944169445,0.8756777622639715
4203600,321410573.31,305440464.69,302772642.41,36976,0.9503124354138877,0.9420120791047415
4203709,85477017.66,80289137.01,78475585.89,12759,0.9393067190219984,0.9180898917431884
4203907,169606579.69,162885563.4,162730035.53,23184,0.9603729035613807,0.9594559116010201
4203956,148670346.38,138861212.85,135565467.79,22873,0.9340209142653912,0.9118527742142737
4204004,74315695.2,70332153.86,69855930.81,10565,0.9463970386164132,0.939988929956212
4204152,38424213.09,37027496.96,36739750.29,2802,0.9636501045127843,0.956161423630081
4204194,43253201.94,37663976.0,37165256.54,2949,0.8707789090908631,0.8592486769315928
4204202,1805504009.21,1771326934.14,1771326934.14,251150,0.9810706180126655,0.9810706180126655
4204251,124240370.32,122526565.41,120150631.78,17241,0.986205732439578,0.9670820480535736
4204301,672258180.73,565568397.54,565184849.82,81625,0.8412964152044287,0.8407258788673574
4204459,32250011.51,27706147.16,27673461.1,2069,0.8591050316806538,0.8580915108020686
4204905,63507976.71,60558076.06,59725590.76,8559,0.9535507064967557,0.9404423484112598
4205001,117327112.9,107164704.11,106568218.8,14989,0.913383969495085,0.908300018349808
4205308,101289383.5,88288148.95,87566110.12,10965,0.8716426726992568,0.8645141977786843
4205456,250509080.88,230806726.56,228412259.55,31692,0.9213507380619151,0.9117923340248695
4205704,225365703.22,200619322.51,198831656.65,29801,0.8901945577502411,0.8822622688772759
4205803,207426869.58,176917522.02,175642405.18,18697,0.8529151617542335,0.8467678538255072
4205902,504124690.22,474812532.49,468569117.81,73053,0.9418553419448507,0.9294706783861676
4206009,197005714.14,185695291.48,183418431.42,17306,0.94258835227509,0.9310310222253536
4206108,62826583.48,61113075.8,56463111.44,6149,0.9727263908828423,0.8987137022654474
4206207,84785621.84,74507102.21,71939428.56,14022,0.8787704871776876,0.848486181958514
4206306,153055886.16,150862735.01,150791821.01,24578,0.985670912729829,0.9852075917705431
4206504,316889770.41,301029039.91,300899665.5,46502,0.949948745649066,0.9495404825175908
4206603,44576987.92,42324485.99,42324485.99,4819,0.9494694003542266,0.9494694003542266
4206702,137690337.2,129781250.79,126721160.14,21339,0.9425588856063897,0.9203344455169219
4206801,44659086.14,42711267.01,42489473.52,3267,0.9563847069352502,0.9514183381809792
4207106,152565646.98,132245234.6,131441111.88,20319,0.8668087293421708,0.8615380623478808
4207205,71649032.05,68734132.73,66589195.19,12331,0.9593169755878092,0.929380248201134
4207304,350268532.1,310891783.27,306098043.67,54258,0.8875812548905816,0.8738953563279571
4207502,562722222.1,547454057.68,518357647.33,71369,0.9728673156659401,0.9211607911903005
4207684,66347152.3,57672050.14,57672050.14,7726,0.869246804734376,0.869246804734376
4207700,66892340.4,62749056.8,62218745.96,7815,0.9380604180504948,0.930132591982086
4207858,32988616.03,31861806.2,31739871.84,2069,0.9658424642920674,0.9621462085931587
4207908,88033719.03,79819897.09,77902045.45,10298,0.9066968653545023,0.8849114442552706
4208203,2879626419.94,2710544158.75,2700099900.64,291169,0.9412832650724454,0.9376563160912585
4208302,733071776.82,678628857.91,660636078.03,76247,0.9257331674312049,0.9011888043156979
4208450,370841171.31,325561526.18,325238305.47,30731,0.8779001668826327,0.8770285788956296
4208500,162092118.6,160424835.96,159158909.51,26694,0.989713980825222,0.981904061003494
4208609,52216061.97,47069923.05,46808675.63,4314,0.9014452885597416,0.8964420882006243
4208708,73187020.99,70244468.36,69659504.45,10624,0.9597940647098882,0.95180133728244
4208807,139499891.73,134391375.01,131446853.98,19538,0.9633797800367655,0.9422720860200628
4208906,1500828977.09,1372402927.83,1352736980.24,193304,0.9144299242482585,0.901326534128399
4209003,321557994.74,289758955.14,289482883.81,29976,0.9011094728784101,0.900250929988742
4209102,4677973285.15,4491280681.35,4295508268.18,617979,0.9600911351091623,0.9182412994567293
4209300,1031482219.41,1016006822.12,1004318452.56,164881,0.9849969325706344,0.9736653077107451
4209409,222290089.45,210941157.72,206265737.35,41269,0.9489453994189304,0.9279124312755096
4209607,101932530.84,100484296.92,99562142.68,14192,0.9857922303305385,0.9767455184280599
4209706,77947940.86,75471240.42,64301844.06,11553,0.968226223647802,0.8249331970871514
4209854,46345696.67,41344119.86,41339948.82,4549,0.8920810955629119,0.8919910971315645
4209904,96624783.03,89816746.44,89806099.02,12913,0.9295415070905128,0.9294313136218588
4210001,99653965.69,87579362.49,86382828.16,12249,0.8788346944710534,0.866827803207718
4210308,74276898.38,70416761.4,69666224.53,7359,0.9480304500566036,0.9379258699466444
4210605,124444403.28,110119199.41,109432576.68,18922,0.8848867165382417,0.8793692106327725
4210803,52087179.73,51086619.75,50866929.75,6940,0.9807906670089163,0.9765729304921997
4211009,86346265.51,80238812.74,80086208.89,9961,0.9292678990350464,0.9275005516101329
4211108,54590569.97,53759736.83,53754777.13,7754,0.9847806472719266,0.9846897945843155
4211306,859096193.49,765536420.71,757079053.02,88655,0.891095114273616,0.8812506198455324
4211504,126643912.79,119987058.57,118911542.04,13645,0.9474364454370708,0.9389439999155604
4211603,91634072.12,84336061.84,83698383.85,13396,0.9203570231993745,0.9133980615899315
4211702,156926059.18,149291600.1,148907593.94,23531,0.9513499598480135,0.9489029082747656
4211850,36599320.15,35095954.23,34030646.06,2168,0.9589236654167741,0.9298163441432122
4212056,43590253.67,41640745.48,39528804.39,2627,0.9552765119295071,0.906826665640737
4212106,100894230.07,88635040.51,88488164.07,15627,0.8784946418492453,0.8770388951737604
4212205,130633364.79,128650641.52,127583413.82,19132,0.9848222291970559,0.9766525881431366
4212239,39154515.53,36506277.89,36021873.88,4437,0.9323644385799913,0.9199928384352046
4212304,65922494.42,63673625.84,60850865.7,9326,0.9658861728491008,0.9230667958695851
4212403,42393681.14,41142161.78,41044334.1,4233,0.9704786344015042,0.9681710338966804
4212502,236412386.4,217999084.47,214716505.13,33400,0.922113632832903,0.908228660941261
4212650,72394984.3,61843638.08,61430261.57,10224,0.8542530767563133,0.8485430608761111
4212809,403092400.73,313354062.32,309377560.1,28177,0.777375266198311,0.7675102768985907
4212908,154983495.11,149607935.51,148388114.48,21495,0.9653152769836252,0.9574446257950311
4213203,279570553.56,266978184.87,265750674.27,34699,0.954958172348085,0.9505674717382779
4213708,119090332.4,116413258.42,113367917.64,17143,0.9775206439847001,0.9519489563537401
4213906,31898681.81,29943733.46,29766444.49,1692,0.9387138201620878,0.933155942533915
4214151,39892718.44,34832226.71,34393205.95,2964,0.873147483353105,0.8621424484202186
4214201,78596368.65,69172425.42,68829712.19,11027,0.8800969638690807,0.8757365432047858
4214300,46585837.06,43508261.19,43403799.98,3252,0.9339375212677566,0.9316951828964302
4214706,101545789.9,95506824.8,95506824.8,10879,0.9405296358820288,0.9405296358820288
4214805,543377026.85,539598337.94,533412538.52,70952,0.993045917064427,0.9816619256287573
4214904,45408613.03,44771696.46,44562639.64,4885,0.985973661657994,0.9813697593132586
4215000,338563669.98,311385390.23,309293890.05,38531,0.9197247603335422,0.9135471920784382
4215109,67895185.27,64382942.96,64334963.9,12715,0.9482696409762666,0.9475629773180233
4215356,41233651.98,39693672.52,39693672.52,3626,0.9626523631535973,0.9626523631535973
4215455,89510128.88,87775285.84,87773734.69,12995,0.9806184723258998,0.980601143002175
4215554,33312638.31,30171781.15,30156721.41,2427,0.9057157487566165,0.905263675886859
4215604,34475104.6,34469604.59,33021541.03,2002,0.9998404642984028,0.9578372977583366
4215687,35046928.44,32098209.99,32080428.3,2580,0.9158637124206711,0.9153563444203501
4215695,28970625.33,27584945.51,27584945.49,1642,0.9521694887764441,0.9521694880860896
4215703,203902855.2,202175851.95,191938584.54,28260,0.9915302645060754,0.9413236727447257
4215752,38785379.26,30246608.34,30230436.37,2651,0.7798456252610072,0.7794286647901146
4215802,656482953.54,626496093.16,621307259.85,82760,0.9543219512124425,0.946417963329711
4216008,91983840.49,79327254.88,79196959.66,10279,0.8624042490226753,0.8609877478274011
4216107,59741259.14,58422963.17,58422963.17,8984,0.9779332409631566,0.9779332409631566
4216206,555235454.3,531527189.19,522650516.99,52428,0.9573005201191815,0.9413132986057589
4216255,57206901.6,55805147.51,55666841.3,6287,0.9754967661104722,0.9730791170833135
4216503,202831996.46,179589594.9,178884373.46,26026,0.8854105764098044,0.8819337016942361
4216602,1438009221.47,1403029348.02,1356355410.74,287409,0.9756747919778692,0.9432174637610948
4216701,107920560.95,103290364.53,103083168.94,15100,0.9570962532140174,0.955176363360072
4216909,213017734.02,209898439.48,209736467.27,24774,0.9853566438759171,0.9845962742722072
4217006,115266722.46,106275356.45,103318197.45,13431,0.9219951273176854,0.8963402033562082
4217105,38347052.55,32897069.82,32756068.28,3654,0.857877402105576,0.8542004170278793
4217204,254837031.56,236593488.05,233733188.86,43946,0.9284109401278101,0.91718690737052
4217253,54656717.17,47942212.7,47458509.81,5693,0.8771513398963255,0.8683015056024814
4217303,79276525.84,75096776.57,74775503.5,10272,0.9472763314775449,0.9432237690500691
4217808,136605664.29,125432290.64,124921001.94,18282,0.9182070984532527,0.914464290988735
4218103,52213563.19,50388100.79,49994666.11,5377,0.9650385400177092,0.9575034350380255
4218202,315328333.05,306052014.75,304701063.49,46144,0.9705820336210349,0.9662977650717011
4218301,190421367.25,173473952.42,171242621.81,19782,0.9110004561213442,0.8992825977621479
4218400,66159353.52,53834988.38,53526816.36,7354,0.8137169654132981,0.8090589389423042
4218509,76369317.14,71076764.58,70609233.68,8803,0.9306979195545547,0.9245759465225986
4218707,546488059.82,506241686.19,499010780.41,114389,0.9263545233847263,0.9131229336911078
4218756,53488945.16,47372643.47,47343402.69,5018,0.8856529761111483,0.8851063065159164
4218905,85539569.96,78429030.14,75688617.37,11156,0.9168742627146124,0.8848374782032866
4219002,138481724.57,132028968.0,131425807.94,20915,0.9534035513347594,0.9490480303310105
4219101,46411410.21,44685933.86,44685878.08,3585,0.9628221520916376,0.962820950232014
4219200,59078255.42,55107477.87,55090603.46,6160,0.9327878333276619,0.9325022052250709
4219309,398741209.42,367957636.28,366676894.93,55921,0.9227981146348602,0.9195861532931596
4219507,321426952.39,289474623.43,288715438.04,50998,0.9005922536289647,0.8982303316297203
4219606,51761481.4,47892289.32,47747148.96,3654,0.9252495876209602,0.922445565091574
4219705,210783795.55,203037491.69,201624986.44,31625,0.9632500029720619,0.956548798800677
4219853,52155977.26,45012878.84,44086182.14,3925,0.8630435322035802,0.8452757374332823
4220000,123771377.0,117822382.36,113692742.36,15880,0.9519356188466741,0.9185705541597069
4305108,3571734146.76,3446693049.38,3364463468.66,503068,0.9649914881001355,0.9419691753127762
4307005,618822632.37,587261911.36,574653927.29,105428,0.9489987609387732,0.9286246126602701
4310603,232184148.06,221264274.89,216389283.62,35408,0.9529689116968565,0.9319726838719482
4310801,174393455.96,154409920.36,151038321.34,22911,0.8854112071465369,0.8660779185122813
4312401,552366541.03,501723140.64,492780213.31,66878,0.9083155900508292,0.8921253854209035
4313409,1725695967.64,1663181462.83,1560826015.91,241306,0.9637743229501239,0.9044617621981986
4314100,1212089202.22,1124305865.24,1101549401.55,217240,0.9275768344283403,0.9088022560818617
4316451,85514517.16,83267475.6,82249412.31,10200,0.97372327372444,0.9618181221336852
4316907,1442412114.09,1434247582.71,1366195945.61,296081,0.9943396680461528,0.9471606153778847
4318903,201249361.13,194083822.97,191386253.08,34690,0.9643947284117275,0.950990611872657
4320008,641767463.05,621993151.86,600048100.01,130554,0.9691877318055008,0.9349930224855454
4320909,178086346.71,173800350.05,168584012.97,24539,0.975933041812692,0.9466419862300065
