metric,value
mean_fraction_correct,0.840246666667
minimum_fraction_correct,0.633333333333
wrong_seed_count,1729
wrong_seed_probability,0.172900000000
executive_stationary_weight,0.526477382521
top6_stationary_weight,0.956359480167
effective_number_sources,3.140783586954
P_seed_wrong_given_executive_wrong,0.558347107438
P_seed_wrong_given_executive_correct,0.005734767025
P_executive_wrong_given_seed_wrong,0.976865240023
median_fraction_correct_given_seed_wrong,0.816666666667
P_frac_correct_ge_080_given_seed_wrong,0.755928282244
P_frac_correct_ge_085_given_seed_wrong,0.362637362637
P_frac_correct_ge_090_given_seed_wrong,0.063042220937
executive_to_lower_mean_weight_ratio,1866.954207894107
manager_to_lower_mean_weight_ratio,304.883065348947
auc_margin_b070_c090,0.993305092023
auc_margin_b075_c095,0.998445681303
